RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP-10S
1,0,28237,Rory McIlroy,3120,2,8
75,0,37189,Harold Varner III,819,0,4,4750
76,0,06527,Steve Stricker,815,0,3,4754
77,0,27936,Martin Laird,811,0,3,4758
78,0,26951,Johnson Wagner,808,0,3,4761
79,0,30711,Colt Knost,803,0,3,4766
80,0,29479,Scott Brown,781,0,4,4788
81,0,26476,Chez Reavie,772,0,2,4797
82,0,32757,Patton Kizzire,760,0,5,4809
83,0,20472,Alex Cejka,754,0,4,4815
84,0,29221,Webb Simpson,750,0,2,4819
85,0,33399,Adam Hadwin,748,0,2,4821
86,0,10809,Jim Furyk,745,0,3,4824
87,0,34098,Russell Henley,726,0,4,4843
88,0,20645,John Senden,719,0,1,4850
89,0,23800,Bryce Molder,718,0,5,4851
90,0,21731,Freddie Jacobson,714,0,3,4855
91,0,24357,K.J. Choi,705,0,2,4864
92,0,29926,Danny Lee,699,0,2,4870
93,0,32139,Danny Willett,691,1,3,4878
94,0,27466,Spencer Levin,690,0,2,4879
95,0,34174,John Huh,690,0,3,4879
96,0,27974,Sung Kang,679,0,2,4890
97,0,24507,Jason Bohn,670,0,3,4899
98,0,28132,Tyrone Van Aswegen,658,0,2,4911
99,0,06567,Vijay Singh,646,0,2,4923
100,0,31416,Derek Fathauer,633,0,1,4936
101,0,35545,Blayne Barber,628,0,1,4941
102,0,33204,Shane Lowry,615,0,2,4954
103,0,33141,Keegan Bradley,605,0,2,4964
104,0,34466,Peter Malnati,599,1,3,4970
105,0,34431,Robert Streb,594,0,1,4975
106,0,25900,Lucas Glover,590,0,2,4979
107,0,27895,Jonas Blixt,576,0,2,4993
108,0,29485,Brett Stegmaier,559,0,3,5010
109,0,24358,Robert Garrigus,558,0,3,5011
110,0,40058,Zac Blair,557,0,2,5012
111,0,25198,Francesco Molinari,550,0,3,5019
112,0,33419,Cameron Tringale,539,0,1,5030
113,0,35300,Andrew Loupe,535,0,4,5034
114,0,26289,Boo Weekley,532,0,2,5037
115,0,36801,Mark Hubbard,503,0,5066
116,0,30110,Kyle Stanley,501,0,5068
117,0,23541,Ben Crane,500,0,1,5069
118,0,39975,Michael Kim,500,0,5069
119,0,31420,Anirban Lahiri,494,0,1,5075
120,0,27436,Graham DeLaet,490,0,3,5079
121,0,32640,Troy Merritt,482,0,1,5087
122,0,27129,Luke List,481,0,2,5088
123,0,33418,Shawn Stefani,481,0,1,5088
124,0,02206,David Toms,455,0,1,5114
125,0,29289,S.Y. Noh,454,0,1,5115
126,0,26300,Matt Jones,445,0,5124
127,0,37454,Whee Kim,444,0,2,5125
128,0,30692,Scott Stallings,443,0,1,5126
129,0,25493,Nick Taylor,441,0,1,5128
130,0,28158,Steve Marino,429,0,2,5140
131,0,29268,Bronson Burgoon,428,0,5141
132,0,25349,Tim Wilkinson,426,0,1,5143
133,0,33461,Morgan Hoffmann,424,0,1,5145
134,0,27963,Chris Stroud,412,0,1,5157
135,0,34021,Bud Cauley,409,0,3,5160
136,0,25720,Chad Collins,402,0,1,5167
137,0,25892,Steve Wheatcroft,400,0,2,5169
138,0,34265,Will Wilcox,399,0,2,5170
139,0,20766,Padraig Harrington,393,0,1,5176
140,0,29745,Tyler Aldridge,384,0,5185
141,0,20157,Retief Goosen,380,0,5189
142,0,20593,Greg Chalmers,366,1,1,5203
143,0,20098,Stuart Appleby,360,0,5209
144,0,35532,Tom Hoge,349,0,2,5220
145,0,32150,Michael Thompson,340,0,1,5229
146,0,27747,Hiroshi Iwata,339,0,1,5230
147,0,20229,Stewart Cink,331,0,5238
148,0,29223,Sam Saunders,324,0,2,5245
149,0,25369,Jamie Donaldson,322,0,5247
150,0,20691,Greg Owen,319,0,1,5250
