RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,TOTAL HOLES,RELATIVE TO PAR
54,0,20566,Kaname Yokoo,83.76,98,117,-0.40
55,0,11032,Frank Lickliter II,83.73,139,166,-0.46
56,0,12663,Phil Tataurangi,83.54,132,158,-0.48
57,0,20043,Edward Fryatt,83.53,142,170,-0.42
58,0,01024,Billy Andrade,83.52,147,176,-0.52
59,0,06527,Steve Stricker,83.51,81,97,-0.41
60,0,20157,Retief Goosen,83.33,85,102,-0.58
60,0,01928,Corey Pavin,83.33,90,108,-0.34
60,0,02246,Duffy Waldorf,83.33,110,132,-0.55
63,0,22913,John Rollins,83.26,194,233,-0.52
64,0,08075,Jerry Kelly,83.23,129,155,-0.47
64,0,10425,Jay Williamson,83.23,139,167,-0.42
66,0,08633,Per-Ulrik Johansson,83.21,109,131,-0.46
67,0,10885,Robert Allenby,83.08,162,195,-0.48
68,0,10649,Tom Scherrer,83.02,132,159,-0.36
69,0,20098,Stuart Appleby,82.99,161,194,-0.49
70,0,01161,Mark Calcavecchia,82.91,97,117,-0.51
71,0,01938,David Peoples,82.86,145,175,-0.50
72,0,01761,Len Mattiace,82.82,135,163,-0.35
73,0,12826,Paul Claxton,82.73,115,139,-0.40
73,0,01457,Jay Haas,82.73,91,110,-0.47
75,0,10585,Scott McCarron,82.72,134,162,-0.46
76,0,01766,Billy Mayfair,82.68,105,127,-0.51
77,0,19824,Craig Barlow,82.64,100,121,-0.46
78,0,07749,Brett Quigley,82.53,137,166,-0.51
79,0,01920,Craig Parry,82.52,118,143,-0.52
80,0,06515,Shaun Micheel,82.51,151,183,-0.45
81,0,12388,Michael Clark II,82.50,132,160,-0.37
82,0,01553,John Huston,82.49,146,177,-0.50
83,0,01014,Fulton Allem,82.24,88,107,-0.38
83,0,10962,Bradley Hughes,82.24,88,107,-0.36
85,0,20229,Stewart Cink,82.22,111,135,-0.51
86,0,02223,Bob Tway,82.21,134,163,-0.37
87,0,06522,Ernie Els,82.00,82,100,-0.52
88,0,12823,Carlos Franco,81.94,186,227,-0.44
89,0,24925,Jonathan Byrd,81.82,144,176,-0.59
90,0,02104,Jeff Sluman,81.77,166,203,-0.45
91,0,23623,Bo Van Pelt,81.66,138,169,-0.45
92,0,10860,Justin Leonard,81.51,119,146,-0.43
93,0,20127,Chris Riley,81.41,127,156,-0.40
94,0,23338,David Gossett,81.25,143,176,-0.40
95,0,01175,Jim Carter,81.16,112,138,-0.45
96,0,01945,Kenny Perry,81.15,155,191,-0.52
97,0,10565,Ian Leggatt,80.89,127,157,-0.48
98,0,01226,Fred Couples,80.85,76,94,-0.46
99,0,20663,Brenden Pappas,80.83,97,120,-0.45
100,0,02101,Joey Sindelar,80.79,143,177,-0.47
101,0,08881,Tripp Isenhour,80.74,109,135,-0.43
102,0,11011,Mike Sposa,80.70,138,171,-0.38
103,0,20436,Garrett Willis,80.69,117,145,-0.50
104,0,21961,Charles Howell III,80.65,175,217,-0.53
105,0,01810,Phil Mickelson,80.63,154,191,-0.49
106,0,01142,Bart Bryant,80.58,112,139,-0.42
107,0,06809,Bob Burns,80.54,120,149,-0.42
108,0,01329,Brad Faxon,80.47,103,128,-0.41
109,0,12680,Shigeki Maruyama,80.45,107,133,-0.50
110,0,08545,Glen Hnatiuk,80.42,152,189,-0.38
111,0,20502,Michael Long,80.41,119,148,-0.42
112,0,01132,Mark Brooks,80.39,123,153,-0.39
113,0,21633,Steve Allan,80.36,135,168,-0.56
113,0,01157,Tom Byrum,80.36,90,112,-0.40
115,0,01927,Dennis Paulson,80.34,143,178,-0.45
116,0,01307,Joel Edwards,80.32,151,188,-0.49
117,0,01549,Mike Hulbert,80.28,57,71,-0.35
118,0,08375,Paul Stankowski,80.25,130,162,-0.55
119,0,02245,Grant Waite,80.21,150,187,-0.48
120,0,06078,Esteban Toledo,80.14,117,146,-0.30
121,0,23135,Tim Clark,80.00,116,145,-0.50
121,0,06251,Chris DiMarco,80.00,140,175,-0.54
121,0,06315,Pete Jordan,80.00,96,120,-0.38
121,0,01666,Bernhard Langer,80.00,48,60,-0.50
121,0,01926,Steve Pate,80.00,68,85,-0.37
121,0,06498,Matt Peterson,80.00,108,135,-0.36
127,0,01706,Davis Love III,79.65,137,172,-0.63
128,0,08931,Glen Day,79.63,172,216,-0.38
129,0,06621,Joe Durant,79.55,105,132,-0.40
130,0,21209,Sergio Garcia,79.46,89,112,-0.53
131,0,01599,Steve Jones,79.31,69,87,-0.36
132,0,06004,Stephen Ames,79.20,99,125,-0.52
132,0,12652,Cameron Beckman,79.20,99,125,-0.52
134,0,20593,Greg Chalmers,79.19,118,149,-0.54
135,0,12660,Jesper Parnevik,79.17,76,96,-0.49
136,0,01139,Olin Browne,79.10,140,177,-0.39
136,0,12782,Tim Herron,79.10,140,177,-0.46
138,0,10912,Craig Perks,79.07,102,129,-0.49
139,0,23177,Kenneth Staton,79.05,166,210,-0.43
140,0,23108,Matt Kuchar,79.03,98,124,-0.47
141,0,01577,Lee Janzen,79.02,113,143,-0.50
142,0,20094,Jonathan Kaye,79.01,128,162,-0.40
143,0,12645,Brent Geiberger,78.98,124,157,-0.44
144,0,01527,Scott Hoch,78.95,90,114,-0.43
145,0,09011,David Duval,78.86,97,123,-0.58
146,0,06617,Brian Henninger,78.81,93,118,-0.46
147,0,07867,Woody Austin,78.77,141,179,-0.49
148,0,06643,Paul Goydos,78.70,85,108,-0.39
149,0,10457,Frank Nobilo,78.43,120,153,-0.39
150,0,02010,Loren Roberts,78.29,101,129,-0.50
151,0,08537,J.P. Hayes,78.26,90,115,-0.48
152,0,22046,Geoff Ogilvy,78.21,122,156,-0.51
153,0,01098,Jay Don Blake,78.14,143,183,-0.43
154,0,01724,Jeff Maggert,78.13,100,128,-0.35
155,0,01388,Robert Gamez,77.94,106,136,-0.43
156,0,01374,Robin Freeman,77.85,116,149,-0.44
157,0,02322,Richard Zokol,77.78,56,72,-0.46
158,0,06573,Brandt Jobe,77.71,129,166,-0.51
159,0,01203,Russ Cochran,77.69,94,121,-0.30
160,0,10107,Deane Pappas,77.62,111,143,-0.42
161,0,21806,Paul Gow,77.55,152,196,-0.49
161,0,02106,Chris Smith,77.55,152,196,-0.40
163,0,01619,Skip Kendall,77.50,124,160,-0.53
164,0,01569,Peter Jacobsen,77.39,89,115,-0.38
165,0,23614,Rich Beem,77.25,146,189,-0.47
166,0,12753,David Morland IV,77.06,84,109,-0.49
167,0,06012,Greg Kraft,77.04,104,135,-0.45
168,0,01707,Steve Lowery,77.03,114,148,-0.50
169,0,06613,Tommy Tolles,76.98,107,139,-0.46
170,0,23322,Brett Wetterich,76.96,147,191,-0.48
171,0,06197,Michael Allen,76.92,90,117,-0.44
