RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES
148,0,02279,Mark Wiebe,62.28,1121,1800
149,0,01736,Roger Maltbie,62.27,723,1161
150,0,01475,Donnie Hammond,62.24,829,1332
151,0,01023,Jerry Anderson,62.20,627,1008
152,0,02185,Lance Ten Broeck,62.04,1072,1728
153,0,01168,David Canipe,61.97,937,1512
154,0,02094,Tony Sills,61.96,575,928
155,0,02023,Clarence Rose,61.94,970,1566
156,0,01641,Gary Koch,61.89,635,1026
157,0,02007,Larry Rinker,61.79,1090,1764
158,0,01331,Rick Fehr,61.73,1000,1620
159,0,01891,David Ogrin,61.70,944,1530
160,0,06150,Carl Cooper,61.60,632,1026
160,0,01557,John Inman,61.60,1131,1836
162,0,02245,Grant Waite,61.57,809,1314
163,0,01607,Brian Kamm,61.56,554,900
164,0,01329,Brad Faxon,61.55,986,1602
165,0,06142,Mitch Adcock,61.48,675,1098
166,0,02167,Mike Sullivan,61.45,896,1458
167,0,01414,Bob Gilder,61.11,891,1458
168,0,01157,Tom Byrum,61.07,985,1613
169,0,01533,P.H. Horgan III,61.03,927,1519
170,0,01790,Pat McGowan,60.92,943,1548
171,0,06124,Patrick Burke,60.80,580,954
172,0,01303,Bob Eastwood,60.72,940,1548
173,0,02294,Willie Wood,60.56,763,1260
174,0,06136,Mike Schuchart,60.54,741,1224
175,0,02230,Stan Utley,60.53,1155,1908
176,0,01489,Steve Hart,60.20,732,1216
177,0,01553,John Huston,59.99,853,1422
178,0,01522,Lon Hinkle,59.95,723,1206
179,0,01175,Jim Carter,59.80,958,1602
180,0,06122,Greg Hickman,59.59,665,1116
181,0,06425,Rick Todd,59.33,598,1008
182,0,01941,Tom Pernice Jr.,58.95,573,972
183,0,01321,Tom Eubank,58.85,625,1062
184,0,01061,Ray Barr Jr.,58.76,637,1084
185,0,01355,Raymond Floyd,58.74,571,972
186,0,01495,Morris Hatalsky,58.37,872,1494
187,0,06140,Sean Murphy,58.00,616,1062
188,0,01150,George Burns,57.71,966,1674
189,0,06148,Dennis Harrington,57.70,779,1350
190,0,01037,Dewey Arnette,57.55,663,1152
191,0,01878,Andy North,56.67,663,1170
192,0,01925,Jerry Pate,56.08,544,970
