RANK,MOVEMENT,PLAYER_ID,PLAYER,%,POINTS WON,POTENTIAL PTS,# OF WINS,# OF TOP 10'S
134,0,28089,Jason Day,2.72,2327,85500,0,2
135,0,23325,Vaughn Taylor,2.65,2901,109575,0,1
136,0,10117,Bob Heintz,2.59,1164,45000,0
137,0,06621,Joe Durant,2.58,2264,87750,0,1
137,0,20127,Chris Riley,2.58,1277,49500,0,1
139,0,30925,Dustin Johnson,2.51,2679,106650,0,2
140,0,12782,Tim Herron,2.45,2158,88200,0
141,0,20105,Jeff Gove,2.42,1308,54000,0,1
142,0,06034,Marco Dawson,2.40,1622,67500,0,2
142,0,25686,Jason Dufner,2.40,1082,45000,0
142,0,01948,Tim Petrovic,2.40,2400,99900,0,2
145,0,06197,Michael Allen,2.39,2132,89100,0,1
146,0,07547,Craig Kanada,2.38,1604,67500,0
147,0,22548,Patrick Sheehan,2.34,2540,108450,0,2
148,0,01577,Lee Janzen,2.11,1721,81450,0,1
149,0,20628,Arron Oberholser,2.10,775,36900,0
149,0,12660,Jesper Parnevik,2.10,1818,86400,0
151,0,24227,Justin Bolli,2.07,1769,85500,0,1
151,0,22892,Jason Gore,2.07,2258,108900,0,2
153,0,23797,Brett Rumford,2.00,1624,81225,0,1
153,0,20436,Garrett Willis,2.00,766,38250,0
155,0,25842,Jon Mills,1.97,1964,99450,0
156,0,11032,Frank Lickliter II,1.96,1986,101250,0
157,0,01706,Davis Love III,1.93,1512,78300,0
158,0,06251,Chris DiMarco,1.91,1871,97875,0
158,0,01381,Fred Funk,1.91,1038,54450,0,1
160,0,01968,Nick Price,1.89,43,2250,0
161,0,24912,Will MacKenzie,1.85,1289,69750,0,1
162,0,24663,Y.E. Yang,1.84,1701,92250,0,1
163,0,23353,J.J. Henry,1.82,2026,111375,0,1
164,0,12823,Carlos Franco,1.79,1372,76500,0
165,0,19972,José Coceres,1.78,1008,56700,0
166,0,23497,Tag Ridings,1.73,1679,96750,0,1
167,0,12645,Brent Geiberger,1.71,694,40500,0,1
167,0,08845,Scott Sterling,1.71,1467,85950,0
167,0,08385,Omar Uresti,1.71,1154,67500,0
170,0,28475,Jeff Overton,1.68,1754,104400,0,1
171,0,26679,Kevin Stadler,1.66,1622,97650,0,1
172,0,01361,Dan Forsman,1.63,623,38250,0
173,0,22806,Doug LaBelle II,1.57,1102,70200,0,1
173,0,12309,Bob Sowards,1.57,920,58500,0,1
175,0,01473,Todd Hamilton,1.56,1648,105750,0
176,0,21805,Harrison Frazar,1.55,1043,67500,0,1
177,0,25273,Andrew Buckle,1.54,693,45000,0
177,0,24358,Robert Garrigus,1.54,1468,95400,0
179,0,10733,Kent Jones,1.52,957,63000,0
180,0,20433,Mark Hensby,1.51,1261,83700,0,1
181,0,02002,John Riegger,1.47,993,67500,0
182,0,08537,J.P. Hayes,1.45,1275,88200,0,1
183,0,27561,Nick Flanagan,1.43,1316,92250,0,1
183,0,20663,Brenden Pappas,1.43,962,67500,0,1
185,0,01724,Jeff Maggert,1.42,1287,90450,0
185,0,26882,Michael Sim,1.42,256,18000,0
187,0,12652,Cameron Beckman,1.40,1262,90450,0
188,0,19803,Ryan Armour,1.34,1427,106200,0
189,0,21461,Kenneth Ferrie,1.31,1000,76500,0
190,0,10565,Ian Leggatt,1.30,269,20700,0
191,0,06573,Brandt Jobe,1.26,940,74700,0
191,0,21959,Ted Purdy,1.26,962,76500,0,1
193,0,19881,Robert Damron,1.25,365,29250,0
193,0,06373,José María Olazábal,1.25,235,18900,0
195,0,26500,Alejandro Cañizares,1.23,497,40500,0
196,0,26668,Marc Turnesa,1.21,1174,96750,0
197,0,01823,Larry Mize,1.19,704,58950,0,1
197,0,01927,Dennis Paulson,1.19,27,2250,0
197,0,02067,Ted Schulz,1.19,27,2250,0
200,0,01527,Scott Hoch,1.15,52,4500,0
201,0,01024,Billy Andrade,1.11,949,85500,0
201,0,20443,Jin Park,1.11,1047,94500,0
203,0,01331,Rick Fehr,1.10,25,2250,0
204,0,08375,Paul Stankowski,1.08,488,45000,0
205,0,07223,Brian Bateman,1.07,832,77400,0
206,0,01014,Fulton Allem,1.04,47,4500,0
206,0,25632,Jimmy Walker,1.04,703,67500,0
208,0,12680,Shigeki Maruyama,.96,721,74700,0
209,0,21633,Steve Allan,.94,595,63000,0,1
209,0,25720,Chad Collins,.94,632,67500,0
209,0,06515,Shaun Micheel,.94,641,68400,0
212,0,01717,Sandy Lyle,.92,91,9900,0
213,0,20382,Stephen Leaney,.91,678,74700,0
214,0,01388,Robert Gamez,.90,749,83250,0
214,0,27613,David Lutterus,.90,566,63000,0
216,0,01157,Tom Byrum,.85,343,40500,0
217,0,01116,Michael Bradley,.84,321,38250,0
217,0,06332,Neal Lancaster,.84,227,27000,0
219,0,19824,Craig Barlow,.83,567,68400,0
220,0,23322,Brett Wetterich,.82,417,50625,0
221,0,01261,Jay Delsing,.81,200,24750,0
222,0,10213,Dicky Pride,.80,322,40500,0
223,0,01920,Craig Parry,.78,152,19350,0
224,0,10875,Todd Demsey,.74,551,74250,0
224,0,20378,Mathias Grönberg,.74,715,97200,0
226,0,12826,Paul Claxton,.67,420,63000,0
227,0,01093,Ronnie Black,.65,44,6750,0
227,0,01132,Mark Brooks,.65,410,63450,0
229,0,06090,Jim McGovern,.64,488,76500,0
229,0,02214,Kirk Triplett,.64,87,13500,0
231,0,23157,Richard Johnson,.59,544,92700,0
231,0,02101,Joey Sindelar,.59,80,13500,0
231,0,22582,Kyle Thompson,.59,461,78750,0
234,0,21007,Gabriel Hjertstedt,.58,52,9000,0
235,0,27963,Chris Stroud,.54,499,92700,0
236,0,01139,Olin Browne,.53,515,96750,0
237,0,01042,Paul Azinger,.52,190,36450,0
237,0,20094,Jonathan Kaye,.52,177,33750,0
237,0,02106,Chris Smith,.52,81,15750,0
240,0,10649,Tom Scherrer,.50,267,54000,0
241,0,01378,David Frost,.46,64,13950,0
241,0,01723,Andrew Magee,.46,52,11250,0
241,0,07235,John Morse,.46,103,22500,0
244,0,23540,Jason Allred,.45,286,63000,0
245,0,20029,Notah Begay III,.37,82,22500,0
246,0,06214,Guy Boros,.36,57,15750,0
247,0,23125,Brad Elder,.34,212,63000,0
248,0,01761,Len Mattiace,.29,116,40500,0
248,0,02245,Grant Waite,.29,52,18000,0
250,0,01249,John Daly,.28,182,66150,0
250,0,26631,Cody Freeman,.28,214,76500,0
252,0,09011,David Duval,.23,149,65700,0
252,0,08339,Spike McRoy,.23,26,11250,0
252,0,25594,Travis Perkins,.23,152,67500,0
255,0,01887,Mark O'Meara,.22,52,23850,0
255,0,19913,Ron Whittaker,.22,140,63000,0
257,0,01685,J.L. Lewis,.19,114,58500,0
258,0,30750,Tommy Gainey,.17,119,72000,0
258,0,02246,Duffy Waldorf,.17,26,15750,0
260,0,01619,Skip Kendall,.14,28,20250,0
261,0,06809,Bob Burns,.12,24,20250,0
261,0,01385,Jim Gallagher Jr.,.12,24,20250,0
