RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL MISSED,TOTAL FWYS,RELATIVE TO PAR
166,0,06575,Dudley Hart,7.97,91,1142,+0.29
167,0,06197,Michael Allen,8.01,94,1174,+0.40
167,0,24924,Bill Haas,8.01,107,1336,+0.21
169,0,02223,Bob Tway,8.03,83,1033,+0.46
170,0,24361,Pat Perez,8.06,54,670,+0.37
171,0,07223,Brian Bateman,8.07,73,905,+0.45
172,0,27943,Matt Hansen,8.16,75,919,+0.31
173,0,23673,Michael Connell,8.22,55,669,+0.47
174,0,08835,Kris Cox,8.24,93,1128,+0.32
175,0,24912,Will MacKenzie,8.50,104,1224,+0.27
176,0,27120,Troy Matteson,8.59,121,1408,+0.25
177,0,25804,Bubba Watson,8.64,95,1099,+0.15
178,0,25632,Jimmy Walker,8.66,70,808,+0.50
179,0,23307,Roger Tambellini,8.71,74,850,+0.43
180,0,06034,Marco Dawson,8.74,106,1213,+0.39
181,0,21805,Harrison Frazar,9.06,110,1214,+0.24
182,0,20850,Daniel Chopra,9.19,132,1436,+0.26
183,0,20548,Hidemichi Tanaka,9.22,94,1019,+0.60
184,0,09011,David Duval,9.42,75,796,+0.48
185,0,01473,Todd Hamilton,9.60,83,865,+0.42
186,0,01887,Mark O'Meara,9.67,59,610,+0.17
187,0,27141,J.B. Holmes,9.71,91,937,+0.36
188,0,01226,Fred Couples,9.98,53,531,+0.02
189,0,23497,Tag Ridings,10.07,137,1361,+0.44
190,0,01577,Lee Janzen,10.39,111,1068,+0.41
191,0,24358,Robert Garrigus,10.54,122,1158,+0.50
192,0,25842,Jon Mills,11.06,102,922,+0.37
193,0,20593,Greg Chalmers,11.12,104,935,+0.51
194,0,01249,John Daly,11.30,68,602,+0.44
195,0,25936,Alex Aragon,13.28,113,851,+0.42
196,0,23616,Ryan Hietala,13.37,110,823,+0.25
