RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# OF HOLES
90,0,01203,Russ Cochran,75.79,479,632
91,0,01975,Tom Purtzer,75.72,396,523
92,0,06090,Jim McGovern,75.66,370,489
93,0,19824,Craig Barlow,75.57,662,876
94,0,01549,Mike Hulbert,75.49,459,608
95,0,01139,Olin Browne,75.47,806,1068
96,0,01093,Ronnie Black,75.45,547,725
96,0,06036,Scott Dunlap,75.45,802,1063
98,0,02239,Scott Verplank,75.39,864,1146
99,0,20029,Notah Begay III,75.38,548,727
99,0,08931,Glen Day,75.38,701,930
101,0,10117,Bob Heintz,75.26,508,675
102,0,01619,Skip Kendall,75.25,839,1115
102,0,01905,Joe Ozaki,75.25,374,497
104,0,20127,Chris Riley,75.19,676,899
105,0,10457,Frank Nobilo,75.18,718,955
105,0,21949,Joe Ogilvie,75.18,636,846
107,0,24356,Jason Buha,75.16,584,777
108,0,23656,Jason Caron,75.11,492,655
109,0,23614,Rich Beem,75.03,577,769
110,0,24357,K.J. Choi,75.00,645,860
111,0,01797,Rocco Mediate,74.93,562,750
112,0,07867,Woody Austin,74.92,735,981
112,0,01331,Rick Fehr,74.92,442,590
114,0,06617,Brian Henninger,74.91,651,869
115,0,01724,Jeff Maggert,74.85,613,819
115,0,10585,Scott McCarron,74.85,622,831
117,0,01282,Trevor Dodds,74.82,514,687
118,0,07763,Doug Dunakey,74.69,540,723
119,0,10962,Bradley Hughes,74.66,654,876
120,0,01024,Billy Andrade,74.63,556,745
121,0,10425,Jay Williamson,74.61,761,1020
122,0,01040,Emlyn Aubrey,74.60,423,567
123,0,06809,Bob Burns,74.55,618,829
124,0,10201,Matt Gogel,74.51,573,769
125,0,01920,Craig Parry,74.45,510,685
126,0,12753,David Morland IV,74.40,593,797
127,0,12680,Shigeki Maruyama,74.34,539,725
128,0,19881,Robert Damron,74.33,640,861
129,0,01116,Michael Bradley,74.28,436,587
130,0,20105,Jeff Gove,74.20,581,783
131,0,11032,Frank Lickliter II,74.12,802,1082
131,0,02010,Loren Roberts,74.12,670,904
133,0,01996,Mike Reid,74.07,560,756
134,0,01261,Jay Delsing,74.04,616,832
135,0,19822,Bobby Cochran,73.98,492,665
136,0,06044,Scott Gump,73.89,835,1130
137,0,10963,Jimmy Green,73.87,605,819
138,0,01361,Dan Forsman,73.85,610,826
139,0,10569,Mike Brisky,73.80,631,855
139,0,23125,Brad Elder,73.80,783,1061
141,0,01510,Nolan Henke,73.77,540,732
142,0,01063,Ben Bates,73.71,712,966
143,0,07749,Brett Quigley,73.62,399,542
144,0,20043,Edward Fryatt,73.59,694,943
145,0,02279,Mark Wiebe,73.55,670,911
146,0,02110,Jerry Smith,73.54,770,1047
147,0,01157,Tom Byrum,73.52,697,948
148,0,19846,Brian Gay,73.45,758,1032
149,0,10213,Dicky Pride,73.43,655,892
150,0,01098,Jay Don Blake,73.32,676,922
151,0,07101,Dave Stockton Jr.,73.31,596,813
152,0,20094,Jonathan Kaye,73.28,820,1119
153,0,01926,Steve Pate,73.17,630,861
154,0,21007,Gabriel Hjertstedt,73.14,580,793
155,0,01599,Steve Jones,73.08,456,624
155,0,07753,Kevin Wentworth,73.08,448,613
157,0,08243,Aaron Bengoechea,72.98,451,618
158,0,06062,Charles Raulerson,72.95,642,880
159,0,23621,Rory Sabbatini,72.88,516,708
160,0,01329,Brad Faxon,72.68,681,937
160,0,01761,Len Mattiace,72.68,761,1047
162,0,06078,Esteban Toledo,72.63,828,1140
163,0,21805,Harrison Frazar,72.54,502,692
164,0,08547,John Maginnes,72.45,752,1038
165,0,01941,Tom Pernice Jr.,72.41,651,899
166,0,01533,P.H. Horgan III,72.33,481,665
167,0,06613,Tommy Tolles,72.27,318,440
168,0,01132,Mark Brooks,72.23,619,857
169,0,02131,Mike Springer,72.22,494,684
170,0,01457,Jay Haas,72.18,537,744
171,0,01376,Bob Friend,72.16,674,934
172,0,06315,Pete Jordan,72.10,783,1086
173,0,12388,Michael Clark II,71.84,551,767
174,0,12449,Ryan Howison,71.74,528,736
175,0,06014,Eric Booker,71.70,522,728
175,0,22064,Craig Spence,71.70,522,728
177,0,06643,Paul Goydos,71.63,707,987
178,0,08385,Omar Uresti,71.51,655,916
179,0,01323,Brad Fabel,71.12,596,838
180,0,01072,Chip Beck,71.03,304,428
181,0,01320,Bob Estes,70.93,410,578
182,0,02218,Ted Tryba,70.82,711,1004
183,0,01378,David Frost,70.76,380,537
184,0,01326,Nick Faldo,70.71,338,478
185,0,01175,Jim Carter,70.68,610,863
186,0,01823,Larry Mize,70.67,530,750
187,0,01142,Bart Bryant,70.17,534,761
188,0,01014,Fulton Allem,70.05,538,768
189,0,07363,Craig Bowden,69.36,378,545
190,0,21209,Sergio Garcia,68.42,338,494
191,0,21593,Keith Nolan,68.21,384,563
192,0,01887,Mark O'Meara,68.15,291,427
193,0,11653,Paul Curry,67.04,421,628
194,0,01489,Steve Hart,65.74,451,686
195,0,01928,Corey Pavin,62.26,452,726
