course_id,name,course_code,par,yardage,city,state,country
665,Innisbrook Resort (Copperhead Course),WI,71,"7,340",Palm Harbor,Florida,USA
011,TPC Sawgrass (THE PLAYERS Stadium Course),SA,72,"7,275",Ponte Vedra Beach,Florida,USA
742,Grand Reserve Golf Club,GR,72,"7,506",Rio Grande,,PUR
009,Arnold Palmer's Bay Hill Club & Lodge,BH,72,"7,466",Orlando,Florida,USA
928,PGA National Resort (The Champion),CC,71,"7,147",Palm Beach Gardens,Florida,USA
978,Vidanta Vallarta,VV,71,"7,456",Vallarta,,MEX
500,The Riviera Country Club,RC,71,"7,322",Pacific Palisades,California,USA
510,TPC Scottsdale (Stadium Course),TS,71,"7,261",Scottsdale,Arizona,USA
005,Pebble Beach Golf Links,PB,72,"6,972",Pebble Beach,California,USA
205,Spyglass Hill Golf Course,SH,72,"7,041",Pebble Beach,California,USA
004,Torrey Pines Golf Course (South Course),SC,72,"7,765",San Diego,California,USA
104,Torrey Pines Golf Course (North Course),NC,72,"7,258",San Diego,California,USA
704,Pete Dye Stadium Course,SC,72,"7,187",La Quinta,California,USA
202,La Quinta CC,LQ,72,"7,060",La Quinta,California,USA
233,Nicklaus Tournament Course,NT,72,"7,159",La Quinta,California,USA
006,Waialae Country Club,WC,70,"7,044",Honolulu,Hawaii,USA
656,Plantation Course at Kapalua,PC,73,"7,596","Kapalua, Maui",Hawaii,USA
688,East Lake Golf Club,EL,70,"7,346",Atlanta,Georgia,USA
896,Olympia Fields Country Club (North Course),OF,70,"7,366",Olympia Fields,Illinois,USA
923,Royal Liverpool,RL,71,"7,383","Hoylake, Wirral",,ENG
043,The Los Angeles Country Club (North Course),LN,70,"7,423",Los Angeles,California,USA
908,Oakdale Golf & Country Club,OC,72,"7,264","Toronto, Ontario",,CAN
514,Oak Hill Country Club - East Course,OH,70,"7,394",Rochester,New York,USA
734,PGA National (Champion),CC,70,"7,125",Palm Beach Gardens,Florida,USA
733,El Camaleón Golf Course at Mayakoba,EC,71,"7,034",Riviera Maya,,MEX
902,Congaree Golf Club,CG,71,"7,655",Ridgeland,South Carolina,USA
552,Silverado Resort and Spa (North Course),SC,72,"7,123",Napa,California,USA
901,Wilmington Country Club,WC,71,7534,Wilmington,Delaware,USA
668,St. Andrews GC (Old Course),SA,72,7313,Fife,,SCO
654,The Country Club,CC,70,7254,Brookline,Massachusetts,USA
772,St. George's G&CC,SG,70,7014,"Toronto, ON",,CAN
611,Southern Hills CC,SH,70,7556,Tulsa,Oklahoma,USA
894,TPC Craig Ranch,CR,72,7468,McKinney,Texas,USA
237,TPC Potomac at Avenel Farm,AF,70,7160,Potomac,Maryland,USA
899,The Summit Club,SC,72,7431,Las Vegas,Nevada,USA
882,Caves Valley Golf Club,CV,72,7542,Owings Mills,Maryland,USA
886,Liberty National Golf Club,LN,71,7410,Jersey City,New Jersey,USA
778,Royal St. George's GC,RG,70,7189,"Sandwich, Kent",,ENG
744,Torrey Pines (South),SC,71,7685,San Diego,California,USA
697,Ocean Course at Kiawah Island,KI,72,7876,Kiawah Island,South Carolina,USA
905,Augusta National Golf Club,AN,72,7475,Augusta,Georgia,USA
906,Corales Golf Club,CR,72,7670,Punta Cana,,DOM
898,The Concession Golf Club,CG,72,7564,Bradenton,Florida,USA
881,Sherwood Country Club,SH,72,7073,Thousand Oaks,California,USA
878,Shadow Creek Golf Course,SC,72,7527,Las Vegas,Nevada,USA
891,Winged Foot Golf Club,WF,70,7469,Mamaroneck,New York,USA
700,TPC Boston,BO,71,7308,Norton,Massachusetts,USA
895,TPC Harding Park,HP,70,7251,San Francisco,California,USA
893,Muirfield Village Golf Club,MV,72,7456,Dublin,Ohio,USA
240,Club de Golf Chapultepec,GC,71,7355,Mexico City,,MEX
766,Sheshan International GC,SI,72,7264,Shanghai,,CHN
242,Nine Bridges,NB,72,7241,Jeju Island,,KOR
729,GC of Houston,GH,72,7441,Humble,Texas,USA
771,The Old White TPC,OW,70,7292,White Sulphur Springs,West Virginia,USA
348,Medinah CC (No. 3),MC,72,7613,Medinah,Illinois,USA
885,Royal Portrush Golf Club,RP,71,7344,Portrush,,NIR
666,Pebble Beach Golf Links,PB,71,7075,Pebble Beach,California,USA
880,Bethpage State Park BK Course,BP,70,7459,Farmingdale,New York,USA
243,Trinity Forest Golf Club,TF,71,7371,Dallas,Texas,USA
800,TPC Kuala Lumpur,KL,72,7005,Kuala Lumpur,,MAS
773,Aronimink GC,AR,70,7267,Newtown Square,Pennsylvania,USA
873,Ridgewood CC,RC,71,7385,Paramus,New Jersey,USA
534,Bellerive CC,BC,70,7316,St. Louis,Missouri,USA
036,Firestone CC (South),FC,70,7400,Akron,Ohio,USA
032,Glen Abbey GC,GA,72,7253,"Oakville,Ontario",,
658,Carnoustie GC,CG,71,7402,Angus,,SCO
823,Keene Trace Golf Club,KT,72,7328,Nicholasville,Kentucky,USA
618,Shinnecock Hills GC,SH,70,7445,Southampton,New York,USA
789,Conway Farms GC,CF,71,7208,Lake Forest,Illinois,USA
238,Glen Oaks Club,GO,70,7346,Old Westbury,New York,USA
241,Quail Hollow-PGA Championship,QH,71,7600,Charlotte,North Carolina,USA
819,RTJ Trail (Grand National),RT,71,7302,Auburn/Opelika,Alabama,USA
541,The Belfry (Brabazon),TB,70,7156,"Wishaw, Sutton, Codfield",,ENG
236,Erin Hills,EH,72,7741,Erin,Wisconsin,USA
019,TPC Four Seasons Resort,FS,70,7166,Irving,Texas,USA
235,Eagle Point Golf Club,EP,72,7396,Wilmington,North Carolina,USA
527,Crooked Stick GC,CS,72,7567,Carmel,Indiana,USA
689,Bethpage State Park (Black),BP,71,7468,Farmingdale,New York,USA
715,Baltusrol GC,BA,70,7428,Springfield,New Jersey,USA
024,Congressional CC (Blue),CC,71,7569,Bethesda,Maryland,USA
608,Oakmont CC,OC,70,7219,Oakmont,Pennsylvania,USA
698,Quail Hollow Club,QH,72,7575,Charlotte,North Carolina,USA
714,TPC Louisiana,LA,72,7425,Avondale,Louisiana,USA
008,Trump National Doral,DO,72,7543,Miami,Florida,USA
781,Plainfield CC,PL,70,7012,Edison,New Jersey,USA
706,Whistling Straits,WS,72,7501,Sheboygan,Wisconsin,USA
616,Robert Trent Jones GC,RT,71,7385,Gainesville,Virginia,USA
818,Chambers Bay GC,CB,70,7710,University Place,Washington,USA
100,Chambers Bay GC 2,CB,70,7593,University Place,Washington,USA
