tournament_id,course_id
R2020490,771
R2019060,688
R2019028,348
R2019027,886
R2019013,752
R2019476,513
R2019100,885
R2019518,884
R2019030,669
R2019525,883
R2019524,876
R2019034,503
R2019026,666
R2019032,874
R2019023,023
R2019021,021
R2019033,880
R2019019,243
R2019480,872
R2019012,012
R2019014,014
R2019041,770
R2019522,244
R2019475,665
R2019011,011
R2019009,009
R2019010,734
R2019483,742
R2019473,240
R2019007,500
R2019005,005
R2019005,205
R2019005,769
R2019003,510
R2019004,004
R2019004,104
R2019002,704
R2019002,202
R2019002,233
R2019006,006
R2019016,656
R2019493,776
R2019493,231
R2019457,733
R2019047,538
R2019054,746
R2019489,766
R2019521,242
R2019494,800
R2019464,552
R2018060,688
R2018028,773
R2018505,700
R2018027,873
R2018013,752
R2018033,534
R2018476,036
R2018032,032
R2018100,658
R2018518,823
R2018030,669
R2018490,771
R2018471,237
R2018034,503
R2018026,618
R2018025,513
R2018023,023
R2018021,021
R2018019,243
R2018011,011
R2018480,872
R2018041,770
R2018012,012
R2018014,014
R2018020,729
R2018522,244
R2018009,009
R2018475,665
R2018473,240
R2018010,734
R2018007,500
R2018005,005
R2018005,205
R2018005,769
R2018003,510
R2018004,004
R2018004,104
R2018002,704
R2018002,202
R2018002,233
R2018006,006
R2018016,656
R2018493,776
R2018493,231
R2018457,733
R2018047,538
R2018489,766
R2018054,746
R2018521,242
R2018494,800
R2018464,552
R2017060,688
R2017028,789
R2017505,700
R2017027,238
R2017013,752
R2017033,241
R2017476,036
R2017032,032
R2017518,819
R2017100,541
R2017030,669
R2017490,771
R2017471,237
R2017034,503
R2017026,236
R2017025,513
R2017023,023
R2017021,021
R2017019,019
R2017011,011
R2017480,235
R2017041,770
R2017012,012
R2017014,014
R2017020,729
R2017483,742
R2017009,009
R2017475,665
R2017473,240
R2017010,734
R2017007,500
R2017005,005
R2017005,205
R2017005,769
R2017003,510
R2017004,004
R2017004,104
R2017002,704
R2017002,202
R2017002,233
R2017006,006
R2017016,656
R2017493,776
R2017493,231
R2017457,733
R2017047,538
R2017489,766
R2017054,746
R2017494,800
R2017464,552
R2016060,688
R2016028,527
R2016505,700
R2016027,689
R2016013,752
R2016030,669
R2016034,503
R2016033,715
R2016032,032
R2016518,819
R2016100,709
R2016476,036
R2016471,024
R2016026,608
R2016025,513
R2016023,023
R2016021,021
R2016019,019
R2016011,011
R2016480,698
R2016018,714
R2016041,770
R2016012,012
R2016014,014
R2016020,729
R2016483,742
R2016009,009
R2016475,665
R2016473,008
R2016010,734
R2016007,500
R2016005,005
R2016005,205
R2016005,769
R2016003,510
R2016004,004
R2016004,104
R2016002,704
R2016002,202
R2016002,233
R2016006,006
R2016016,656
R2016493,776
R2016493,231
R2016457,733
R2016054,746
R2016489,766
R2016494,800
R2016047,538
R2016464,552
R2015060,688
R2015028,789
R2015505,700
R2015027,781
R2015013,752
R2015033,706
R2015476,036
R2015471,616
R2015032,032
R2015100,668
R2015518,819
R2015030,669
R2015490,771
R2015034,503
R2015026,818
R2015026,100
R2015025,513
R2015023,023
R2015019,019
R2015019,822
R2015021,021
R2015480,698
R2015011,011
R2015018,714
R2015012,012
R2015014,014
R2015020,729
R2015041,770
R2015009,009
R2015475,665
R2015483,742
R2015473,008
R2015010,734
R2015007,500
R2015005,005
R2015005,205
R2015005,769
R2015004,004
R2015004,104
R2015003,510
R2015002,649
R2015002,202
R2015002,763
R2015006,006
R2015016,656
R2015457,733
R2015054,746
R2015489,766
R2015494,800
R2015493,776
R2015047,538
R2015464,552
R2014060,688
R2014028,505
R2014505,700
R2014027,745
R2014013,752
R2014033,671
R2014476,036
R2014032,642
R2014100,724
R2014030,669
R2014490,771
R2014471,024
R2014034,503
R2014026,528
R2014025,513
R2014023,023
R2014021,021
R2014019,019
R2014011,011
R2014480,698
R2014018,714
R2014012,012
R2014014,014
R2014020,729
R2014041,770
R2014009,009
R2014475,665
R2014483,742
R2014473,008
R2014010,734
R2014007,500
R2014005,005
R2014005,205
R2014005,769
R2014003,510
R2014004,004
R2014004,104
R2014002,649
R2014002,202
R2014002,763
R2014006,006
R2014016,656
R2014457,733
R2014493,776
R2014489,766
R2014494,800
R2014047,538
R2014464,775
R2013060,688
R2013028,789
R2013505,700
R2013027,762
R2013013,752
R2013033,558
R2013476,036
R2013032,032
R2013100,542
R2013054,609
R2013030,669
R2013490,771
R2013471,024
R2013034,503
R2013026,555
R2013025,513
R2013023,023
R2013021,021
R2013019,019
R2013011,011
R2013480,698
R2013018,714
R2013012,012
R2013014,014
R2013041,770
R2013020,729
R2013009,009
R2013475,665
R2013483,742
R2013473,008
R2013010,734
R2013007,500
R2013005,005
R2013005,205
R2013005,445
R2013003,510
R2013004,004
R2013004,104
R2013002,649
R2013002,202
R2013002,763
R2013006,006
R2013016,656
R2012045,045
R2012045,145
R2012493,776
R2012464,775
R2012047,538
R2012060,688
R2012028,527
R2012505,700
R2012027,689
R2012013,752
R2012033,697
R2012476,036
R2012032,694
R2012054,609
R2012100,539
R2012030,669
R2012490,771
R2012471,024
R2012034,503
R2012026,651
R2012025,513
R2012023,023
R2012021,021
R2012019,019
R2012011,011
R2012480,698
R2012018,714
R2012041,770
R2012012,012
R2012014,014
R2012020,729
R2012009,009
R2012475,665
R2012473,008
R2012483,742
R2012010,734
R2012457,733
R2012007,500
R2012005,005
R2012005,205
R2012005,445
R2012003,510
R2012004,004
R2012004,104
R2012006,006
R2012016,656
