course_id,label,value,detail,secondary_detail
104,Established,1957,,
104,Design,William Bell,,
704,Par,72,,
704,Yardage,"7,187",,
704,Record,259,Nick Dunlap,2024
704,Fairway,Bermudagrass/Overseeded Ryegrass,,
704,Rough,Bermudagrass/Overseeded Ryegrass,,
704,Green,Tifdwarf Bermudagrass,,
704,Established,1959,,
704,Design,Lawrence Hughes,,
202,Par,72,,
202,Yardage,"7,060",,
202,Record,259,Nick Dunlap,2024
202,Fairway,Bermudagrass/Overseeded Ryegrass,,
202,Rough,Bermudagrass/Overseeded Ryegrass,,
202,Green,Tifdwarf Bermudagrass,,
202,Established,1959,,
202,Design,Lawrence Hughes,,
233,Par,72,,
233,Yardage,"7,159",,
233,Record,259,Nick Dunlap,2024
233,Fairway,Bermudagrass/Overseeded Ryegrass,,
233,Rough,Bermudagrass/Overseeded Ryegrass,,
233,Green,Tifdwarf Bermudagrass,,
233,Established,1959,,
233,Design,Lawrence Hughes,,
006,Par,70,,
006,Yardage,"7,044",,
006,Record,253,Justin Thomas,2017
006,Fairway,Bermudagrass,,
006,Rough,Bermudagrass,,
006,Green,Tifdwarf Bermudagrass,,
006,Established,1927,,
006,Design,Seth Raynor,,
656,Par,73,,
656,Yardage,"7,596",,
656,Record,258,Cameron Smith,2022
656,Fairway,Bermudagrass,,
656,Rough,Bermudagrass,,
656,Green,Tifeagle Bermudagrass,,
656,Established,1991,,
656,Design,Bill Coore / Ben Crenshaw,,
688,Par,70,,
688,Yardage,"7,346",,
688,Record,257,Tiger Woods,2007
688,Fairway,Meyer Zoysiagrass,,
688,Rough,Common 419 Bermudagrass,,
688,Green,Bermudagrass,,
688,Established,1928,,
688,Design,Tom Bendelow,,
896,Par,70,,
896,Yardage,"7,366",,
896,Record,260,Justin Rose,2018
896,Fairway,Bentgrass,,
896,Rough,Kentucky Bluegrass,,
896,Green,Bentgrass,,
896,Established,1923,,
896,Design,Willie Park Jr,,
923,Par,71,,
923,Yardage,"7,383",,
923,Record,264,Henrik Stenson,2016
923,Established,1869,,
923,Design,Robert Chambers,,
043,Par,70,,
043,Yardage,"7,423",,
043,Record,268,Rory McIlroy,2011
043,Fairway,Bermudagrass,,
043,Rough,Bermudagrass,,
043,Green,Creeping Bentgrass,,
043,Established,1911,,
043,Design,"George C. Thomas, Jr., William P. Bell",,
908,Par,72,,
908,Yardage,"7,264",,
908,Record,258,Rory McIlroy,2019
908,Fairway,Bentgrass/Poa annua,,
908,Rough,Bluegrass,,
908,Green,Bentgrass/Poa annua,,
908,Established,1926,,
908,Design,Stanley Thompson,,
514,Par,70,,
514,Yardage,"7,394",,
514,Record,263,Xander Schauffele,2024
514,Fairway,Bentgrass/Poa annua,,
514,Rough,Fescue/Rye,,
514,Green,Bentgrass,,
514,Established,1901,,
514,Design,Donald Ross,,
734,Par,70,,
734,Yardage,"7,125",,
734,Record,264,Justin Leonard,2003
734,Fairway,328 Bermudagrass,,
734,Rough,Bermudagrass/Overseeded Ryegrass,,
734,Green,Tifeagle Bermudagrass,,
734,Established,1981,,
734,Design,Tom Fazio,,
733,Par,71,,
733,Yardage,"7,034",,
733,Record,261,Erik van Rooyen,2023
733,Fairway,Sodded Penncross,,
733,Rough,Sodded Penncross,,
733,Green,Sodded Penncross,,
733,Established,2004,,
733,Design,Greg Norman,,
902,Par,71,,
902,Yardage,"7,655",,
902,Record,263,Rory McIlroy,2021
902,Fairway,Bermudagrass,,
902,Rough,Unknown,,
902,Green,Bermudagrass,,
902,Established,2017,,
902,Design,Tom Fazio,,
552,Par,72,,
552,Yardage,"7,123",,
552,Record,262,Jamie Lovemark,2009
552,Fairway,Bermudagrass/Ryegrass/Poa trivialis,,
552,Rough,Bermudagrass/Ryegrass/Poa trivialis,,
552,Green,Bentgrass/Poa Trivialis,,
552,Established,1966,,
552,Design,Robert Trent-Jones JR.,,
901,Par,71,,
901,Yardage,"7,534",,
901,Record,260,Justin Rose,2018
901,Fairway,Bentgrass,,
901,Rough,Bluegrass/Fescue,,
901,Green,Bentgrass,,
901,Established,1959,,
901,Design,"Robert Trent Jones, Jr.",,
668,Par,72,,
668,Yardage,"7,313",,
668,Record,264,Henrik Stenson,2016
668,Established,1552,,
668,Design,Established 1552,,
654,Par,70,,
654,Yardage,"7,254",,
654,Record,268,Rory McIlroy,2011
654,Established,1893,,
654,Design,Willie Campbell,,
772,Par,70,,
772,Yardage,"7,014",,
772,Record,258,Rory McIlroy,2019
772,Fairway,Bentgrass/Poa annua,,
772,Rough,Bluegrass,,
772,Green,Bentgrass,,
772,Established,1929,,
772,Design,Stanley Thompson,,
611,Par,70,,
611,Yardage,"7,556",,
611,Record,263,Xander Schauffele,2024
611,Fairway,328 Bermudagrass,,
611,Rough,328 Bermudagrass,,
611,Green,328 Bermudagrass,,
611,Established,1936,,
611,Design,Perry Maxwell,,
894,Par,72,,
894,Yardage,"7,468",,
894,Record,259,Steven Bowditch,2015
894,Fairway,Zoysiagrass,,
894,Rough,Tifton 328,,
894,Green,A1/A4 Bentgrass,,
894,Established,2004,,
894,Design,Tom Weiskopf,,
237,Par,70,,
237,Yardage,"7,160",,
237,Record,265,Wyndham Clark,2023
237,Fairway,A-4 Bentgrass,,
237,Rough,Kentucky Bluegrass/fescue,,
237,Green,A1/A4 Bentgrass,,
237,Established,1986,,
237,Design,Stephen Wenzloff & Jim Hardy,,
899,Par,72,,
899,Yardage,"7,431",,
899,Record,263,Rory McIlroy,2021
899,Fairway,Bermudagrass/Overseeded Ryegrass,,
899,Rough,Bermudagrass/Overseeded Ryegrass,,
899,Green,Bentgrass,,
899,Established,2017,,
899,Design,Tom Fazio,,
882,Par,72,,
882,Yardage,"7,542",,
882,Record,260,Justin Rose,2018
882,Fairway,Bentgrass,,
882,Rough,Bluegrass,,
882,Green,Bentgrass,,
882,Established,1991,,
882,Design,Tom Fazio,,
886,Par,71,,
886,Yardage,"7,410",,
886,Record,254,Dustin Johnson,2020
886,Fairway,Bentgrass,,
886,Rough,Kentucky Bluegrass,,
886,Green,Bentgrass,,
886,Established,2006,,
886,Design,Robert E. Cupp - Tom Kite,,
778,Par,70,,
778,Yardage,"7,189",,
778,Record,264,Henrik Stenson,2016
778,Established,1887,,
778,Design,Laidlaw Purves,,
744,Par,71,,
744,Yardage,"7,685",,
744,Established,1957,,
744,Design,William Bell,,
697,Par,72,,
697,Yardage,"7,876",,
697,Record,263,Xander Schauffele,2024
697,Fairway,419 Bermudagrass & Buffalo Naturals,,
697,Rough,419 Bermudagrass/Ryegrass,,
697,Green,419 Bermudagrass & Buffalo Naturals,,
697,Established,1991,,
697,Design,Pete and Alice Dye,,
905,Par,72,,
905,Yardage,"7,475",,
906,Par,72,,
906,Yardage,"7,670",,
906,Fairway,Paspalum,,
906,Rough,Paspalum,,
906,Green,Paspalum,,
906,Established,2010,,
906,Design,Tom Fazio,,
898,Par,72,,
898,Yardage,"7,564",,
898,Fairway,Bermudagrass,,
898,Rough,Bermudagrass,,
898,Green,Bermudagrass,,
898,Established,2005,,
898,Design,Jack Nicklaus\Tony Jacklin,,
881,Par,72,,
881,Yardage,"7,073",,
881,Record,260,Nico Echavarria,2024
881,Fairway,Bentgrass,,
881,Rough,Ryegrass,,
881,Green,Bentgrass,,
881,Established,1989,,
881,Design,Jack Nicklaus,,
878,Par,72,,
878,Yardage,"7,527",,
878,Record,263,Rory McIlroy,2021
878,Fairway,Ryegrass,,
878,Rough,Ryegrass,,
878,Green,Bentgrass,,
878,Established,1989,,
878,Design,Tom Fazio,,
891,Par,70,,
891,Yardage,"7,469",,
891,Record,268,Rory McIlroy,2011
891,Established,1923,,
891,Design,A.W. Tillinghast,,
700,Par,71,,
700,Yardage,"7,308",,
700,Record,254,Dustin Johnson,2020
700,Fairway,Princeville Bentgrass,,
700,Rough,Kentucky Bluegrass/fescue,,
700,Green,A-4 Bentgrass,,
700,Established,2002,,
700,Design,Palmer Course Design Co.,,
895,Par,70,,
895,Yardage,"7,251",,
895,Record,263,Xander Schauffele,2024
895,Fairway,Bentgrass/Ryegrass/Poa annua,,
895,Rough,Bentgrass/Ryegrass/Poa annua,,
895,Green,Bentgrass,,
895,Established,1925,,
895,Design,Willie Watson,,
893,Par,72,,
893,Yardage,"7,456",,
893,Fairway,Bentgrass,,
893,Rough,Kentucky Bluegrass/Perennial Ryegrass,,
893,Green,Bentgrass/Poa annua,,
893,Established,1974,,
893,Design,Jack Nicklaus\Desmond Muirhead,,
240,Par,71,,
240,Yardage,"7,355",,
240,Fairway,Kikuyugrass,,
240,Rough,Kikuyugrass,,
240,Green,Poa annua,,
240,Established,1921,,
240,Design,Alex Smith,,
766,Par,72,,
766,Yardage,"7,264",,
766,Established,2004,,
766,Design,Nelson & Haworth,,
242,Par,72,,
242,Yardage,"7,241",,
242,Record,263,Rory McIlroy,2021
242,Design, ,,
729,Par,72,,
729,Yardage,"7,441",,
729,Record,264,Tony Finau,2022
729,Fairway,Bermudagrass,,
729,Rough,Bermudagrass,,
729,Green,Pennlinks Bentgrass,,
729,Established,2004,,
729,Design,Rees Jones and David Toms,,
771,Par,70,,
771,Yardage,"7,292",,
771,Fairway,Bentgrass/Penn A4 Creeping Bentgrass,,
771,Rough,Bluegrass/Fescue,,
771,Green,Bentgrass/Penncross Creeping Bentgrass,,
771,Established,1914,,
771,Design,Charles Blair MacDonald,,
348,Par,72,,
348,Yardage,"7,613",,
348,Record,260,Justin Rose,2018
348,Fairway,Bentgrass,,
348,Rough,Bluegrass/Ryegrass,,
348,Green,Bentgrass,,
348,Design, ,,
885,Par,71,,
885,Yardage,"7,344",,
885,Record,264,Henrik Stenson,2016
666,Par,71,,
666,Yardage,"7,075",,
666,Record,268,Rory McIlroy,2011
666,Design, ,,
880,Par,70,,
880,Yardage,"7,459",,
880,Record,263,Xander Schauffele,2024
880,Fairway,Perennial Ryegrass/Poa Annua,,
880,Rough,Bluegrass/Fescue,,
880,Green,Bentgrass/Poa annua,,
880,Established,1936,,
880,Design,A.W. Tillinghast,,
243,Par,71,,
243,Yardage,"7,371",,
243,Record,259,Steven Bowditch,2015
243,Fairway,Tifton 328,,
243,Rough,Creeping Bentgrass,,
243,Green,Common 419 Bermudagrass,,
243,Established,2016,,
243,Design,Bill Coore and Ben Crenshaw,,
800,Par,72,,
800,Yardage,"7,005",,
800,Established,1994,,
800,Design,Lam Chang,,
773,Par,70,,
773,Yardage,"7,267",,
773,Record,260,Justin Rose,2018
773,Fairway,Bentgrass,,
773,Rough,Tall Fescue,,
773,Green,Bentgrass,,
773,Established,1928,,
773,Design,Donald J. Ross,,
873,Par,71,,
873,Yardage,"7,385",,
873,Record,254,Dustin Johnson,2020
873,Fairway,Poa annua,,
873,Rough,Bluegrass,,
873,Green,Poa annua,,
873,Established,1929,,
873,Design,A.W. Tillinghast,,
534,Par,70,,
534,Yardage,"7,316",,
534,Record,263,Xander Schauffele,2024
534,Fairway,Zoysiagrass,,
534,Rough,Fine Fescue,,
534,Green,A-4 Bentgrass,,
534,Established,1960,,
534,Design,Robert Trent Jones Sr.,,
036,Par,70,,
036,Yardage,"7,400",,
036,Fairway,Penncross Bentgrass/Poa annua,,
036,Rough,Bluegrass/Ryegrass/Fescue,,
036,Green,Penncross Bentgrass/Poa annua,,
036,Established,1960,,
036,Design,Robert Trent Jones Sr.,,
032,Par,72,,
032,Yardage,"7,253",,
032,Record,258,Rory McIlroy,2019
032,Fairway,Princeville Bentgrass,,
032,Rough,Bluegrass/Ryegrass/Fescue,,
032,Green,Princeville Bentgrass,,
032,Established,1976,,
032,Design,Jack Nicklaus,,
658,Par,71,,
658,Yardage,"7,402",,
658,Record,264,Henrik Stenson,2016
823,Par,72,,
823,Yardage,"7,328",,
823,Record,262,Jim Herman,2019
823,Fairway,Bentgrass,,
823,Rough,Kentucky Bluegrass/fescue,,
823,Green,Bentgrass,,
823,Design, ,,
618,Par,70,,
618,Yardage,"7,445",,
618,Record,268,Rory McIlroy,2011
618,Design, ,,
789,Par,71,,
789,Yardage,"7,208",,
789,Record,260,Justin Rose,2018
789,Fairway,Penncross Bentgrass,,
789,Rough,Kentucky Bluegrass,,
789,Green,Bentgrass,,
789,Established,1991,,
789,Design,Tom Fazio,,
238,Par,70,,
238,Yardage,"7,346",,
238,Record,254,Dustin Johnson,2020
238,Fairway,Poa annua,,
238,Rough,Kentucky Bluegrass,,
238,Green,Poa annua,,
241,Par,71,,
241,Yardage,"7,600",,
241,Record,263,Xander Schauffele,2024
241,Fairway,328 Bermudagrass/Ryegrass,,
241,Rough,328 Bermudagrass/Ryegrass,,
241,Green,419 Bermudagrass,,
241,Established,1961,,
241,Design,George Cobb,,
819,Par,71,,
819,Yardage,"7,302",,
819,Record,262,Jim Herman,2019
819,Fairway,419 Bermudagrass,,
819,Rough,419 Bermudagrass,,
819,Green,Bermudagrass,,
819,Established,1992,,
819,Design,Robert Trent Jones Sr.,,
541,Par,70,,
541,Yardage,"7,156",,
541,Record,264,Henrik Stenson,2016
236,Par,72,,
236,Yardage,"7,741",,
236,Record,268,Rory McIlroy,2011
019,Par,70,,
019,Yardage,"7,166",,
019,Record,259,Steven Bowditch,2015
019,Fairway,419 Hybrid Bermudagrass,,
019,Rough,419 Bermudagrass,,
019,Green,Creeping Bentgrass,,
019,Established,1986,,
019,Design,JAY MORRISH,,
235,Par,72,,
235,Yardage,"7,396",,
235,Record,265,Wyndham Clark,2023
527,Par,72,,
527,Yardage,"7,567",,
527,Record,260,Justin Rose,2018
527,Fairway,Creeping Bentgrass,,
527,Rough,Kentucky Bluegrass/Perennial Ryegrass,,
527,Green,Creeping Bentgrass,,
527,Established,1964,,
527,Design,Pete Dye,,
689,Par,71,,
689,Yardage,"7,468",,
689,Record,254,Dustin Johnson,2020
689,Fairway,Ryegrass,,
689,Rough,Bluegrass/Ryegrass,,
689,Green,Poa annua,,
689,Established,1936,,
689,Design,Joseph Burbeck,,
715,Par,70,,
715,Yardage,"7,428",,
715,Record,263,Xander Schauffele,2024
715,Fairway,Bentgrass/Poa annua,,
715,Rough,Kentucky Bluegrass,,
715,Green,Bentgrass/Poa annua,,
715,Design, ,,
024,Par,71,,
024,Yardage,"7,569",,
024,Fairway,Creeping Bentgrass,,
024,Rough,Tall Fescue,,
024,Green,Creeping Bentgrass,,
024,Established,1924,,
024,Design,Devereux Emmet,,
608,Par,70,,
608,Yardage,"7,219",,
608,Record,268,Rory McIlroy,2011
608,Design, ,,
698,Par,72,,
698,Yardage,"7,575",,
698,Record,265,Wyndham Clark,2023
698,Fairway,328 Bermudagrass/Ryegrass,,
698,Rough,328 Bermudagrass/Ryegrass,,
698,Green,419 Bermudagrass,,
698,Established,1961,,
698,Design,George Cobb,,
714,Par,72,,
714,Yardage,"7,425",,
714,Fairway,Tifsport Bermudagrass,,
714,Rough,Tifsport Bermudagrass,,
714,Green,Bermudagrass/Ryegrass/Poa trivialis,,
714,Established,2003,,
714,Design,Pete Dye,,
008,Par,72,,
008,Yardage,"7,543",,
008,Fairway,Bermudagrass,,
008,Rough,419 Bermudagrass,,
008,Green,Tifeagle Bermudagrass,,
008,Established,1961,,
008,Design,Dick Wilson & Robert von Hagge,,
781,Par,70,,
781,Yardage,"7,012",,
781,Record,254,Dustin Johnson,2020
781,Fairway,Bentgrass,,
781,Rough,Kentucky Blue/Perennial Rye/Fine Fescue,,
781,Green,Poa annua,,
781,Established,1916,,
781,Design,Donald Ross,,
706,Par,72,,
706,Yardage,"7,501",,
706,Record,263,Xander Schauffele,2024
706,Fairway,Fine Fescue,,
706,Rough,Fine Fescue,,
706,Green,Bentgrass,,
706,Established,1998,,
706,Design,Pete Dye,,
616,Par,71,,
616,Yardage,"7,385",,
616,Fairway,Bentgrass,,
616,Rough,Kentucky Bluegrass/fescue,,
616,Green,Bentgrass,,
616,Established,1991,,
616,Design,"Robert Trent Jones, Sr.",,
818,Par,70,,
818,Yardage,"7,710",,
818,Record,268,Rory McIlroy,2011
818,Established,2007,,
818,Design,Robert Trent Jones Jr.,,
100,Par,70,,
100,Yardage,"7,593",,
100,Record,268,Rory McIlroy,2011
100,Established,2007,,
100,Design,Robert Trent Jones Jr.,,
649,Par,72,,
649,Yardage,"6,950",,
649,Record,259,Nick Dunlap,2024
649,Fairway,Bermudagrass/Ryegrass,,
649,Rough,Bermudagrass/Ryegrass,,
649,Green,Bermudagrass/Ryegrass/Poa trivialis,,
649,Established,1959,,
649,Design,Lawrence Hughes,,
202,Par,72,,
202,Yardage,"7,060",,
202,Record,259,Nick Dunlap,2024
202,Fairway,Bermudagrass/Ryegrass,,
202,Rough,Bermudagrass/Ryegrass,,
202,Green,Bermudagrass/Ryegrass/Poa trivialis,,
202,Established,1959,,
202,Design,Lawrence Hughes,,
763,Par,72,,
763,Yardage,"6,924",,
763,Record,259,Nick Dunlap,2024
763,Fairway,Bermudagrass/Ryegrass,,
763,Rough,Bermudagrass/Ryegrass,,
763,Green,Bermudagrass/Ryegrass/Poa trivialis,,
763,Established,1959,,
763,Design,Lawrence Hughes,,
505,Par,70,,
505,Yardage,"7,352",,
505,Record,260,Justin Rose,2018
505,Fairway,Bentgrass/Ryegrass/Poa annua,,
505,Rough,Kentucky Bluegrass/fescue,,
505,Green,Bentgrass/Poa annua,,
505,Established,1922,,
