RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 320+,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
124,0,33399,Adam Hadwin,10.51%,104,990,-0.163
125,0,48319,Tom Whitney,10.40%,72,692,-0.264
126,0,49960,Sepp Straka,10.39%,96,924,-0.250
127,0,55708,Hayden Buckley,10.19%,85,834,-0.118
128,0,28252,Seamus Power,10.18%,126,1238,-0.349
129,0,22405,Justin Rose,10.08%,75,744,-0.227
130,0,30163,Henrik Norlander,10.00%,68,680,-0.471
131,0,51349,Nico Echavarria,9.98%,97,972,-0.227
131,0,36871,Matt NeSmith,9.98%,86,862,-0.279
133,0,50493,Justin Suh,9.88%,85,860,-0.482
134,0,33486,Roger Sloan,9.79%,73,746,-0.151
135,0,34021,Bud Cauley,9.75%,69,708,-0.362
136,0,27349,Alex Noren,9.74%,81,832,-0.296
137,0,40115,Adam Svensson,9.55%,133,1392,-0.233
138,0,34076,Joel Dahmen,9.39%,95,1012,-0.316
139,0,29221,Webb Simpson,9.24%,63,682,-0.254
140,0,52666,Sami Valimaki,9.18%,72,784,-0.250
141,0,47983,Chad Ramey,9.14%,87,952,-0.322
142,0,51287,Ryo Hisatsune,9.11%,88,966,-0.295
143,0,46414,Aaron Rai,8.59%,89,1036,-0.236
144,0,54591,Ben Griffin,8.51%,107,1258,-0.364
145,0,47993,Denny McCarthy,8.48%,94,1108,-0.266
146,0,54783,Dylan Wu,8.47%,82,968,-0.390
147,0,52375,Doug Ghim,8.44%,92,1090,-0.261
148,0,27644,Brian Harman,8.42%,93,1104,-0.323
149,0,54628,Lee Hodges,8.36%,100,1196,-0.250
150,0,40162,Justin Lower,8.21%,94,1145,-0.330
151,0,34098,Russell Henley,8.11%,73,900,-0.274
152,0,25493,Nick Taylor,7.95%,84,1056,-0.155
153,0,37275,Sam Ryder,7.93%,66,832,-0.303
154,0,36801,Mark Hubbard,7.80%,95,1218,-0.179
155,0,27770,Camilo Villegas,7.75%,48,619,-0.375
156,0,52513,Carson Young,7.73%,79,1022,-0.354
157,0,29908,C.T. Pan,7.72%,61,790,-0.344
158,0,51890,Greyson Sigg,7.57%,69,912,-0.261
159,0,32640,Troy Merritt,7.32%,59,806,-0.305
160,0,55789,Taylor Montgomery,7.08%,46,650,-0.261
161,0,25900,Lucas Glover,7.06%,76,1076,-0.197
162,0,57900,Chandler Phillips,6.98%,72,1032,-0.278
163,0,27936,Martin Laird,6.93%,56,808,-0.250
164,0,46441,Robby Shelton,6.89%,63,914,-0.317
165,0,31646,Emiliano Grillo,6.78%,73,1076,-0.356
166,0,52374,Brandon Wu,6.62%,58,876,-0.121
167,0,47806,Raul Pereda,6.45%,32,496,-0.313
168,0,32367,Jorge Campillo,6.10%,35,574,-0.286
169,0,45522,Christiaan Bezuidenhout,5.88%,59,1003,-0.203
170,0,36326,David Lipsky,5.83%,47,806,-0.319
171,0,39327,Ben Silverman,5.82%,57,980,-0.333
172,0,28775,Nate Lashley,5.71%,49,858,-0.388
173,0,26596,Ryan Moore,4.52%,40,884,-0.050
174,0,36884,Ben Kohles,4.45%,45,1011,-0.244
175,0,29478,Kevin Kisner,4.43%,29,654,-0.069
176,0,26476,Chez Reavie,3.87%,30,776,-0.233
177,0,22371,Aaron Baddeley,3.81%,31,814,-0.032
178,0,23108,Matt Kuchar,3.66%,34,930,-0.382
179,0,29535,Brice Garnett,3.51%,21,598,-0.524
180,0,30927,Brendon Todd,3.47%,43,1238,-0.488
181,0,34256,Andrew Putnam,3.15%,33,1046,-0.273
182,0,27649,Brandt Snedeker,2.35%,17,722,-0.353
183,0,24024,Zach Johnson,2.33%,14,600,-0.357
184,0,40058,Zac Blair,2.14%,22,1028,-0.364
