RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:APP,MEASURED ROUNDS
134,0,28310,Lee Williams,-.230,-11.741,51
135,0,20593,Greg Chalmers,-.237,-16.559,70
136,0,20848,Ángel Cabrera,-.241,-13.736,57
137,0,25345,Carl Pettersson,-.252,-16.146,64
138,0,10860,Justin Leonard,-.255,-19.094,75
138,0,34409,David Lingmerth,-.255,-14.536,57
140,0,20645,John Senden,-.258,-15.709,61
141,0,22961,David Mathis,-.267,-16.576,62
142,0,22046,Geoff Ogilvy,-.268,-11.248,42
143,0,27503,Steve LeBrun,-.280,-14.845,53
144,0,12782,Tim Herron,-.285,-12.540,44
145,0,29425,Andrew Svoboda,-.295,-10.309,35
146,0,33418,Shawn Stefani,-.308,-15.376,50
147,0,33869,Eric Meierdierks,-.314,-11.619,37
148,0,26951,Johnson Wagner,-.320,-16.662,52
149,0,34360,Patrick Reed,-.327,-24.212,74
150,0,33461,Morgan Hoffmann,-.344,-18.232,53
151,0,30750,Tommy Gainey,-.361,-27.073,75
152,0,24494,Erik Compton,-.363,-23.621,65
153,0,30692,Scott Stallings,-.379,-24.984,66
154,0,34431,Robert Streb,-.398,-24.694,62
155,0,22295,Darron Stiles,-.401,-16.839,42
156,0,28679,Fabián Gómez,-.435,-24.367,56
157,0,32334,Charlie Beljan,-.437,-24.045,55
157,0,25562,Andres Romero,-.437,-22.731,52
159,0,23788,D.J. Trahan,-.448,-17.036,38
160,0,19846,Brian Gay,-.453,-32.144,71
161,0,22806,Doug LaBelle II,-.479,-28.270,59
162,0,06004,Stephen Ames,-.488,-21.450,44
163,0,32698,Bobby Gates,-.498,-18.908,38
163,0,20160,Charlie Wi,-.498,-32.896,66
165,0,24663,Y.E. Yang,-.500,-20.513,41
166,0,24399,Scott Gardiner,-.527,-27.405,52
167,0,27129,Luke List,-.533,-27.722,52
168,0,37273,Derek Ernst,-.564,-27.623,49
169,0,20572,Rod Pampling,-.568,-19.865,35
170,0,24140,Sean O'Hair,-.576,-29.369,51
171,0,27120,Troy Matteson,-.583,-34.406,59
172,0,25336,Alistair Presnell,-.585,-26.908,46
173,0,25274,Steven Bowditch,-.641,-37.159,58
174,0,22371,Aaron Baddeley,-.669,-39.474,59
175,0,28135,Aaron Watkins,-.707,-24.752,35
176,0,24227,Justin Bolli,-.787,-36.221,46
177,0,30711,Colt Knost,-.847,-49.125,58
178,0,27644,Brian Harman,-.856,-65.058,76
179,0,27895,Jonas Blixt,-.882,-59.081,67
180,0,08725,Tom Gillis,-.905,-54.300,60
