RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP-10S
1,0,08793,Tiger Woods,4000,6,14
86,0,26695,Michael Letzig,697,0,2,7999
87,0,20593,Greg Chalmers,696,0,2,8000
88,0,25818,Scott Piercy,683,0,2,8013
89,0,01948,Tim Petrovic,655,0,4,8041
90,0,24503,Jeff Klauk,645,0,2,8051
91,0,26420,Richard Johnson,599,0,2,8097
92,0,20572,Rod Pampling,592,0,2,8104
93,0,21959,Ted Purdy,580,0,1,8116
94,0,26301,James Nitties,560,0,2,8136
95,0,26679,Kevin Stadler,557,0,1,8139
96,0,23788,D.J. Trahan,549,0,2,8147
97,0,20850,Daniel Chopra,549,0,2,8147
98,0,12652,Cameron Beckman,521,0,2,8175
99,0,22348,Nick O'Hern,512,0,1,8184
100,0,21350,Ryuji Imada,504,0,8192
101,0,24357,K.J. Choi,492,0,1,8204
102,0,22621,Ben Curtis,491,0,1,8205
103,0,20127,Chris Riley,489,0,1,8207
104,0,21805,Harrison Frazar,483,0,8213
105,0,24490,George McNeill,480,0,1,8216
106,0,20070,Matt Bettencourt,463,0,2,8233
107,0,23548,Bill Lunde,444,0,1,8252
108,0,06197,Michael Allen,440,0,1,8256
109,0,24358,Robert Garrigus,433,0,1,8263
110,0,24502,Adam Scott,432,0,1,8264
111,0,22371,Aaron Baddeley,431,0,2,8265
112,0,23409,James Driscoll,428,0,1,8268
113,0,25190,Jeff Quinney,425,0,2,8271
114,0,12782,Tim Herron,421,0,8275
115,0,23325,Vaughn Taylor,416,0,1,8280
116,0,20472,Alex Cejka,416,0,2,8280
117,0,01161,Mark Calcavecchia,411,0,3,8285
118,0,06251,Chris DiMarco,391,0,8305
119,0,07457,Steve Flesch,389,0,2,8307
120,0,27963,Chris Stroud,379,0,1,8317
121,0,21949,Joe Ogilvie,377,0,1,8319
122,0,22961,David Mathis,377,0,8319
123,0,01473,Todd Hamilton,369,0,1,8327
124,0,26287,Roland Thatcher,364,0,2,8332
125,0,01724,Jeff Maggert,363,0,2,8333
126,0,26300,Matt Jones,353,0,2,8343
127,0,20104,Ken Duke,352,0,8344
128,0,23614,Rich Beem,347,0,1,8349
129,0,01928,Corey Pavin,334,0,8362
130,0,02256,Tom Watson,330,0,1,8366
131,0,23349,Charles Warren,330,0,8366
132,0,25562,Andres Romero,329,0,1,8367
133,0,01797,Rocco Mediate,327,0,1,8369
134,0,23320,Ryan Palmer,324,0,1,8372
135,0,12705,Cliff Kresge,319,0,1,8377
136,0,28620,Aron Price,317,0,1,8379
137,0,23638,Brendon de Jonge,315,0,2,8381
138,0,28780,Nicholas Thompson,315,0,8381
139,0,01116,Michael Bradley,306,1,1,8390
140,0,01035,Tommy Armour III,302,0,1,8394
141,0,20098,Stuart Appleby,302,0,1,8394
142,0,24846,Ricky Barnes,300,0,1,8396
143,0,27466,Spencer Levin,295,0,1,8401
144,0,24912,Will MacKenzie,292,0,2,8404
145,0,12602,Dean Wilson,291,0,8405
146,0,27936,Martin Laird,289,0,1,8407
147,0,01677,Tom Lehman,285,0,1,8411
148,0,25632,Jimmy Walker,284,0,1,8412
149,0,09011,David Duval,274,0,1,8422
150,0,08931,Glen Day,273,0,8423
151,0,26951,Johnson Wagner,268,0,1,8428
152,0,26498,Matt Weibring,264,0,1,8432
153,0,01707,Steve Lowery,262,0,8434
154,0,25345,Carl Pettersson,258,0,8438
155,0,08845,Scott Sterling,258,0,8438
156,0,01941,Tom Pernice Jr.,255,0,1,8441
157,0,23778,Brad Adamonis,253,0,1,8443
158,0,22378,Trevor Immelman,248,0,8448
159,0,26476,Chez Reavie,240,0,1,8456
160,0,06573,Brandt Jobe,227,0,8469
161,0,01142,Bart Bryant,227,0,1,8469
162,0,01766,Billy Mayfair,225,0,1,8471
163,0,20094,Jonathan Kaye,221,0,1,8475
164,0,23497,Tag Ridings,220,0,1,8476
165,0,22548,Patrick Sheehan,213,0,8483
166,0,26497,Casey Wittenberg,211,0,1,8485
167,0,06621,Joe Durant,206,0,1,8490
168,0,28087,Kris Blanks,202,0,1,8494
169,0,06515,Shaun Micheel,201,0,8495
170,0,22892,Jason Gore,197,0,2,8499
171,0,01313,Steve Elkington,194,0,8502
172,0,20634,Peter Lonard,182,0,8514
173,0,01132,Mark Brooks,182,0,1,8514
174,0,26881,Jarrod Lyle,180,0,1,8516
175,0,25349,Tim Wilkinson,177,0,1,8519
176,0,24449,Parker McLachlin,173,0,8523
177,0,10425,Jay Williamson,172,0,8524
178,0,22295,Darron Stiles,169,0,1,8527
179,0,08537,J.P. Hayes,168,0,1,8528
180,0,10733,Kent Jones,162,0,1,8534
181,0,30927,Brendon Todd,154,0,8542
182,0,11032,Frank Lickliter II,151,0,8545
183,0,06373,José María Olazábal,146,0,1,8550
184,0,10117,Bob Heintz,144,0,1,8552
185,0,12680,Shigeki Maruyama,141,0,1,8555
186,0,01553,John Huston,133,0,8563
187,0,06575,Dudley Hart,130,0,8566
188,0,30711,Colt Knost,127,0,8569
189,0,26668,Marc Turnesa,125,0,8571
190,0,02214,Kirk Triplett,124,0,8572
191,0,30750,Tommy Gainey,122,0,8574
192,0,28135,Aaron Watkins,117,0,1,8579
193,0,06012,Greg Kraft,112,0,8584
194,0,25919,Brian Vranesh,111,0,1,8585
195,0,20436,Garrett Willis,108,0,8588
196,0,07003,David Berganio Jr.,93,0,8603
197,0,27382,Wil Collins,91,0,8605
198,0,20378,Mathias Grönberg,90,0,8606
199,0,28118,Peter Tomasulo,89,0,8607
200,0,08385,Omar Uresti,83,0,1,8613
201,0,31416,Derek Fathauer,83,0,8613
202,0,24980,Scott Gutschewski,78,0,8618
203,0,08375,Paul Stankowski,75,0,8621
204,0,27683,Leif Olson,73,0,8623
205,0,10213,Dicky Pride,73,0,1,8623
206,0,23048,Eric Axley,70,0,8626
207,0,31323,Gary Woodland,68,0,8628
208,0,01093,Ronnie Black,65,0,8631
209,0,11123,Chris Couch,57,0,8639
210,0,21407,Arjun Atwal,57,0,8639
211,0,02223,Bob Tway,56,0,8640
212,0,06332,Neal Lancaster,56,0,8640
213,0,01938,David Peoples,55,0,8641
214,0,06214,Guy Boros,55,0,8641
215,0,01249,John Daly,51,0,8645
216,0,02010,Loren Roberts,49,0,8647
217,0,12823,Carlos Franco,49,0,8647
218,0,01717,Sandy Lyle,47,0,8649
219,0,01761,Len Mattiace,44,0,8652
220,0,06539,Rick Price,43,0,8653
221,0,12660,Jesper Parnevik,42,0,8654
222,0,26371,James Oh,42,0,8654
223,0,20433,Mark Hensby,42,0,8654
224,0,01823,Larry Mize,39,0,8657
225,0,01329,Brad Faxon,39,0,8657
226,0,02106,Chris Smith,37,0,8659
227,0,01261,Jay Delsing,35,0,8661
228,0,20628,Arron Oberholser,30,0,8666
229,0,01619,Skip Kendall,29,0,8667
230,0,06034,Marco Dawson,28,0,8668
231,0,20029,Notah Begay III,28,0,8668
232,0,02104,Jeff Sluman,25,0,8671
233,0,19881,Robert Damron,23,0,8673
234,0,01157,Tom Byrum,23,0,8673
235,0,01527,Scott Hoch,22,0,8674
236,0,20382,Stephen Leaney,20,0,8676
237,0,19972,José Coceres,20,0,8676
238,0,07223,Brian Bateman,17,0,8679
239,0,28308,Troy Kelly,15,0,8681
240,0,08339,Spike McRoy,14,0,8682
241,0,01381,Fred Funk,12,0,8684
242,0,10649,Tom Scherrer,11,0,8685
243,0,21633,Steve Allan,10,0,8686
244,0,32199,Matthew Borchert,8,0,8688
245,0,01024,Billy Andrade,7,0,8689
246,0,02245,Grant Waite,7,0,8689
247,0,29745,Tyler Aldridge,5,0,8691
248,0,23338,David Gossett,4,0,8692
249,0,01042,Paul Azinger,1,0,8695
250,0,01139,Olin Browne,1,0,8695
251,0,01887,Mark O'Meara,1,0,8695
252,0,01876,Greg Norman,1,0,8695
253,0,01926,Steve Pate,1,0,8695
254,0,01374,Robin Freeman,1,0,8695
255,0,01685,J.L. Lewis,0,8696
