RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR 4 BIRDIES OR BETTER,PAR 4 HOLES
49,0,20099,Doug Barron,15.84,147,928
50,0,12645,Brent Geiberger,15.75,171,1086
51,0,01549,Mike Hulbert,15.74,165,1048
52,0,19824,Craig Barlow,15.72,138,878
53,0,23614,Rich Beem,15.71,104,662
54,0,06643,Paul Goydos,15.70,157,1000
55,0,06012,Greg Kraft,15.69,156,994
56,0,20098,Stuart Appleby,15.68,146,931
57,0,12660,Jesper Parnevik,15.67,102,651
58,0,01098,Jay Don Blake,15.63,150,960
59,0,20213,Katsumasa Miyamoto,15.59,97,622
60,0,01926,Steve Pate,15.57,152,976
61,0,01766,Billy Mayfair,15.52,131,844
61,0,10213,Dicky Pride,15.52,135,870
63,0,06522,Ernie Els,15.48,91,588
64,0,01927,Dennis Paulson,15.47,160,1034
65,0,02133,Craig Stadler,15.46,81,524
66,0,12663,Phil Tataurangi,15.45,114,738
67,0,06567,Vijay Singh,15.44,162,1049
68,0,02245,Grant Waite,15.41,155,1006
69,0,01968,Nick Price,15.38,96,624
70,0,01553,John Huston,15.36,118,768
71,0,10962,Bradley Hughes,15.34,154,1004
72,0,06251,Chris DiMarco,15.33,157,1024
72,0,08547,John Maginnes,15.33,145,946
74,0,06599,John Elliott,15.32,125,816
75,0,06332,Neal Lancaster,15.30,145,948
75,0,08385,Omar Uresti,15.30,164,1072
75,0,02267,D.A. Weibring,15.30,86,562
78,0,01203,Russ Cochran,15.24,132,866
78,0,21805,Harrison Frazar,15.24,153,1004
80,0,01374,Robin Freeman,15.23,124,814
81,0,06044,Scott Gump,15.22,147,966
81,0,01599,Steve Jones,15.22,88,578
83,0,08931,Glen Day,15.21,144,947
84,0,01320,Bob Estes,15.20,166,1092
85,0,01945,Kenny Perry,15.15,130,858
86,0,01361,Dan Forsman,15.13,146,965
87,0,02104,Jeff Sluman,15.12,170,1124
88,0,01042,Paul Azinger,15.09,115,762
89,0,01771,Blaine McCallister,15.07,148,982
90,0,01707,Steve Lowery,14.93,155,1038
91,0,11011,Mike Sposa,14.91,139,932
92,0,19881,Robert Damron,14.89,170,1142
93,0,01533,P.H. Horgan III,14.88,150,1008
94,0,08537,J.P. Hayes,14.87,138,928
95,0,06036,Scott Dunlap,14.84,127,856
96,0,01116,Michael Bradley,14.79,113,764
97,0,01024,Billy Andrade,14.75,133,902
98,0,01569,Peter Jacobsen,14.74,112,760
99,0,06575,Dudley Hart,14.73,129,876
100,0,02242,Lanny Wadkins,14.72,88,598
101,0,06315,Pete Jordan,14.70,137,932
102,0,06014,Eric Booker,14.62,136,930
103,0,10885,Robert Allenby,14.61,128,876
103,0,01928,Corey Pavin,14.61,123,842
103,0,02257,Brian Watts,14.61,123,842
106,0,21949,Joe Ogilvie,14.60,139,952
107,0,08375,Paul Stankowski,14.57,116,796
108,0,10569,Mike Brisky,14.53,118,812
108,0,01191,Barry Cheesman,14.53,147,1012
110,0,01175,Jim Carter,14.51,146,1006
111,0,02008,Lee Rinker,14.50,138,952
112,0,01157,Tom Byrum,14.48,135,932
113,0,01723,Andrew Magee,14.47,123,850
114,0,07781,Ty Armstrong,14.43,116,804
115,0,01457,Jay Haas,14.41,113,784
115,0,01996,Mike Reid,14.41,113,784
117,0,01185,Brandel Chamblee,14.38,115,800
118,0,21007,Gabriel Hjertstedt,14.37,144,1002
119,0,06595,Kevin Sutherland,14.36,143,996
119,0,07753,Kevin Wentworth,14.36,106,738
121,0,01941,Tom Pernice Jr.,14.35,134,934
122,0,10107,Deane Pappas,14.34,121,844
123,0,07763,Doug Dunakey,14.32,130,908
124,0,01685,J.L. Lewis,14.26,140,982
125,0,01418,Bill Glasson,14.25,112,786
126,0,06140,Sean Murphy,14.24,121,850
127,0,23349,Charles Warren,14.23,101,710
128,0,01096,Phil Blackmar,14.19,131,923
129,0,01677,Tom Lehman,14.18,118,832
130,0,10809,Jim Furyk,14.15,139,982
131,0,01313,Steve Elkington,14.12,98,694
132,0,19846,Brian Gay,14.04,100,712
133,0,01331,Rick Fehr,14.03,103,734
