RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 10TH TEE LATE RNDS.
110,0,23718,Nathan Green,71.24,1211,17
111,0,21878,Mark Wilson,71.25,855,12
112,0,07223,Brian Bateman,71.27,784,11
112,0,08123,Jeff Brehaut,71.27,1568,22
112,0,24140,Sean O'Hair,71.27,1069,15
115,0,01577,Lee Janzen,71.29,998,14
115,0,23325,Vaughn Taylor,71.29,1212,17
117,0,24924,Bill Haas,71.30,1640,23
117,0,20634,Peter Lonard,71.30,713,10
119,0,07457,Steve Flesch,71.31,1141,16
120,0,20850,Daniel Chopra,71.32,1355,19
121,0,06567,Vijay Singh,71.33,214,3
122,0,22946,Henrik Bjornstad,71.35,1427,20
122,0,25345,Carl Pettersson,71.35,1213,17
124,0,02214,Kirk Triplett,71.36,785,11
125,0,24358,Robert Garrigus,71.42,1357,19
126,0,01941,Tom Pernice Jr.,71.43,1000,14
126,0,06595,Kevin Sutherland,71.43,1500,21
128,0,21350,Ryuji Imada,71.44,1286,18
128,0,08385,Omar Uresti,71.44,1143,16
130,0,21646,David Branshaw,71.48,1501,21
131,0,06373,José María Olazábal,71.50,429,6
132,0,06012,Greg Kraft,71.57,1002,14
132,0,01948,Tim Petrovic,71.57,1002,14
134,0,24925,Jonathan Byrd,71.58,859,12
135,0,22405,Justin Rose,71.62,931,13
136,0,20121,Todd Fischer,71.63,1719,24
136,0,25632,Jimmy Walker,71.63,1146,16
138,0,06575,Dudley Hart,71.67,860,12
138,0,22913,John Rollins,71.67,1290,18
140,0,21407,Arjun Atwal,71.72,1793,25
141,0,10505,Shane Bertsch,71.76,1507,21
141,0,20631,David McKenzie,71.76,1507,21
143,0,20574,Mathew Goggin,71.77,933,13
143,0,20812,Tjaart van der Walt,71.77,933,13
145,0,26596,Ryan Moore,71.78,646,9
146,0,20593,Greg Chalmers,71.81,1149,16
147,0,02206,David Toms,71.83,431,6
148,0,01329,Brad Faxon,71.88,1222,17
149,0,21470,Daisuke Maruyama,71.89,1366,19
150,0,08537,J.P. Hayes,71.90,719,10
151,0,23497,Tag Ridings,71.91,1582,22
152,0,20094,Jonathan Kaye,71.93,1079,15
152,0,21959,Ted Purdy,71.93,1079,15
154,0,01599,Steve Jones,71.94,1151,16
154,0,07749,Brett Quigley,71.94,1295,18
156,0,01677,Tom Lehman,72.00,360,5
156,0,01887,Mark O'Meara,72.00,576,8
156,0,07013,Wes Short Jr.,72.00,1800,25
156,0,02106,Chris Smith,72.00,1008,14
160,0,12645,Brent Geiberger,72.04,1945,27
161,0,02223,Bob Tway,72.06,1225,17
162,0,01724,Jeff Maggert,72.08,865,12
163,0,25842,Jon Mills,72.11,1298,18
164,0,21961,Charles Howell III,72.14,1010,14
165,0,01132,Mark Brooks,72.17,1732,24
166,0,01823,Larry Mize,72.25,867,12
167,0,25935,John Engler Jr.,72.26,1373,19
168,0,22892,Jason Gore,72.29,1012,14
169,0,26420,Richard Johnson,72.38,941,13
170,0,01761,Len Mattiace,72.40,1086,15
171,0,20099,Doug Barron,72.44,1159,16
172,0,22621,Ben Curtis,72.50,1160,16
173,0,19913,Ron Whittaker,72.52,1958,27
174,0,11011,Mike Sposa,72.55,798,11
175,0,01706,Davis Love III,72.56,653,9
176,0,12823,Carlos Franco,72.59,1234,17
177,0,23307,Roger Tambellini,72.69,945,13
178,0,24361,Pat Perez,72.70,727,10
179,0,10565,Ian Leggatt,72.76,1237,17
180,0,01685,J.L. Lewis,72.83,874,12
181,0,23788,D.J. Trahan,72.91,1604,22
182,0,22371,Aaron Baddeley,72.93,1021,14
183,0,25936,Alex Aragon,73.00,949,13
183,0,26360,Bubba Dickerson,73.00,1314,18
183,0,27943,Matt Hansen,73.00,1022,14
186,0,11123,Chris Couch,73.18,805,11
186,0,23616,Ryan Hietala,73.18,1244,17
