RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD
137,0,01024,Billy Andrade,2019,0,51588
138,0,20859,Anders Hansen,1989,0,51618
139,0,12660,Jesper Parnevik,1976,0,51631
140,0,12680,Shigeki Maruyama,1942,0,1,51665
141,0,25273,Andrew Buckle,1875,0,1,51732
142,0,28486,Michael Putnam,1791,0,51816
143,0,02223,Bob Tway,1790,0,51817
144,0,20105,Jeff Gove,1763,0,1,51844
145,0,23048,Eric Axley,1740,0,51867
146,0,01577,Lee Janzen,1694,0,51913
147,0,08931,Glen Day,1672,0,51935
148,0,06034,Marco Dawson,1669,0,1,51938
149,0,12652,Cameron Beckman,1610,0,1,51997
150,0,20433,Mark Hensby,1561,0,52046
151,0,01707,Steve Lowery,1536,0,1,52071
152,0,20378,Mathias Grönberg,1515,0,52092
153,0,11123,Chris Couch,1494,0,52113
154,0,06575,Dudley Hart,1388,0,1,52219
155,0,06012,Greg Kraft,1335,0,1,52272
156,0,20691,Greg Owen,1321,0,1,52286
157,0,02246,Duffy Waldorf,1313,0,52294
158,0,24449,Parker McLachlin,1307,0,52300
159,0,26420,Richard Johnson,1294,0,52313
160,0,08375,Paul Stankowski,1288,0,52319
161,0,01139,Olin Browne,1284,0,1,52323
162,0,06197,Michael Allen,1279,0,1,52328
163,0,01388,Robert Gamez,1217,0,1,52390
164,0,23613,Rich Barcelo,1217,0,1,52390
165,0,10733,Kent Jones,1196,0,52411
166,0,07363,Craig Bowden,1193,0,1,52414
167,0,27963,Chris Stroud,1174,0,1,52433
168,0,02101,Joey Sindelar,1160,0,52447
169,0,26882,Michael Sim,1144,0,52463
170,0,01249,John Daly,1081,0,52526
171,0,06332,Neal Lancaster,1080,0,1,52527
172,0,12714,Chris Tidland,1044,0,1,52563
173,0,02214,Kirk Triplett,1033,0,52574
174,0,02104,Jeff Sluman,1030,0,1,52577
175,0,23638,Brendon de Jonge,1010,0,2,52597
176,0,21806,Paul Gow,1001,0,1,52606
177,0,20396,Lee Westwood,991,0,52616
178,0,22295,Darron Stiles,922,0,52685
179,0,20127,Chris Riley,919,0,52688
180,0,10213,Dicky Pride,907,0,52700
181,0,29476,Kyle Reifers,897,0,52710
182,0,24980,Scott Gutschewski,870,0,52737
183,0,26881,Jarrod Lyle,869,0,52738
184,0,12195,Tom Johnson,826,0,52781
185,0,01157,Tom Byrum,792,0,52815
186,0,12755,Vance Veazey,783,0,1,52824
187,0,01042,Paul Azinger,782,0,52825
188,0,25679,B.J. Staten,727,0,1,52880
189,0,08123,Jeff Brehaut,711,0,52896
190,0,23541,Ben Crane,691,0,52916
191,0,21470,Daisuke Maruyama,685,0,52922
192,0,24290,D.J. Brigman,653,0,52954
193,0,22212,Craig Lile,599,0,53008
194,0,20608,David Howell,577,0,53030
195,0,01553,John Huston,525,0,53082
196,0,01219,John Cook,516,0,53091
197,0,21660,Jason Schultz,504,0,53103
198,0,01132,Mark Brooks,489,0,53118
199,0,19824,Craig Barlow,451,0,53156
200,0,01619,Skip Kendall,440,0,1,53167
201,0,25892,Steve Wheatcroft,429,0,53178
202,0,23497,Tag Ridings,416,0,53191
203,0,12645,Brent Geiberger,382,0,53225
204,0,01823,Larry Mize,378,0,1,53229
205,0,01329,Brad Faxon,375,0,53232
206,0,01261,Jay Delsing,371,0,53236
207,0,01473,Todd Hamilton,358,0,53249
208,0,06350,Bob May,355,0,53252
209,0,20436,Garrett Willis,333,0,53274
210,0,21407,Arjun Atwal,331,0,53276
211,0,21646,David Branshaw,324,0,53283
212,0,23933,Michael Boyd,294,0,53313
213,0,08385,Omar Uresti,293,0,53314
213,0,02256,Tom Watson,293,0,53314
215,0,02110,Jerry Smith,292,0,53315
216,0,19825,Darren Clarke,291,0,53316
217,0,09011,David Duval,287,0,53320
218,0,12823,Carlos Franco,285,0,53322
219,0,26360,Bubba Dickerson,252,0,53355
220,0,27702,Matt Hendrix,238,0,53369
221,0,24457,Jaco Van Zyl,224,0,53383
222,0,02245,Grant Waite,223,0,53384
223,0,02106,Chris Smith,204,0,53403
224,0,10505,Shane Bertsch,190,0,53417
225,0,07013,Wes Short Jr.,184,0,53423
226,0,02036,Jim Rutledge,178,0,53429
227,0,01226,Fred Couples,163,0,53444
228,0,01599,Steve Jones,161,0,53446
229,0,01887,Mark O'Meara,160,0,53447
230,0,01717,Sandy Lyle,159,0,53448
231,0,01361,Dan Forsman,156,0,53451
232,0,08835,Kris Cox,146,0,53461
233,0,01116,Michael Bradley,137,0,53470
234,0,12760,Danny Ellis,111,0,53496
235,0,23800,Bryce Molder,107,0,53500
236,0,01385,Jim Gallagher Jr.,98,0,53509
237,0,06090,Jim McGovern,83,0,53524
238,0,20029,Notah Begay III,80,0,53527
239,0,02133,Craig Stadler,70,0,53537
240,0,01235,Ben Crenshaw,63,0,53544
241,0,02321,Fuzzy Zoeller,61,0,53546
242,0,12663,Phil Tataurangi,56,0,53551
243,0,02010,Loren Roberts,53,0,53554
244,0,23043,Paul Sheehan,52,0,53555
245,0,01771,Blaine McCallister,52,0,53555
246,0,06573,Brandt Jobe,51,0,53556
246,0,01685,J.L. Lewis,51,0,53556
248,0,06809,Bob Burns,51,0,53556
249,0,08339,Spike McRoy,50,0,53557
250,0,07003,David Berganio Jr.,44,0,53563
251,0,02294,Willie Wood,44,0,53563
252,0,06214,Guy Boros,30,0,53577
253,0,06044,Scott Gump,28,0,53579
