RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL BALL SPEED,TOTAL ATTEMPTS
43,0,26300,Matt Jones,175.40,67703.75,386
44,0,21961,Charles Howell III,175.38,35075.33,200
45,0,01810,Phil Mickelson,175.22,31890.14,182
46,0,20229,Stewart Cink,175.07,53397.84,305
47,0,35104,Tom Lewis,174.92,52300.80,299
48,0,51894,Vince Whaley,174.89,40224.79,230
49,0,27349,Alex Noren,174.86,49134.30,281
50,0,28089,Jason Day,174.80,35659.08,204
51,0,35450,Patrick Cantlay,174.71,48395.73,277
52,0,25364,Paul Casey,174.69,41577.06,238
53,0,27141,J.B. Holmes,174.56,73139.60,419
54,0,46046,Scottie Scheffler,174.55,56727.15,325
55,0,32070,Rafael Campos,174.36,29466.94,169
56,0,33667,Carlos Ortiz,174.32,58921.65,338
57,0,46402,Talor Gooch,174.15,56250.28,323
58,0,46717,Viktor Hovland,173.98,56194.28,323
59,0,48119,Ben Taylor,173.93,23827.81,137
60,0,30692,Scott Stallings,173.80,41711.67,240
61,0,46442,Maverick McNealy,173.57,53284.94,307
62,0,39997,Corey Conners,173.56,61788.92,356
63,0,34099,Harris English,173.52,42513.29,245
64,0,33948,Byeong Hun An,173.34,50268.35,290
65,0,28252,Seamus Power,173.32,34490.62,199
66,0,33204,Shane Lowry,173.31,40381.73,233
67,0,48822,Sebastián Muñoz,173.19,56114.01,324
68,0,35461,Beau Hossler,173.09,54870.88,317
69,0,40006,Erik van Rooyen,173.02,43948.02,254
70,0,32839,Hideki Matsuyama,172.89,48236.33,279
71,0,40026,Daniel Berger,172.85,44941.61,260
71,0,49964,Aaron Wise,172.85,49090.46,284
73,0,34431,Robert Streb,172.79,52182.04,302
74,0,23320,Ryan Palmer,172.66,37121.95,215
74,0,34046,Jordan Spieth,172.66,52142.30,302
76,0,34314,Sebastian Cappelen,172.60,26926.07,156
77,0,33419,Cameron Tringale,172.58,49530.23,287
78,0,30911,Tommy Fleetwood,172.44,24658.54,143
79,0,34563,Chesson Hadley,172.27,39105.63,227
80,0,37275,Sam Ryder,172.22,43570.62,253
81,0,33486,Roger Sloan,172.18,106408.49,618
82,0,25632,Jimmy Walker,172.14,40108.97,233
83,0,26851,Marc Leishman,172.12,34767.61,202
84,0,29974,Branden Grace,172.02,89278.76,519
85,0,34363,Tyrrell Hatton,172.01,28552.88,166
86,0,32757,Patton Kizzire,172.00,63982.77,372
86,0,48887,Matt Wallace,172.00,20811.81,121
88,0,32102,Rickie Fowler,171.80,42777.95,249
89,0,32662,Michael Gligic,171.76,47062.41,274
90,0,31646,Emiliano Grillo,171.72,50313.29,293
91,0,33141,Keegan Bradley,171.67,50298.81,293
92,0,29518,Brendan Steele,171.64,43596.66,254
93,0,24361,Pat Perez,171.45,50921.24,297
94,0,48045,Michael Gellerman,171.43,23314.20,136
95,0,29926,Danny Lee,171.42,34283.06,200
96,0,27936,Martin Laird,171.27,42475.67,248
97,0,35891,Cameron Smith,171.12,42951.24,251
98,0,24140,Sean O'Hair,171.04,37458.14,219
99,0,33413,Ben Martin,170.95,26155.69,153
100,0,36871,Matt NeSmith,170.83,44073.07,258
101,0,27770,Camilo Villegas,170.68,41988.23,246
102,0,29268,Bronson Burgoon,170.62,42825.81,251
103,0,33597,Harry Higgs,170.57,54072.14,317
103,0,49960,Sepp Straka,170.57,51510.74,302
105,0,32139,Danny Willett,170.53,17393.95,102
106,0,39971,Sungjae Im,170.48,78079.57,458
107,0,37189,Harold Varner III,170.47,58810.63,345
108,0,29420,Billy Horschel,170.39,40382.25,237
109,0,24781,Hunter Mahan,170.34,31341.68,184
110,0,34360,Patrick Reed,170.09,40991.96,241
111,0,49771,J.T. Poston,170.04,53732.78,316
112,0,40098,Matt Fitzpatrick,169.93,35515.25,209
113,0,30163,Henrik Norlander,169.84,52989.80,312
114,0,31420,Anirban Lahiri,169.81,41772.10,246
115,0,22405,Justin Rose,169.66,24261.81,143
116,0,32618,Rhein Gibson,169.65,27143.60,160
117,0,32791,K.H. Lee,169.60,66484.08,392
117,0,20396,Lee Westwood,169.60,33411.89,197
119,0,22371,Aaron Baddeley,169.39,24053.07,142
120,0,49766,Hank Lebioda,169.30,40800.32,241
