RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,ATTEMPTS,2 PUTT OR BETTER %
123,0,20812,Tjaart van der Walt,10.53,26,247,89.4
124,0,01666,Bernhard Langer,10.55,27,256,89.4
125,0,23983,Luke Donald,10.58,20,189,89.4
126,0,06621,Joe Durant,10.61,42,396,89.3
126,0,25804,Bubba Watson,10.61,33,311,89.3
128,0,21959,Ted Purdy,10.63,37,348,89.3
129,0,01313,Steve Elkington,10.71,24,224,89.2
130,0,24507,Jason Bohn,10.78,43,399,89.2
130,0,08123,Jeff Brehaut,10.78,43,399,89.2
130,0,01599,Steve Jones,10.78,33,306,89.2
133,0,23614,Rich Beem,10.81,28,259,89.1
134,0,12680,Shigeki Maruyama,10.86,34,313,89.1
135,0,23621,Rory Sabbatini,10.89,28,257,89.1
136,0,23349,Charles Warren,10.90,41,376,89.1
137,0,06251,Chris DiMarco,10.93,27,247,89.0
138,0,01024,Billy Andrade,10.94,28,256,89.0
139,0,25345,Carl Pettersson,10.95,37,338,89.0
139,0,23623,Bo Van Pelt,10.95,44,402,89.0
141,0,23325,Vaughn Taylor,11.01,36,327,88.9
142,0,20105,Jeff Gove,11.14,43,386,88.8
143,0,07867,Woody Austin,11.24,39,347,88.7
144,0,19881,Robert Damron,11.25,36,320,88.7
145,0,22046,Geoff Ogilvy,11.31,25,221,88.6
146,0,24502,Adam Scott,11.32,24,212,88.6
147,0,23307,Roger Tambellini,11.36,31,273,88.6
148,0,24781,Hunter Mahan,11.50,46,400,88.5
149,0,11123,Chris Couch,11.56,37,320,88.4
150,0,24361,Pat Perez,11.63,20,172,88.3
151,0,01161,Mark Calcavecchia,11.70,40,342,88.3
151,0,08375,Paul Stankowski,11.70,33,282,88.3
153,0,26360,Bubba Dickerson,11.71,41,350,88.2
153,0,01677,Tom Lehman,11.71,24,205,88.2
155,0,01388,Robert Gamez,11.73,36,307,88.2
156,0,01945,Kenny Perry,11.74,29,247,88.2
157,0,25936,Alex Aragon,11.76,26,221,88.2
157,0,07223,Brian Bateman,11.76,30,255,88.2
159,0,09011,David Duval,11.79,25,212,88.2
160,0,01761,Len Mattiace,11.95,27,226,88.0
161,0,06350,Bob May,12.00,24,200,88.0
162,0,20691,Greg Owen,12.01,34,283,87.9
163,0,24140,Sean O'Hair,12.06,41,340,87.9
164,0,24912,Will MacKenzie,12.12,44,363,87.8
165,0,20099,Doug Barron,12.13,33,272,87.8
166,0,01941,Tom Pernice Jr.,12.16,45,370,87.8
167,0,02110,Jerry Smith,12.25,43,351,87.7
168,0,20094,Jonathan Kaye,12.29,50,407,87.7
169,0,19824,Craig Barlow,12.35,30,243,87.6
169,0,06643,Paul Goydos,12.35,31,251,87.6
171,0,20628,Arron Oberholser,12.37,35,283,87.6
172,0,01219,John Cook,12.39,29,234,87.6
173,0,21646,David Branshaw,12.53,49,391,87.4
174,0,23409,James Driscoll,12.80,48,375,87.2
175,0,01553,John Huston,12.93,34,263,87.0
176,0,12823,Carlos Franco,13.01,48,369,86.9
176,0,27141,J.B. Holmes,13.01,38,292,86.9
178,0,21753,Brian Davis,13.02,41,315,86.9
