RANK,MOVEMENT,PLAYER_ID,PLAYER,%,POINTS WON,POTENTIAL PTS,# OF WINS,# OF TOP 10'S
136,0,55454,Carl Yuan,2.74%,273,9950,0,2
137,0,48867,Matti Schmid,2.71%,283,10450,0,1
138,0,50188,S.H. Kim,2.67%,346,12950,0,1
139,0,38991,Alejandro Tosti,2.63%,267,10150,0,1
140,0,37275,Sam Ryder,2.60%,282,10850,0,0
141,0,33413,Ben Martin,2.55%,183,7150,0,1
142,0,29221,Webb Simpson,2.51%,183,7300,0,0
143,0,40026,Daniel Berger,2.38%,221,9250,0,0
143,0,24024,Zach Johnson,2.38%,202,8500,0,0
145,0,32070,Rafael Campos,2.35%,188,8000,0,1
146,0,20766,Padraig Harrington,2.29%,91,4000,0,0
147,0,51890,Greyson Sigg,2.27%,254,11200,0,2
148,0,24140,Sean O'Hair,2.22%,78,3500,0,0
149,0,46340,Alex Smalley,2.21%,257,11600,0,1
150,0,34563,Chesson Hadley,2.18%,227,10400,0,2
151,0,27936,Martin Laird,2.15%,196,9150,0,2
152,0,46441,Robby Shelton,2.14%,207,9650,0,1
153,0,55708,Hayden Buckley,2.11%,224,10650,0,2
154,0,32366,Kevin Chappell,2.10%,126,6000,0,0
155,0,26596,Ryan Moore,2.08%,201,9650,0,1
155,0,30692,Scott Stallings,2.08%,99,4750,0,0
157,0,22371,Aaron Baddeley,2.07%,175,8450,0,0
157,0,32640,Troy Merritt,2.07%,213,10250,0,1
159,0,33968,ThorbjÃ¸rn Olesen,1.99%,170,8550,0,0
160,0,06373,JosÃ© MarÃ­a OlazÃ¡bal,1.96%,15,750,0,0
160,0,32139,Danny Willett,1.96%,15,750,0,0
162,0,34255,Joseph Bramlett,1.88%,187,9950,0,0
163,0,54421,Garrick Higgo,1.81%,186,10250,0,1
164,0,60067,Joe Highsmith,1.75%,157,9000,0,1
165,0,34310,Alexander BjÃ¶rk,1.73%,126,7300,0,0
165,0,29268,Bronson Burgoon,1.73%,69,4000,0,0
167,0,28420,Ryan Brehm,1.71%,162,9500,0,1
167,0,31202,William McGirt,1.71%,29,1700,0,0
169,0,46435,Austin Cook,1.67%,84,5000,0,1
170,0,35310,Lanto Griffin,1.62%,117,7200,0,1
170,0,26476,Chez Reavie,1.62%,161,9950,0,1
170,0,52374,Brandon Wu,1.62%,181,11200,0,1
173,0,59442,Parker Coody,1.59%,151,9500,0,1
174,0,52372,Cameron Champ,1.57%,140,8900,0,0
175,0,20229,Stewart Cink,1.56%,113,7250,0,0
175,0,46113,Ryan McCormick,1.56%,124,8000,0,1
177,0,39954,Cody Gribble,1.49%,48,3200,0,0
178,0,50095,Austin Smotherman,1.48%,62,4200,0,0
179,0,25818,Scott Piercy,1.47%,59,4000,0,0
180,0,50493,Justin Suh,1.46%,149,10250,0,0
181,0,50497,Adrien Dumont de Chassart,1.41%,130,9200,0,1
181,0,31323,Gary Woodland,1.41%,174,12350,0,0
183,0,47988,Nick Hardy,1.40%,148,10550,0,0
184,0,33486,Roger Sloan,1.36%,109,8000,0,0
185,0,34021,Bud Cauley,1.30%,76,5800,0,0
186,0,36326,David Lipsky,1.26%,132,10450,0,1
187,0,45609,Tyler Duncan,1.24%,111,8950,0,0
188,0,39067,MJ Daffue,1.20%,32,2700,0,0
189,0,06567,Vijay Singh,1.17%,9,750,0,0
190,0,33408,Tyson Alexander,1.15%,121,10450,0,0
191,0,27214,Kevin Streelman,1.09%,94,8650,0,0
192,0,47128,Richy Werenski,1.06%,31,2900,0,0
193,0,37212,Paul Barjon,1.02%,92,9000,0,1
193,0,30750,Tommy Gainey,1.02%,12,1200,0,0
195,0,54328,Norman Xiong,1.00%,53,5300,0,1
196,0,33122,Russell Knox,.93%,25,2700,0,0
197,0,48319,Tom Whitney,.91%,82,9000,0,0
198,0,24924,Bill Haas,.90%,36,4000,0,0
199,0,47663,Kevin Dougherty,.85%,72,8500,0,0
199,0,48699,Callum Tarren,.85%,89,10450,0,0
201,0,32448,James Hahn,.83%,35,4200,0,0
201,0,27095,Nick Watney,.83%,33,4000,0,0
203,0,23320,Ryan Palmer,.78%,54,6900,0,0
203,0,48119,Ben Taylor,.78%,79,10150,0,1
205,0,37338,Zecheng Dou,.72%,23,3200,0,0
206,0,20472,Alex Cejka,.66%,5,750,0,0
206,0,19825,Darren Clarke,.66%,5,750,0,0
206,0,47079,Harrison Endycott,.66%,45,6700,0,0
209,0,26758,David Hearn,.64%,3,500,0,0
210,0,27963,Chris Stroud,.60%,2,300,0,0
211,0,34431,Robert Streb,.57%,12,2100,0,0
212,0,27770,Camilo Villegas,.49%,45,9150,0,0
213,0,56762,Will Gordon,.48%,20,4100,0,0
214,0,56149,Wilson Furr,.46%,37,8000,0,0
215,0,30110,Kyle Stanley,.45%,3,600,0,0
216,0,51070,Vincent Norrman,.44%,43,9750,0,0
217,0,33597,Harry Higgs,.43%,11,2650,0,0
217,0,29478,Kevin Kisner,.43%,37,8600,0,0
219,0,27974,Sung Kang,.41%,12,2950,0,0
220,0,25198,Francesco Molinari,.40%,27,6800,0,0
221,0,33674,Adrian Meronk,.38%,11,3000,0,0
222,0,19803,Ryan Armour,.35%,2,600,0,0
223,0,37278,Nicholas Lindheim,.34%,19,5600,0,0
224,0,29970,Dylan Frittelli,.33%,6,1800,0,0
224,0,31560,Brian Stuard,.33%,2,600,0,0
226,0,24925,Jonathan Byrd,.29%,5,1700,0,0
227,0,31557,Jim Herman,.22%,5,2150,0,0
227,0,08793,Tiger Woods,.22%,8,3700,0,0
229,0,60767,Blaine Hale Jr.,.21%,16,7500,0,0
230,0,35901,Paul Haley II,.20%,3,1600,0,0
230,0,35449,Adam Long,.20%,10,5200,0,0
232,0,28259,Sangmoon Bae,.19%,3,1400,0,0
232,0,27649,Brandt Snedeker,.19%,20,10400,0,0
234,0,23983,Luke Donald,.18%,6,3250,0,0
235,0,24980,Scott Gutschewski,.16%,12,7500,0,0
236,0,49303,Anders Albertson,.15%,3,1800,0,0
237,0,25632,Jimmy Walker,.13%,5,3550,0,0
238,0,47806,Raul Pereda,.12%,9,8000,0,0
239,0,27330,Josh Teater,.08%,7,8500,0,0
