RANK,MOVEMENT,PLAYER_ID,PLAYER,FINISH POSITION,# OF WINS,# OF TOP-10S
190,0,25818,Scott Piercy,59,0,0,24006556
191,0,23320,Ryan Palmer,54,0,0,24006561
192,0,54328,Norman Xiong,53,0,1,24006562
193,0,39954,Cody Gribble,48,0,0,24006567
194,0,27770,Camilo Villegas,45,0,0,24006570
195,0,47079,Harrison Endycott,45,0,0,24006570
196,0,51070,Vincent Norrman,43,0,0,24006572
197,0,56149,Wilson Furr,37,0,0,24006578
198,0,29478,Kevin Kisner,37,0,0,24006578
199,0,24924,Bill Haas,36,0,0,24006579
200,0,32448,James Hahn,35,0,0,24006580
201,0,27095,Nick Watney,33,0,0,24006582
202,0,39067,MJ Daffue,32,0,0,24006583
203,0,47128,Richy Werenski,31,0,0,24006584
204,0,31202,William McGirt,29,0,0,24006586
205,0,25198,Francesco Molinari,27,0,0,24006588
206,0,33122,Russell Knox,25,0,0,24006590
207,0,37338,Zecheng Dou,23,0,0,24006592
208,0,27649,Brandt Snedeker,20,0,0,24006595
209,0,56762,Will Gordon,20,0,0,24006595
210,0,37278,Nicholas Lindheim,19,0,0,24006596
211,0,60767,Blaine Hale Jr.,16,0,0,24006599
212,0,06373,José María Olazábal,15,0,0,24006600
212,0,32139,Danny Willett,15,0,0,24006600
214,0,30750,Tommy Gainey,12,0,0,24006603
215,0,27974,Sung Kang,12,0,0,24006603
216,0,34431,Robert Streb,12,0,0,24006603
217,0,24980,Scott Gutschewski,12,0,0,24006603
218,0,33597,Harry Higgs,11,0,0,24006604
219,0,33674,Adrian Meronk,11,0,0,24006604
220,0,35449,Adam Long,10,0,0,24006605
221,0,47806,Raul Pereda,9,0,0,24006606
222,0,06567,Vijay Singh,9,0,0,24006606
223,0,08793,Tiger Woods,8,0,0,24006607
224,0,27330,Josh Teater,7,0,0,24006608
225,0,29970,Dylan Frittelli,6,0,0,24006609
226,0,23983,Luke Donald,6,0,0,24006609
227,0,24925,Jonathan Byrd,5,0,0,24006610
228,0,20472,Alex Cejka,5,0,0,24006610
228,0,19825,Darren Clarke,5,0,0,24006610
230,0,31557,Jim Herman,5,0,0,24006610
231,0,25632,Jimmy Walker,5,0,0,24006610
232,0,35901,Paul Haley II,3,0,0,24006612
233,0,26758,David Hearn,3,0,0,24006612
234,0,28259,Sangmoon Bae,3,0,0,24006612
234,0,30110,Kyle Stanley,3,0,0,24006612
236,0,49303,Anders Albertson,3,0,0,24006612
237,0,19803,Ryan Armour,2,0,0,24006613
238,0,31560,Brian Stuard,2,0,0,24006613
239,0,27963,Chris Stroud,2,0,0,24006613
