RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:ARG,MEASURED ROUNDS
46,0,06595,Kevin Sutherland,.175,12.793,73
47,0,01577,Lee Janzen,.170,10.384,61
48,0,20498,Briny Baird,.163,11.724,72
49,0,07457,Steve Flesch,.162,10.236,63
50,0,26497,Casey Wittenberg,.158,8.538,54
51,0,01226,Fred Couples,.157,6.608,42
52,0,26679,Kevin Stadler,.146,7.857,54
53,0,22295,Darron Stiles,.143,5.986,42
54,0,29221,Webb Simpson,.139,12.133,87
55,0,30925,Dustin Johnson,.137,8.786,64
56,0,27770,Camilo Villegas,.128,7.157,56
57,0,24925,Jonathan Byrd,.118,9.316,79
57,0,20593,Greg Chalmers,.118,8.400,71
59,0,24361,Pat Perez,.113,7.021,62
59,0,22405,Justin Rose,.113,6.453,57
61,0,24490,George McNeill,.112,8.481,76
61,0,23800,Bryce Molder,.112,6.053,54
63,0,10885,Robert Allenby,.110,6.152,56
63,0,20157,Retief Goosen,.110,6.157,56
63,0,26300,Matt Jones,.110,4.962,45
66,0,24503,Jeff Klauk,.105,9.267,88
67,0,07867,Woody Austin,.102,7.773,76
68,0,23541,Ben Crane,.100,7.967,80
69,0,26301,James Nitties,.095,7.195,76
69,0,07749,Brett Quigley,.095,7.101,75
71,0,23718,Nathan Green,.089,8.175,92
72,0,23135,Tim Clark,.087,5.139,59
73,0,23353,J.J. Henry,.084,7.047,84
74,0,10117,Bob Heintz,.081,4.110,51
75,0,06567,Vijay Singh,.080,4.093,51
76,0,21753,Brian Davis,.076,6.908,91
77,0,22348,Nick O'Hern,.070,5.933,85
78,0,27649,Brandt Snedeker,.069,4.491,65
79,0,24024,Zach Johnson,.068,5.362,79
80,0,08931,Glen Day,.067,4.298,64
81,0,26498,Matt Weibring,.056,3.053,55
82,0,30927,Brendon Todd,.055,2.596,47
83,0,27466,Spencer Levin,.053,3.579,67
84,0,24912,Will MacKenzie,.052,3.148,61
85,0,10585,Scott McCarron,.050,4.049,81
85,0,21949,Joe Ogilvie,.050,3.859,77
87,0,25190,Jeff Quinney,.049,3.448,71
88,0,20850,Daniel Chopra,.047,3.915,83
88,0,01313,Steve Elkington,.047,2.938,62
88,0,10425,Jay Williamson,.047,2.663,57
91,0,25804,Bubba Watson,.044,2.532,57
91,0,20160,Charlie Wi,.044,3.481,79
93,0,23548,Bill Lunde,.043,3.247,75
94,0,28475,Jeff Overton,.026,1.978,76
95,0,12705,Cliff Kresge,.020,1.350,67
96,0,29718,Anthony Kim,.019,1.136,60
97,0,28089,Jason Day,.016,.818,50
97,0,25686,Jason Dufner,.016,1.272,78
97,0,25240,D.A. Points,.016,1.353,86
100,0,22548,Patrick Sheehan,.014,.548,39
101,0,24924,Bill Haas,.011,.886,82
101,0,26289,Boo Weekley,.011,.728,65
103,0,01766,Billy Mayfair,.010,.720,69
104,0,02239,Scott Verplank,.006,.461,79
105,0,01132,Mark Brooks,-.004,-.171,40
105,0,01706,Davis Love III,-.004,-.304,77
107,0,12510,Chad Campbell,-.006,-.431,71
107,0,09011,David Duval,-.006,-.263,44
107,0,02206,David Toms,-.006,-.453,80
110,0,22621,Ben Curtis,-.028,-1.299,47
110,0,20645,John Senden,-.028,-2.537,92
112,0,20634,Peter Lonard,-.034,-2.650,77
113,0,24846,Ricky Barnes,-.037,-1.888,51
114,0,24140,Sean O'Hair,-.038,-2.209,58
115,0,01945,Kenny Perry,-.042,-3.094,73
115,0,23623,Bo Van Pelt,-.042,-3.479,82
117,0,21805,Harrison Frazar,-.045,-3.755,84
118,0,01161,Mark Calcavecchia,-.051,-3.135,62
119,0,20691,Greg Owen,-.071,-5.848,82
120,0,26951,Johnson Wagner,-.072,-5.313,74
121,0,12652,Cameron Beckman,-.074,-5.530,75
122,0,02214,Kirk Triplett,-.075,-4.114,55
123,0,10733,Kent Jones,-.080,-4.893,61
124,0,28158,Steve Marino,-.081,-6.843,84
125,0,01677,Tom Lehman,-.087,-3.030,35
126,0,06643,Paul Goydos,-.089,-5.753,65
127,0,25562,Andres Romero,-.096,-4.127,43
128,0,25818,Scott Piercy,-.103,-7.835,76
129,0,06197,Michael Allen,-.106,-6.134,58
130,0,20574,Mathew Goggin,-.107,-6.432,60
131,0,24663,Y.E. Yang,-.108,-7.540,70
132,0,20229,Stewart Cink,-.110,-6.507,59
133,0,22961,David Mathis,-.114,-7.874,69
134,0,12716,Charley Hoffman,-.128,-11.111,87
134,0,27963,Chris Stroud,-.128,-9.759,76
136,0,06004,Stephen Ames,-.132,-7.495,57
137,0,27141,J.B. Holmes,-.138,-8.425,61
137,0,27936,Martin Laird,-.138,-8.572,62
139,0,25345,Carl Pettersson,-.143,-10.606,74
139,0,28118,Peter Tomasulo,-.143,-6.589,46
141,0,26420,Richard Johnson,-.154,-11.397,74
142,0,01473,Todd Hamilton,-.155,-9.915,64
143,0,25900,Lucas Glover,-.157,-12.425,79
143,0,22913,John Rollins,-.157,-12.407,79
145,0,22892,Jason Gore,-.163,-10.106,62
146,0,28620,Aron Price,-.165,-12.690,77
147,0,31416,Derek Fathauer,-.167,-8.501,51
148,0,26596,Ryan Moore,-.180,-13.476,75
149,0,27120,Troy Matteson,-.181,-15.902,88
150,0,25919,Brian Vranesh,-.182,-7.819,43
151,0,23325,Vaughn Taylor,-.183,-14.496,79
152,0,23638,Brendon de Jonge,-.187,-14.747,79
153,0,26851,Marc Leishman,-.190,-15.989,84
154,0,22293,Heath Slocum,-.199,-16.888,85
155,0,01724,Jeff Maggert,-.201,-14.679,73
155,0,27095,Nick Watney,-.201,-13.672,68
157,0,28780,Nicholas Thompson,-.203,-17.680,87
158,0,07223,Brian Bateman,-.226,-10.852,48
158,0,01142,Bart Bryant,-.226,-11.741,52
160,0,21959,Ted Purdy,-.231,-20.517,89
161,0,23788,D.J. Trahan,-.232,-18.538,80
162,0,24507,Jason Bohn,-.236,-19.311,82
163,0,01329,Brad Faxon,-.246,-12.792,52
164,0,23048,Eric Axley,-.253,-14.952,59
165,0,20070,Matt Bettencourt,-.257,-22.327,87
166,0,27214,Kevin Streelman,-.261,-22.720,87
167,0,23320,Ryan Palmer,-.268,-18.747,70
168,0,21209,Sergio Garcia,-.282,-12.426,44
169,0,20848,Ángel Cabrera,-.296,-11.246,38
170,0,30711,Colt Knost,-.304,-17.003,56
171,0,23614,Rich Beem,-.309,-17.915,58
172,0,27933,John Merrick,-.328,-22.275,68
173,0,01035,Tommy Armour III,-.338,-17.564,52
174,0,24781,Hunter Mahan,-.345,-25.866,75
175,0,26668,Marc Turnesa,-.350,-24.866,71
176,0,24358,Robert Garrigus,-.354,-25.487,72
177,0,23349,Charles Warren,-.358,-18.965,53
178,0,28087,Kris Blanks,-.375,-17.636,47
179,0,27683,Leif Olson,-.378,-16.233,43
180,0,06539,Rick Price,-.390,-15.969,41
181,0,06621,Joe Durant,-.404,-18.985,47
182,0,01707,Steve Lowery,-.473,-36.386,77
183,0,06012,Greg Kraft,-.474,-19.435,41
184,0,31323,Gary Woodland,-.520,-19.251,37
