RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,RELATIVE TO PAR
38,0,23800,Bryce Molder,65.58,644,982,-0.16
39,0,06573,Brandt Jobe,65.48,480,733,-0.12
40,0,24663,Y.E. Yang,65.44,373,570,-0.10
41,0,28780,Nicholas Thompson,65.41,779,1191,-0.13
42,0,02206,David Toms,65.32,290,444,-0.11
43,0,31560,Brian Stuard,65.18,569,873,-0.11
44,0,25686,Jason Dufner,65.14,555,852,-0.16
45,0,23325,Vaughn Taylor,65.10,360,553,-0.17
46,0,08725,Tom Gillis,65.02,541,832,-0.12
47,0,10213,Dicky Pride,64.84,531,819,-0.12
48,0,19846,Brian Gay,64.80,637,983,-0.12
49,0,10860,Justin Leonard,64.74,672,1038,-0.14
50,0,23623,Bo Van Pelt,64.71,484,748,-0.14
51,0,33141,Keegan Bradley,64.66,644,996,-0.24
52,0,29221,Webb Simpson,64.51,629,975,-0.18
53,0,29420,Billy Horschel,64.17,736,1147,-0.16
54,0,24138,Ian Poulter,64.15,349,544,-0.15
55,0,01320,Bob Estes,64.10,550,858,-0.17
56,0,20593,Greg Chalmers,63.99,613,958,-0.13
57,0,25240,D.A. Points,63.91,602,942,-0.11
58,0,26679,Kevin Stadler,63.78,611,958,-0.17
59,0,20396,Lee Westwood,63.70,451,708,-0.16
60,0,22405,Justin Rose,63.59,407,640,-0.20
61,0,08793,Tiger Woods,63.41,376,593,-0.27
62,0,24924,Bill Haas,63.33,608,960,-0.18
63,0,27408,Martin Kaymer,63.24,363,574,-0.15
64,0,28455,Will Claxton,63.23,490,775,-0.10
65,0,32102,Rickie Fowler,63.17,518,820,-0.16
66,0,31557,Jim Herman,63.11,385,610,-0.16
66,0,27095,Nick Watney,63.11,638,1011,-0.20
68,0,31202,William McGirt,63.03,619,982,-0.17
68,0,23788,D.J. Trahan,63.03,329,522,-0.10
70,0,22961,David Mathis,63.01,540,857,-0.10
71,0,28135,Aaron Watkins,62.96,306,486,-0.16
72,0,20160,Charlie Wi,62.88,576,916,-0.11
73,0,27330,Josh Teater,62.75,524,835,-0.17
74,0,27963,Chris Stroud,62.73,675,1076,-0.16
75,0,20098,Stuart Appleby,62.70,679,1083,-0.13
75,0,20572,Rod Pampling,62.70,306,488,-0.12
77,0,33419,Cameron Tringale,62.68,650,1037,-0.12
78,0,29425,Andrew Svoboda,62.55,304,486,-0.09
79,0,34261,Scott Langley,62.47,556,890,-0.13
79,0,32150,Michael Thompson,62.47,456,730,-0.12
81,0,24502,Adam Scott,62.34,379,608,-0.20
82,0,27649,Brandt Snedeker,62.30,504,809,-0.22
83,0,32334,Charlie Beljan,62.23,468,752,-0.12
84,0,32366,Kevin Chappell,62.18,577,928,-0.19
85,0,23983,Luke Donald,61.95,394,636,-0.21
85,0,25834,Daniel Summerhays,61.95,666,1075,-0.19
87,0,25900,Lucas Glover,61.79,443,717,-0.14
88,0,29479,Scott Brown,61.76,470,761,-0.12
89,0,23541,Ben Crane,61.73,471,763,-0.11
90,0,24361,Pat Perez,61.72,545,883,-0.14
91,0,26758,David Hearn,61.70,625,1013,-0.21
92,0,27936,Martin Laird,61.59,449,729,-0.12
93,0,30110,Kyle Stanley,61.54,512,832,-0.13
93,0,29518,Brendan Steele,61.54,656,1066,-0.18
95,0,28679,Fabián Gómez,61.32,474,773,-0.13
96,0,06567,Vijay Singh,61.09,405,663,-0.13
97,0,22378,Trevor Immelman,61.08,521,853,-0.07
98,0,30692,Scott Stallings,61.07,557,912,-0.17
99,0,25345,Carl Pettersson,61.04,539,883,-0.16
100,0,21209,Sergio Garcia,61.02,393,644,-0.25
101,0,24227,Justin Bolli,61.01,388,636,-0.05
102,0,12716,Charley Hoffman,61.00,613,1005,-0.16
103,0,22621,Ben Curtis,60.97,389,638,-0.15
104,0,12510,Chad Campbell,60.96,609,999,-0.18
105,0,26331,Charl Schwartzel,60.84,449,738,-0.23
106,0,27644,Brian Harman,60.82,641,1054,-0.13
107,0,27933,John Merrick,60.76,576,948,-0.15
108,0,35539,Luke Guthrie,60.71,547,901,-0.12
109,0,20645,John Senden,60.59,512,845,-0.11
110,0,34431,Robert Streb,60.55,511,844,-0.17
111,0,34021,Bud Cauley,60.49,467,772,-0.15
111,0,27503,Steve LeBrun,60.49,444,734,-0.12
113,0,28310,Lee Williams,60.31,427,708,-0.13
114,0,30163,Henrik Norlander,60.27,490,813,-0.12
115,0,37273,Derek Ernst,60.21,410,681,-0.11
116,0,24846,Ricky Barnes,60.16,542,901,-0.12
117,0,30926,Chris Kirk,60.04,670,1116,-0.23
118,0,19970,Robert Karlsson,60.00,306,510,-0.15
119,0,22046,Geoff Ogilvy,59.86,343,573,-0.07
120,0,22056,Cameron Percy,59.80,470,786,-0.11
121,0,34099,Harris English,59.79,675,1129,-0.17
122,0,21099,David Lynn,59.74,463,775,-0.13
123,0,22913,John Rollins,59.51,554,931,-0.17
124,0,20691,Greg Owen,59.47,543,913,-0.18
125,0,06522,Ernie Els,59.43,394,663,-0.09
126,0,20766,Padraig Harrington,59.42,287,483,-0.15
127,0,26851,Marc Leishman,59.41,527,887,-0.14
128,0,23621,Rory Sabbatini,59.36,590,994,-0.23
129,0,28307,Matt Every,59.28,658,1110,-0.19
130,0,25804,Bubba Watson,59.17,487,823,-0.22
131,0,27770,Camilo Villegas,59.12,525,888,-0.16
132,0,26951,Johnson Wagner,59.03,425,720,-0.08
133,0,20229,Stewart Cink,58.98,453,768,-0.17
134,0,06004,Stephen Ames,58.94,356,604,-0.07
135,0,28089,Jason Day,58.74,494,841,-0.16
136,0,24399,Scott Gardiner,58.66,420,716,-0.12
137,0,28259,Sangmoon Bae,58.62,585,998,-0.11
138,0,23320,Ryan Palmer,58.57,557,951,-0.22
138,0,25562,Andres Romero,58.57,417,712,-0.15
140,0,28237,Rory McIlroy,58.54,329,562,-0.21
141,0,31323,Gary Woodland,58.48,669,1144,-0.18
142,0,23108,Matt Kuchar,58.46,560,958,-0.23
143,0,27895,Jonas Blixt,58.42,541,926,-0.13
144,0,21731,Freddie Jacobson,58.33,371,636,-0.19
145,0,32448,James Hahn,58.27,539,925,-0.16
146,0,24494,Erik Compton,57.98,516,890,-0.11
147,0,10885,Robert Allenby,57.89,411,710,-0.10
148,0,28475,Jeff Overton,57.84,590,1020,-0.18
149,0,29740,Brad Fritsch,57.74,541,937,-0.17
149,0,25336,Alistair Presnell,57.74,362,627,-0.16
151,0,33461,Morgan Hoffmann,57.59,421,731,-0.21
152,0,01810,Phil Mickelson,57.27,445,777,-0.23
153,0,20848,Ángel Cabrera,57.23,447,781,-0.13
154,0,27120,Troy Matteson,56.98,457,802,-0.17
155,0,30750,Tommy Gainey,56.94,591,1038,-0.14
156,0,30852,Ryo Ishikawa,56.33,427,758,-0.10
157,0,33869,Eric Meierdierks,56.30,286,508,-0.11
158,0,34360,Patrick Reed,56.24,572,1017,-0.18
159,0,25818,Scott Piercy,56.13,481,857,-0.19
160,0,24140,Sean O'Hair,56.03,390,696,-0.09
161,0,24358,Robert Garrigus,55.95,376,672,-0.15
162,0,01116,Michael Bradley,55.54,326,587,-0.03
163,0,30944,Jason Kokrak,55.03,542,985,-0.18
164,0,23409,James Driscoll,54.65,470,860,-0.17
165,0,25274,Steven Bowditch,54.56,431,790,-0.19
166,0,21961,Charles Howell III,54.53,602,1104,-0.21
167,0,22792,Peter Hanson,54.37,249,458,-0.17
168,0,10423,Mike Weir,54.26,350,645,-0.16
169,0,26497,Casey Wittenberg,54.19,453,836,-0.14
170,0,23452,Nicolas Colsaerts,54.14,268,495,-0.12
171,0,12782,Tim Herron,53.74,323,601,-0.15
172,0,33418,Shawn Stefani,53.68,365,680,-0.13
173,0,23497,Tag Ridings,53.59,425,793,-0.20
174,0,29289,S.Y. Noh,53.49,452,845,-0.15
175,0,28500,Martin Flores,53.35,558,1046,-0.19
176,0,30925,Dustin Johnson,53.21,373,701,-0.17
177,0,25632,Jimmy Walker,53.17,545,1025,-0.20
178,0,22371,Aaron Baddeley,51.31,411,801,-0.16
179,0,32698,Bobby Gates,51.07,263,515,-0.09
180,0,27129,Luke List,46.32,321,693,-0.09
