RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS
114,0,06251,Chris DiMarco,291.105
115,0,23322,Brett Wetterich,279.214
116,0,31560,Brian Stuard,268.310
117,0,08385,Omar Uresti,260.350
118,0,26287,Roland Thatcher,260.288
119,0,24912,Will MacKenzie,249.026
120,0,21959,Ted Purdy,244.478
121,0,01473,Todd Hamilton,221.823
122,0,01797,Rocco Mediate,211.236
123,0,21805,Harrison Frazar,201.280
124,0,10117,Bob Heintz,193.047
125,0,01619,Skip Kendall,192.142
126,0,12782,Tim Herron,186.016
127,0,01249,John Daly,174.958
128,0,01161,Mark Calcavecchia,167.593
129,0,02214,Kirk Triplett,164.271
130,0,28500,Martin Flores,152.598
131,0,24503,Jeff Klauk,150.776
132,0,23614,Rich Beem,149.990
133,0,23613,Rich Barcelo,149.495
134,0,23349,Charles Warren,133.886
135,0,10733,Kent Jones,132.808
136,0,31323,Gary Woodland,123.224
137,0,19824,Craig Barlow,121.481
138,0,12705,Cliff Kresge,114.102
139,0,26476,Chez Reavie,108.253
140,0,33419,Cameron Tringale,107.018
141,0,07363,Craig Bowden,104.444
142,0,08931,Glen Day,101.052
143,0,20104,Ken Duke,100.522
144,0,01381,Fred Funk,99.913
145,0,01707,Steve Lowery,96.536
146,0,12755,Vance Veazey,88.704
147,0,26498,Matt Weibring,85.128
148,0,32617,Jerod Turner,84.158
149,0,22892,Jason Gore,78.758
150,0,20105,Jeff Gove,69.476
151,0,32698,Bobby Gates,69.444
152,0,06034,Marco Dawson,64.800
153,0,10505,Shane Bertsch,57.108
154,0,26392,Chris Wilson,56.167
155,0,06514,Kevin Johnson,55.158
156,0,24449,Parker McLachlin,53.291
157,0,11032,Frank Lickliter II,52.067
158,0,01553,John Huston,50.919
159,0,01388,Robert Gamez,50.850
160,0,31557,Jim Herman,46.770
161,0,01329,Brad Faxon,46.756
162,0,01823,Larry Mize,46.575
163,0,29285,Brent Delahoussaye,46.404
164,0,10213,Dicky Pride,37.105
165,0,06573,Brandt Jobe,35.317
166,0,06214,Guy Boros,34.035
167,0,23048,Eric Axley,33.344
168,0,07707,Mike Small,30.015
169,0,01978,Fran Quinn,29.076
170,0,23497,Tag Ridings,28.594
171,0,25431,Rob Labritz,28.300
172,0,24227,Justin Bolli,26.952
173,0,06575,Dudley Hart,25.500
174,0,01132,Mark Brooks,24.405
175,0,34257,Jason Preeo,23.414
176,0,02106,Chris Smith,23.400
177,0,08123,Jeff Brehaut,20.630
178,0,07235,John Morse,20.538
179,0,01175,Jim Carter,20.225
180,0,20094,Jonathan Kaye,19.495
181,0,06012,Greg Kraft,17.923
182,0,19881,Robert Damron,17.446
183,0,12388,Michael Clark II,16.570
184,0,01887,Mark O'Meara,15.547
185,0,02223,Bob Tway,15.525
186,0,29664,Gregory Bisconti,13.600
187,0,01157,Tom Byrum,13.420
188,0,33545,Grant Sturgeon,13.300
189,0,29461,Jamie Lovemark,12.900
190,0,23633,Phil Schmitt,12.544
191,0,23778,Brad Adamonis,12.060
192,0,26497,Casey Wittenberg,11.200
193,0,01035,Tommy Armour III,11.130
194,0,01761,Len Mattiace,11.100
195,0,32831,Aaron Goldberg,10.615
196,0,20567,Kevin Hayashi,9.900
197,0,01042,Paul Azinger,9.486
198,0,01374,Robin Freeman,6.531
199,0,01685,J.L. Lewis,6.480
200,0,08339,Spike McRoy,3.420
201,0,02294,Willie Wood,3.270
