RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP
127,0,06522,Ernie Els,-.063
128,0,24507,Jason Bohn,-.062
128,0,27095,Nick Watney,-.062
130,0,25190,Jeff Quinney,-.061
130,0,10425,Jay Williamson,-.061
132,0,24361,Pat Perez,-.060
132,0,22405,Justin Rose,-.060
134,0,20574,Mathew Goggin,-.059
134,0,06567,Vijay Singh,-.059
136,0,20634,Peter Lonard,-.058
137,0,07223,Brian Bateman,-.057
138,0,23353,J.J. Henry,-.056
139,0,21878,Mark Wilson,-.055
140,0,24781,Hunter Mahan,-.054
141,0,06197,Michael Allen,-.051
142,0,22892,Jason Gore,-.049
143,0,21959,Ted Purdy,-.045
144,0,24138,Ian Poulter,-.044
145,0,06595,Kevin Sutherland,-.042
146,0,23541,Ben Crane,-.041
147,0,01706,Davis Love III,-.035
148,0,26289,Boo Weekley,-.033
149,0,24357,K.J. Choi,-.032
150,0,27683,Leif Olson,-.026
150,0,20572,Rod Pampling,-.026
152,0,26951,Johnson Wagner,-.021
153,0,26851,Marc Leishman,-.016
154,0,01766,Billy Mayfair,-.015
154,0,27649,Brandt Snedeker,-.015
156,0,20070,Matt Bettencourt,-.014
157,0,01142,Bart Bryant,E
157,0,24925,Jonathan Byrd,E
157,0,01226,Fred Couples,E
157,0,23718,Nathan Green,E
157,0,30925,Dustin Johnson,E
157,0,26300,Matt Jones,E
157,0,01707,Steve Lowery,E
157,0,24449,Parker McLachlin,E
165,0,27214,Kevin Streelman,+.014
166,0,26301,James Nitties,+.015
167,0,23320,Ryan Palmer,+.017
168,0,22295,Darron Stiles,+.020
169,0,20157,Retief Goosen,+.021
170,0,08845,Scott Sterling,+.023
171,0,23548,Bill Lunde,+.030
171,0,24502,Adam Scott,+.030
173,0,01810,Phil Mickelson,+.036
173,0,25919,Brian Vranesh,+.036
175,0,20848,Ángel Cabrera,+.038
176,0,21805,Harrison Frazar,+.046
177,0,01473,Todd Hamilton,+.047
178,0,01677,Tom Lehman,+.051
179,0,06012,Greg Kraft,+.077
180,0,25804,Bubba Watson,+.083
181,0,24358,Robert Garrigus,+.107
182,0,01329,Brad Faxon,+.143
183,0,23778,Brad Adamonis,+.148
184,0,30711,Colt Knost,+.167
