RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
157,0,35532,Tom Hoge,47' 4",130,6147.917,+21.00
157,0,29223,Sam Saunders,47' 4",127,6014.583,+12.00
157,0,29221,Webb Simpson,47' 4",146,6909.333,+6.00
160,0,39975,Michael Kim,47' 5",80,3795.000,+15.00
161,0,24024,Zach Johnson,47' 6",125,5939.417,+14.00
161,0,47128,Richy Werenski,47' 6",125,5938.667,+28.00
163,0,47125,Matt Atkins,47' 8",79,3762.917,+6.00
163,0,25198,Francesco Molinari,47' 8",68,3242.750,+15.00
165,0,25240,D.A. Points,47' 9",89,4246.667,+13.00
166,0,32876,Martin Piller,47' 11",138,6614.750,+29.00
166,0,39327,Ben Silverman,47' 11",132,6322.833,+27.00
168,0,28089,Jason Day,48' 0",86,4126.917,+10.00
169,0,30978,Kiradech Aphibarnrat,48' 1",50,2406.167,+13.00
170,0,33399,Adam Hadwin,48' 3",81,3906.333,+24.00
171,0,27895,Jonas Blixt,48' 4",89,4302.500,+4.00
171,0,10809,Jim Furyk,48' 4",69,3335.250,+8.00
173,0,29518,Brendan Steele,48' 5",102,4942.250,+21.00
174,0,25572,Graeme McDowell,48' 6",75,3635.417,+2.00
175,0,24361,Pat Perez,48' 7",81,3932.083,+11.00
176,0,27349,Alex Noren,48' 10",64,3126.917,+9.00
177,0,34213,Grayson Murray,48' 11",113,5526.667,+16.00
178,0,29479,Scott Brown,49' 4",155,7641.417,+28.00
178,0,19846,Brian Gay,49' 4",115,5670.667,+25.00
180,0,34099,Harris English,49' 8",134,6658.250,+12.00
181,0,37454,Whee Kim,49' 11",131,6538.250,+24.00
182,0,32254,Xinjun Zhang,50' 2",89,4461.500,+13.00
183,0,27974,Sung Kang,51' 1",116,5928.417,+45.00
183,0,32150,Michael Thompson,51' 1",89,4544.833,+22.00
185,0,31646,Emiliano Grillo,51' 5",94,4836.250,+2.00
185,0,25834,Daniel Summerhays,51' 5",89,4575.500,+23.00
187,0,20593,Greg Chalmers,51' 7",72,3711.083,+13.00
188,0,40026,Daniel Berger,51' 8",76,3924.667,+6.00
189,0,25493,Nick Taylor,51' 11",123,6382.667,+14.00
190,0,24846,Ricky Barnes,52' 1",107,5570.250,+17.00
191,0,36699,Patrick Rodgers,52' 11",133,7041.500,+32.00
192,0,32816,Satoshi Kodaira,53' 0",58,3075.250,+17.00
193,0,33413,Ben Martin,54' 4",83,4511.417,+14.00
