RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
43,0,10585,Scott McCarron,61.19,339,554
43,0,27649,Brandt Snedeker,61.19,369,603
45,0,25364,Paul Casey,60.86,199,327
46,0,25562,Andres Romero,60.78,279,459
47,0,26596,Ryan Moore,60.76,288,474
48,0,26300,Matt Jones,60.61,337,556
49,0,12716,Charley Hoffman,60.60,303,500
50,0,01320,Bob Estes,60.48,277,458
51,0,28089,Jason Day,60.38,288,477
51,0,01948,Tim Petrovic,60.38,384,636
53,0,26289,Boo Weekley,60.32,260,431
54,0,08725,Tom Gillis,60.27,358,594
55,0,23718,Nathan Green,60.18,343,570
56,0,28237,Rory McIlroy,60.13,190,316
57,0,24138,Ian Poulter,59.82,198,331
58,0,10425,Jay Williamson,59.74,227,380
59,0,25190,Jeff Quinney,59.70,323,541
60,0,22621,Ben Curtis,59.69,268,449
61,0,06004,Stephen Ames,59.67,256,429
62,0,23353,J.J. Henry,59.62,282,473
63,0,01941,Tom Pernice Jr.,59.61,214,359
64,0,24846,Ricky Barnes,59.59,351,589
65,0,22378,Trevor Immelman,59.52,200,336
66,0,32102,Rickie Fowler,59.51,316,531
67,0,01116,Michael Bradley,59.47,245,412
67,0,20572,Rod Pampling,59.47,289,486
69,0,12510,Chad Campbell,59.46,308,518
69,0,29221,Webb Simpson,59.46,355,597
71,0,02239,Scott Verplank,59.37,282,475
72,0,26420,Richard Johnson,59.35,276,465
73,0,24912,Will MacKenzie,59.31,242,408
74,0,22913,John Rollins,59.27,275,464
75,0,23673,Michael Connell,59.13,285,482
76,0,06621,Joe Durant,59.09,182,308
77,0,23541,Ben Crane,59.06,277,469
77,0,12705,Cliff Kresge,59.06,163,276
79,0,27466,Spencer Levin,58.95,326,553
80,0,12782,Tim Herron,58.86,259,440
81,0,20098,Stuart Appleby,58.82,400,680
82,0,10423,Mike Weir,58.80,254,432
83,0,23322,Brett Wetterich,58.71,182,310
84,0,27060,John Mallinger,58.67,264,450
85,0,24781,Hunter Mahan,58.65,278,474
85,0,25240,D.A. Points,58.65,305,520
87,0,07867,Woody Austin,58.56,301,514
88,0,28620,Aron Price,58.53,199,340
89,0,25632,Jimmy Walker,58.46,280,479
90,0,20378,Mathias Grönberg,58.36,192,329
91,0,07363,Craig Bowden,58.31,200,343
92,0,25686,Jason Dufner,58.24,304,522
93,0,12652,Cameron Beckman,58.21,227,390
94,0,26301,James Nitties,58.19,302,519
95,0,23409,James Driscoll,58.15,271,466
96,0,26951,Johnson Wagner,58.10,269,463
97,0,20070,Matt Bettencourt,57.98,345,595
98,0,24924,Bill Haas,57.96,273,471
99,0,07749,Brett Quigley,57.93,296,511
100,0,08075,Jerry Kelly,57.91,322,556
101,0,26881,Jarrod Lyle,57.84,166,287
102,0,01577,Lee Janzen,57.81,259,448
103,0,24024,Zach Johnson,57.66,316,548
104,0,20645,John Senden,57.65,294,510
105,0,28307,Matt Every,57.61,212,368
106,0,01619,Skip Kendall,57.57,194,337
107,0,27770,Camilo Villegas,57.50,253,440
108,0,24507,Jason Bohn,57.49,280,487
109,0,23548,Bill Lunde,57.48,265,461
110,0,12714,Chris Tidland,57.47,254,442
111,0,23325,Vaughn Taylor,57.46,285,496
112,0,29910,Blake Adams,57.43,282,491
113,0,27963,Chris Stroud,57.40,260,453
114,0,10860,Justin Leonard,57.32,317,553
115,0,27936,Martin Laird,57.31,302,527
116,0,26287,Roland Thatcher,57.24,253,442
117,0,22371,Aaron Baddeley,57.10,342,599
118,0,20229,Stewart Cink,57.08,258,452
119,0,27797,Derek Lamely,57.00,293,514
120,0,01797,Rocco Mediate,56.96,217,381
121,0,27933,John Merrick,56.93,308,541
122,0,22056,Cameron Percy,56.91,206,362
123,0,26851,Marc Leishman,56.90,297,522
124,0,27330,Josh Teater,56.83,316,556
125,0,28475,Jeff Overton,56.80,288,507
126,0,21949,Joe Ogilvie,56.69,322,568
127,0,27214,Kevin Streelman,56.59,292,516
128,0,23621,Rory Sabbatini,56.48,257,455
129,0,06567,Vijay Singh,56.46,236,418
