RANK,MOVEMENT,PLAYER_ID,PLAYER,%,OFFICIAL MONEY WON,POTENTIAL MONEY
291,0,21660,Jason Schultz,.84,163243,19368000
292,0,22896,Grégory Havret,.81,33500,4152450
293,0,12195,Tom Johnson,.79,190925,24138000
294,0,25972,Pablo Martin Benavides,.78,45313,5832000
294,0,02106,Chris Smith,.78,50381,6444000
296,0,30711,Colt Knost,.77,27483,3564000
296,0,02245,Grant Waite,.77,75347,9738000
298,0,06078,Esteban Toledo,.76,12250,1620000
298,0,20566,Kaname Yokoo,.76,16640,2196000
300,0,06090,Jim McGovern,.72,27333,3798000
301,0,23933,Michael Boyd,.70,126839,18234000
301,0,21498,Hideto Tanihara,.70,36000,5133450
301,0,22540,Anthony Wall,.70,38000,5412450
304,0,25892,Steve Wheatcroft,.69,153245,22086000
305,0,12645,Brent Geiberger,.62,91749,14688000
306,0,28307,Matt Every,.58,12420,2160000
307,0,24846,Ricky Barnes,.56,12540,2250000
308,0,01385,Jim Gallagher Jr.,.54,38635,7128000
309,0,26360,Bubba Dickerson,.53,87430,16398000
310,0,07707,Mike Small,.52,13050,2520000
310,0,28310,Lee Williams,.52,11152,2142000
312,0,27702,Matt Hendrix,.51,108269,21276000
313,0,19883,Joe Daley,.50,10920,2196000
314,0,08835,Kris Cox,.49,36729,7524000
315,0,01116,Michael Bradley,.48,31889,6696000
315,0,06809,Bob Burns,.48,18153,3762000
315,0,01329,Brad Faxon,.48,84644,17694000
318,0,01599,Steve Jones,.45,34922,7722000
319,0,23824,Oliver Thomson,.44,7630,1728000
320,0,20935,Toru Taniguchi,.43,21594,4998450
321,0,02110,Jerry Smith,.39,63334,16308000
322,0,01473,Todd Hamilton,.38,109776,28713450
322,0,08339,Spike McRoy,.38,18280,4860000
322,0,19795,Kelly Mitchum,.38,16326,4266000
325,0,07013,Wes Short Jr.,.36,42119,11556000
326,0,07003,David Berganio Jr.,.35,11025,3150000
326,0,08725,Tom Gillis,.35,11152,3222000
326,0,02010,Loren Roberts,.35,12660,3594450
329,0,20029,Notah Begay III,.32,19245,5958000
330,0,01685,J.L. Lewis,.31,12915,4140000
331,0,02036,Jim Rutledge,.30,62241,20664000
332,0,24457,Jaco Van Zyl,.29,53762,18234000
333,0,06214,Guy Boros,.26,7268,2808000
334,0,19881,Robert Damron,.21,18060,8604000
334,0,06573,Brandt Jobe,.21,11016,5148000
336,0,02294,Willie Wood,.20,8700,4248000
337,0,01771,Blaine McCallister,.18,11330,6426000
338,0,23043,Paul Sheehan,.10,10143,10254450
339,0,06044,Scott Gump,.08,7805,9846000
