RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,YEAR/TOURN#,ROUND,HOLE
456,0,51933,Casey Russell,17' 1",PGA Champ,1,12 - Par 4
457,0,35540,Albin Choi,17' 1",RBC Canadian,1,5 - Par 4 -
458,0,12820,Ray Franz Jr.,17' 0",RBC Heritage,2,7 - Par 3 -
459,0,47529,Mito Pereira,17' 0",U.S. Open,2,12 - Par 3
460,0,54636,Tony Romo,16' 11",Byron Nelson,2,14 - Par 5
461,0,31044,Matt Harmon,16' 11",Rocket Mortgage,2,16 - Par 4
462,0,35110,Brett Drewitt,16' 10",Safeway Open,1,3 - Par 4 -
463,0,54625,Dawson Armstrong,16' 7",Sanderson Farms,1,12 - Par 4
464,0,25349,Tim Wilkinson,16' 4",Sanderson Farms,1,1 - Par 4 -
465,0,35794,Preston Otte,16' 4",Shriners,2,13 - Par 5
466,0,50423,Philip Eriksson,16' 3",WGC-FedEx,4,10 - Par 4
467,0,34262,Jon Curran,16' 2",Safeway Open,1,18 - Par 5
468,0,46442,Maverick McNealy,16' 2",Safeway Open,1,18 - Par 5
469,0,36514,Yuki Inamori,16' 1",Sony Open,3,13 - Par 4
470,0,40042,Tyler McCumber,15' 11",Safeway Open,4,6 - Par 4 -
471,0,54591,Ben Griffin,15' 11",The RSM Classic,1,2 - Par 4 -
472,0,56186,Peter Jones,15' 8",The RSM Classic,1,18 - Par 4
473,0,52633,Alex Beach,15' 8",PGA Champ,2,1 - Par 4 -
474,0,57120,Todd Balkin,15' 7",Byron Nelson,1,8 - Par 3 -
475,0,26735,Marty Jertson,15' 3",PGA Champ,2,2 - Par 4 -
476,0,47127,David Pastore,15' 2",Farmers,2,16 - Par 3
477,0,33241,Nathan Stamey,15' 2",Wells Fargo,2,2 - Par 4 -
478,0,10885,Robert Allenby,14' 11",John Deere,1,17 - Par 5
479,0,54318,Matt Parziale,14' 10",U.S. Open,2,7 - Par 3 -
480,0,56249,Peter Jung,14' 7",Sony Open,2,10 - Par 4
481,0,07363,Craig Bowden,14' 5",PGA Champ,1,12 - Par 4
482,0,50759,Michael Blair,14' 3",RBC Canadian,2,10 - Par 4
483,0,08385,Omar Uresti,14' 1",Barbasol,2,7 - Par 4 -
484,0,56630,Akshay Bhatia,13' 10",Valspar,1,18 - Par 4
485,0,36632,Connor Arendell,13' 8",U.S. Open,2,4 - Par 4 -
486,0,51586,Stewart Hagestad,13' 8",U.S. Open,1,7 - Par 3 -
487,0,20160,Charlie Wi,13' 8",Barbasol,2,16 - Par 3
488,0,24077,Matthew Millar,13' 7",WGC-Mexico,3,10 - Par 4
489,0,31121,Berry Henson,13' 7",Barbasol,2,16 - Par 3
490,0,46439,Will Grimmer,13' 6",the Memorial,2,2 - Par 4 -
491,0,35409,Craig Hocknull,13' 5",PGA Champ,2,8 - Par 3 -
492,0,46045,Michael Miller,13' 5",Travelers,2,2 - Par 4 -
493,0,56286,BJ Doucett,13' 4",Farmers,1,1 - Par 4 -
494,0,55540,Thomas DeMarco,13' 2",RBC Canadian,2,4 - Par 5 -
495,0,33974,Dean Burmester,13' 2",U.S. Open,2,1 - Par 4 -
496,0,34587,Chan Kim,13' 1",U.S. Open,2,6 - Par 5 -
497,0,54303,Charlie Reiter,12' 9",Desert Classic,3,6 - Par 3 -
498,0,32444,JC Deacon,12' 7",RBC Canadian,2,8 - Par 3 -
499,0,30261,Ryan Yip,12' 5",RBC Canadian,2,8 - Par 3 -
500,0,54367,Cole Nygren,11' 11",Shriners,2,12 - Par 4
501,0,37147,Josh Whalen,11' 11",RBC Canadian,1,4 - Par 5 -
502,0,23725,Brendan Jones,11' 10",PGA Champ,2,4 - Par 5 -
503,0,26287,Roland Thatcher,11' 7",Texas Open,2,7 - Par 3 -
504,0,51760,Tucker Wadkins,11' 3",Charles Schwab,1,11 - Par 5
505,0,01599,Steve Jones,11' 1",Pebble Beach,1,12 - Par 3
506,0,29720,Andres Gonzales,10' 11",Safeway Open,2,6 - Par 4 -
507,0,56676,John Augenstein,10' 8",RBC Heritage,2,2 - Par 5 -
508,0,33039,Jason Schmuhl,10' 3",Pebble Beach,2,12 - Par 3
509,0,39384,Alex Kang,9' 10",The RSM Classic,2,15 - Par 5
510,0,08123,Jeff Brehaut,9' 8",Safeway Open,2,5 - Par 5 -
511,0,52308,Chris Crisologo,9' 4",RBC Canadian,2,8 - Par 3 -
512,0,29204,Merrick Bremner,9' 1",U.S. Open,2,12 - Par 3
513,0,46037,Hunter Stewart,9' 0",Barbasol,2,8 - Par 5 -
514,0,27120,Troy Matteson,8' 9",Barbasol,1,13 - Par 4
515,0,51414,Brent Grant,8' 8",Sony Open,2,10 - Par 4
516,0,07457,Steve Flesch,7' 11",Barbasol,1,17 - Par 4
517,0,45582,Jared Sawada,7' 6",Sony Open,2,10 - Par 4
518,0,23778,Brad Adamonis,0",Mayakoba,1,1 - Par 4 -
519,0,30736,Oscar Fraustro,0",Mayakoba,1,1 - Par 4 -
520,0,32366,Kevin Chappell,0",Mayakoba,1,1 - Par 4 -
521,0,33077,Eamonn McLoughlin,0",Mayakoba,1,1 - Par 4 -
522,0,34136,Armando Favela,0",Mayakoba,1,1 - Par 4 -
523,0,35469,Sebastián Vázquez,0",Mayakoba,1,1 - Par 4 -
524,0,54347,Matt Hutchins,0",Mayakoba,1,1 - Par 4 -
525,0,01473,Todd Hamilton,0",Puerto Rico,1,1 - Par 4 -
526,0,02106,Chris Smith,0",Puerto Rico,1,1 - Par 4 -
527,0,06332,Neal Lancaster,0",Puerto Rico,1,1 - Par 4 -
528,0,08339,Spike McRoy,0",Puerto Rico,1,1 - Par 4 -
529,0,11032,Frank Lickliter II,0",Puerto Rico,1,1 - Par 4 -
530,0,12652,Cameron Beckman,0",Puerto Rico,1,1 - Par 4 -
531,0,20104,Ken Duke,0",Puerto Rico,1,1 - Par 4 -
532,0,20848,Ángel Cabrera,0",Puerto Rico,1,1 - Par 4 -
533,0,21959,Ted Purdy,0",Puerto Rico,1,1 - Par 4 -
534,0,22378,Trevor Immelman,0",Puerto Rico,1,1 - Par 4 -
535,0,26668,Marc Turnesa,0",Puerto Rico,1,1 - Par 4 -
536,0,27797,Derek Lamely,0",Puerto Rico,1,1 - Par 4 -
537,0,28500,Martin Flores,0",Puerto Rico,1,1 - Par 4 -
538,0,31587,Max Alverio,0",Puerto Rico,1,1 - Par 4 -
539,0,32070,Rafael Campos,0",Puerto Rico,1,1 - Par 4 -
540,0,35287,Yuwa Kosaihira,0",Puerto Rico,1,1 - Par 4 -
541,0,36299,Edward Figueroa,0",Puerto Rico,1,1 - Par 4 -
542,0,36690,Hunter Hamrick,0",Puerto Rico,1,1 - Par 4 -
543,0,37410,Hiram Silfa,0",Puerto Rico,1,1 - Par 4 -
544,0,37426,Jeronimo Esteve,0",Puerto Rico,1,1 - Par 4 -
545,0,40250,Taylor Pendrith,0",Puerto Rico,1,2 - Par 5 -
546,0,51567,Will Cannon,0",Puerto Rico,1,1 - Par 4 -
547,0,51854,Alexander Hicks,0",Puerto Rico,1,1 - Par 4 -
548,0,55319,Nick Heinen,0",Puerto Rico,1,1 - Par 4 -
549,0,56320,Bryson Nimmer,0",Puerto Rico,1,1 - Par 4 -
550,0,56335,Kyle Sanders,0",Puerto Rico,1,1 - Par 4 -
551,0,27324,Seungsu Han,0",Puntacana,1,1 - Par 4 -
552,0,33653,Thomas Detry,0",Puntacana,1,1 - Par 4 -
553,0,33951,Julio Santos,0",Puntacana,1,1 - Par 4 -
554,0,35210,George Riley,0",Puntacana,1,1 - Par 4 -
555,0,45528,Mike Ballo Jr.,0",Puntacana,1,1 - Par 4 -
556,0,46567,Paul Dunne,0",Puntacana,1,1 - Par 4 -
557,0,46655,Jacob Eggers,0",Puntacana,1,1 - Par 4 -
558,0,50158,Juan Cayro Delgado,0",Puntacana,1,1 - Par 4 -
559,0,51522,Zach Zaback,0",Puntacana,1,1 - Par 4 -
560,0,54901,Theo Humphrey,0",Puntacana,1,1 - Par 4 -
561,0,54916,Rhadames Pena,0",Puntacana,1,1 - Par 4 -
