RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF 1 PUTTS,# OF HOLES
64,0,33486,Roger Sloan,41.85,113,270
66,0,34099,Harris English,41.81,143,342
67,0,37454,Whee Kim,41.67,60,144
67,0,46601,Trey Mullinax,41.67,90,216
67,0,32058,José de Jesús Rodríguez,41.67,75,180
67,0,49960,Sepp Straka,41.67,90,216
71,0,34046,Jordan Spieth,41.50,127,306
72,0,29535,Brice Garnett,41.48,112,270
73,0,33419,Cameron Tringale,41.45,97,234
73,0,29484,Peter Uihlein,41.45,97,234
75,0,29223,Sam Saunders,41.41,82,198
76,0,39546,Keith Mitchell,41.32,119,288
77,0,32139,Danny Willett,41.20,89,216
78,0,22371,Aaron Baddeley,41.11,74,180
78,0,49771,J.T. Poston,41.11,148,360
80,0,31323,Gary Woodland,41.05,133,324
81,0,25572,Graeme McDowell,40.97,118,288
81,0,37189,Harold Varner III,40.97,118,288
83,0,32816,Satoshi Kodaira,40.91,81,198
84,0,33410,Andrew Landry,40.87,103,252
85,0,10809,Jim Furyk,40.74,110,270
85,0,33399,Adam Hadwin,40.74,132,324
85,0,27141,J.B. Holmes,40.74,88,216
85,0,32839,Hideki Matsuyama,40.74,154,378
85,0,26329,Louis Oosthuizen,40.74,110,270
85,0,34264,Hudson Swafford,40.74,66,162
91,0,35506,Mackenzie Hughes,40.60,95,234
92,0,35376,Roberto Díaz,40.56,73,180
92,0,27129,Luke List,40.56,73,180
94,0,46523,Joey Garber,40.48,51,126
95,0,40009,Dominic Bozzelli,40.40,80,198
96,0,47128,Richy Werenski,40.37,109,270
97,0,37380,Curtis Luck,40.28,58,144
97,0,45486,Joaquin Niemann,40.28,145,360
99,0,33418,Shawn Stefani,40.17,94,234
100,0,21209,Sergio Garcia,40.12,65,162
100,0,36689,Brooks Koepka,40.12,130,324
100,0,37340,Chase Wright,40.12,65,162
103,0,32200,Roberto Castro,40.00,108,270
103,0,21961,Charles Howell III,40.00,144,360
103,0,26300,Matt Jones,40.00,108,270
103,0,27974,Sung Kang,40.00,108,270
103,0,32333,Kevin Tway,40.00,108,270
108,0,30191,Julián Etulain,39.90,79,198
108,0,34098,Russell Henley,39.90,79,198
110,0,40098,Matt Fitzpatrick,39.81,86,216
110,0,34261,Scott Langley,39.81,86,216
110,0,25396,Kevin Na,39.81,86,216
113,0,45526,Abraham Ancer,39.77,136,342
113,0,25493,Nick Taylor,39.77,136,342
115,0,49303,Anders Albertson,39.68,50,126
115,0,29974,Branden Grace,39.68,100,252
117,0,48822,Sebastián Muñoz,39.63,107,270
118,0,36852,Jim Knous,39.58,57,144
119,0,33948,Byeong Hun An,39.54,121,306
119,0,33448,Justin Thomas,39.54,121,306
121,0,39327,Ben Silverman,39.44,71,180
122,0,52372,Cameron Champ,39.32,92,234
122,0,35532,Tom Hoge,39.32,92,234
124,0,27644,Brian Harman,39.24,113,288
124,0,46970,Jon Rahm,39.24,113,288
126,0,30944,Jason Kokrak,39.14,155,396
127,0,24924,Bill Haas,38.89,91,234
127,0,34563,Chesson Hadley,38.89,77,198
127,0,23353,J.J. Henry,38.89,35,90
127,0,21731,Freddie Jacobson,38.89,49,126
127,0,34256,Andrew Putnam,38.89,119,306
127,0,36699,Patrick Rodgers,38.89,49,126
127,0,39324,J.J. Spaun,38.89,119,306
