RANK,MOVEMENT,PLAYER_ID,PLAYER,FINISH POSITION,# OF WINS,# OF TOP-10S,FEDEXCUP STROKES
55,0,48822,Sebastián Muñoz,901,0,3,0
56,0,45157,Cam Davis,895,0,5,0
57,0,35506,Mackenzie Hughes,841,0,3,0
58,0,37455,Si Woo Kim,815,0,1,0
59,0,30944,Jason Kokrak,801,1,1,0
60,0,26851,Marc Leishman,787,0,3,0
61,0,29518,Brendan Steele,783,0,4,0
62,0,32640,Troy Merritt,777,0,2,0
63,0,33399,Adam Hadwin,777,0,5,0
64,0,30911,Tommy Fleetwood,766,0,5,0
65,0,26476,Chez Reavie,766,1,3,0
66,0,23108,Matt Kuchar,764,0,3,0
67,0,49947,Taylor Moore,748,0,4,0
68,0,30926,Chris Kirk,725,0,4,0
69,0,37189,Harold Varner III,717,0,3,0
70,0,27349,Alex Noren,710,0,3,0
71,0,46340,Alex Smalley,701,0,3,0
72,0,51766,Wyndham Clark,662,0,3,0
73,0,26300,Matt Jones,653,0,2,0
74,0,31420,Anirban Lahiri,642,0,3,0
75,0,34264,Hudson Swafford,640,1,1,0
76,0,54628,Lee Hodges,637,0,2,0
77,0,34174,John Huh,612,0,2,0
78,0,30927,Brendon Todd,607,0,2,0
79,0,31323,Gary Woodland,601,0,5,0
80,0,35461,Beau Hossler,593,0,2,0
81,0,35310,Lanto Griffin,592,0,4,0
82,0,52374,Brandon Wu,586,0,4,0
83,0,36871,Matt NeSmith,576,0,2,0
84,0,56278,Matthew Wolff,572,0,2,0
85,0,47983,Chad Ramey,568,1,2,0
86,0,35449,Adam Long,564,0,0,0
87,0,29970,Dylan Frittelli,554,0,1,0
88,0,23320,Ryan Palmer,545,0,1,0
89,0,36326,David Lipsky,543,0,3,0
90,0,47347,Adam Schenk,542,0,3,0
91,0,40026,Daniel Berger,529,0,3,0
92,0,34076,Joel Dahmen,524,0,3,0
93,0,46414,Aaron Rai,519,0,2,0
94,0,36799,Stephan Jaeger,518,0,2,0
95,0,36699,Patrick Rodgers,517,0,3,0
96,0,33122,Russell Knox,514,0,2,0
97,0,40115,Adam Svensson,511,0,3,0
98,0,45526,Abraham Ancer,510,0,3,0
99,0,27214,Kevin Streelman,509,0,2,0
100,0,36801,Mark Hubbard,508,0,2,0
101,0,34466,Peter Malnati,501,0,2,0
102,0,29926,Danny Lee,490,0,3,0
103,0,32150,Michael Thompson,487,0,2,0
104,0,55708,Hayden Buckley,474,0,2,0
105,0,29908,C.T. Pan,473,0,2,0
106,0,22405,Justin Rose,458,0,2,0
107,0,27936,Martin Laird,442,0,1,0
108,0,37275,Sam Ryder,439,0,3,0
109,0,51894,Vince Whaley,438,0,2,0
110,0,45609,Tyler Duncan,436,0,0,0
111,0,27064,Jhonattan Vegas,428,0,1,0
112,0,28775,Nate Lashley,427,0,1,0
113,0,32448,James Hahn,418,0,3,0
114,0,51890,Greyson Sigg,415,0,1,0
115,0,33667,Carlos Ortiz,414,0,1,0
116,0,34431,Robert Streb,413,0,3,0
117,0,36689,Brooks Koepka,412,0,2,0
118,0,25818,Scott Piercy,410,0,1,0
119,0,48699,Callum Tarren,405,0,3,0
120,0,51950,Max McGreevy,404,0,2,0
121,0,34563,Chesson Hadley,404,0,4,0
122,0,21961,Charles Howell III,400,0,1,0
123,0,27095,Nick Watney,387,0,1,0
124,0,28089,Jason Day,385,0,2,0
125,0,52375,Doug Ghim,385,0,1,0
126,0,20229,Stewart Cink,376,0,2,0
127,0,32333,Kevin Tway,361,0,1,0
128,0,28420,Ryan Brehm,359,1,1,0
129,0,34610,Matthias Schwab,353,0,3,0
130,0,32757,Patton Kizzire,351,0,1,0
131,0,29221,Webb Simpson,346,0,1,0
132,0,24361,Pat Perez,345,0,2,0
133,0,32102,Rickie Fowler,340,0,1,0
134,0,25493,Nick Taylor,334,0,0,0
135,0,49298,Kramer Hickok,328,0,1,0
136,0,48887,Matt Wallace,316,0,2,0
137,0,50095,Austin Smotherman,315,0,1,0
138,0,40162,Justin Lower,311,0,2,0
139,0,25364,Paul Casey,310,0,1,0
140,0,53165,Doc Redman,304,0,1,0
141,0,32139,Danny Willett,304,0,1,0
142,0,35879,Kelly Kraft,289,0,0,0
143,0,47988,Nick Hardy,288,0,1,0
144,0,52372,Cameron Champ,288,0,2,0
145,0,31560,Brian Stuard,285,0,2,0
146,0,32662,Michael Gligic,283,0,1,0
147,0,33597,Harry Higgs,272,0,1,0
148,0,25198,Francesco Molinari,272,0,1,0
149,0,35617,Martin Trainer,270,0,2,0
150,0,40006,Erik van Rooyen,269,0,1,0
