RANK,MOVEMENT,PLAYER_ID,PLAYER,%,POINTS WON,POTENTIAL PTS,# OF WINS,# OF TOP 10'S
146,0,32333,Kevin Tway,2.53,361,14300,0,1
149,0,25493,Nick Taylor,2.48,334,13450,0,0
150,0,32757,Patton Kizzire,2.46,351,14250,0,1
151,0,24140,Sean O'Hair,2.45,146,5950,0,1
152,0,32816,Satoshi Kodaira,2.40,197,8200,0,0
153,0,24925,Jonathan Byrd,2.36,223,9450,0,1
154,0,35879,Kelly Kraft,2.27,289,12700,0,0
155,0,53165,Doc Redman,2.24,304,13550,0,1
156,0,49298,Kramer Hickok,2.20,328,14900,0,1
157,0,24138,Ian Poulter,2.13,179,8400,0,0
158,0,19803,Ryan Armour,2.09,186,8900,0,0
159,0,40042,Tyler McCumber,2.06,113,5500,0,1
160,0,24024,Zach Johnson,2.05,246,11950,0,0
161,0,54421,Garrick Higgo,1.99,229,11500,0,1
162,0,39953,Chase Seiffert,1.97,173,8800,0,0
163,0,51997,Andrew Novak,1.84,233,12700,0,0
163,0,35617,Martin Trainer,1.84,270,14700,0,2
165,0,46435,Austin Cook,1.82,213,11700,0,0
165,0,33597,Harry Higgs,1.82,272,14950,0,1
167,0,29479,Scott Brown,1.80,111,6200,0,0
168,0,30163,Henrik Norlander,1.77,235,13300,0,1
169,0,31202,William McGirt,1.73,144,8350,0,1
169,0,31560,Brian Stuard,1.73,285,16450,0,2
171,0,20433,Mark Hensby,1.72,40,2300,0,1
171,0,49766,Hank Lebioda,1.72,241,14050,0,0
171,0,23325,Vaughn Taylor,1.72,158,9200,0,1
174,0,26596,Ryan Moore,1.69,130,7650,0,0
175,0,22371,Aaron Baddeley,1.68,96,5700,0,0
176,0,12716,Charley Hoffman,1.66,207,12500,0,1
177,0,29535,Brice Garnett,1.65,228,13800,0,1
178,0,23983,Luke Donald,1.57,170,10850,0,0
178,0,30750,Tommy Gainey,1.57,105,6700,0,1
180,0,54783,Dylan Wu,1.50,175,11700,0,1
181,0,32366,Kevin Chappell,1.49,139,9300,0,0
182,0,24980,Scott Gutschewski,1.48,158,10700,0,1
183,0,34099,Harris English,1.46,91,6250,0,0
184,0,36852,Jim Knous,1.44,125,8700,0,0
185,0,01810,Phil Mickelson,1.38,44,3200,0,0
186,0,30978,Kiradech Aphibarnrat,1.37,122,8900,0,0
187,0,37212,Paul Barjon,1.35,168,12450,0,1
188,0,34213,Grayson Murray,1.33,70,5300,0,0
189,0,29268,Bronson Burgoon,1.32,80,6100,0,0
189,0,24924,Bill Haas,1.32,194,14700,0,0
191,0,47128,Richy Werenski,1.31,163,12500,0,0
192,0,36884,Ben Kohles,1.30,146,11200,0,0
193,0,24358,Robert Garrigus,1.27,79,6200,0,0
194,0,34409,David Lingmerth,1.26,80,6350,0,0
194,0,29289,S.Y. Noh,1.26,128,10200,0,0
194,0,27649,Brandt Snedeker,1.26,141,11200,0,0
197,0,47856,Seth Reeves,1.24,152,12200,0,1
198,0,25632,Jimmy Walker,1.17,83,7100,0,0
199,0,21528,Henrik Stenson,1.14,78,6850,0,0
200,0,34255,Joseph Bramlett,1.13,162,14300,0,0
201,0,27974,Sung Kang,1.11,163,14700,0,0
202,0,33486,Roger Sloan,1.07,151,14150,0,0
202,0,10381,Curtis Thompson,1.07,136,12700,0,1
204,0,33490,Bo Hoag,1.04,98,9350,0,0
204,0,27770,Camilo Villegas,1.04,127,12250,0,0
206,0,48084,Wesley Bryan,1.01,90,8900,0,0
207,0,19846,Brian Gay,.99,90,9100,0,0
208,0,06643,Paul Goydos,.98,5,500,0,0
209,0,23623,Bo Van Pelt,.96,69,7200,0,0
210,0,30110,Kyle Stanley,.92,80,8750,0,0
211,0,29484,Peter Uihlein,.87,62,7100,0,0
212,0,27139,David Skinns,.86,94,10900,0,0
213,0,31557,Jim Herman,.84,76,9100,0,1
214,0,24846,Ricky Barnes,.83,39,4700,0,0
215,0,27963,Chris Stroud,.79,44,5600,0,0
216,0,20593,Greg Chalmers,.76,32,4200,0,0
217,0,45540,Jared Wolfe,.75,81,10900,0,0
218,0,10809,Jim Furyk,.73,12,1600,0,0
219,0,46550,Brandon Hagy,.70,106,15100,0,0
220,0,28114,Dawie van der Walt,.67,78,11700,0,0
221,0,08793,Tiger Woods,.63,11,1800,0,0
222,0,28679,Fabián Gómez,.62,20,3200,0,0
223,0,25686,Jason Dufner,.57,59,10350,0,0
224,0,01457,Jay Haas,.55,3,500,0,0
225,0,26758,David Hearn,.54,28,5200,0,0
226,0,27895,Jonas Blixt,.49,50,10200,0,0
227,0,39436,Joshua Creel,.47,48,10200,0,0
228,0,35110,Brett Drewitt,.40,42,10700,0,0
229,0,26951,Johnson Wagner,.39,12,3000,0,0
230,0,20766,Padraig Harrington,.36,12,3350,0,0
231,0,37273,Derek Ernst,.34,9,2700,0,0
232,0,23353,J.J. Henry,.29,9,3200,0,0
233,0,25240,D.A. Points,.27,13,4700,0,0
234,0,24490,George McNeill,.26,5,1900,0,0
234,0,23788,D.J. Trahan,.26,11,4200,0,0
236,0,28259,Sangmoon Bae,.24,9,3600,0,0
237,0,23541,Ben Crane,.23,10,4400,0,0
238,0,20645,John Senden,.22,3,1500,0,0
239,0,08385,Omar Uresti,.18,4,1900,0,0
240,0,21407,Arjun Atwal,.17,5,3100,0,0
241,0,26420,Richard Johnson,.14,5,3400,0,0
242,0,21350,Ryuji Imada,.13,2,1800,0,0
243,0,21753,Brian Davis,.10,3,2700,0,0
243,0,01706,Davis Love III,.10,3,3500,0,0
243,0,27933,John Merrick,.10,4,3700,0,0
246,0,28307,Matt Every,.05,2,3400,0,0
246,0,26679,Kevin Stadler,.05,2,4700,0,0
