RANK,MOVEMENT,PLAYER_ID,PLAYER,PUTTS MADE
61,0,27214,Kevin Streelman,1.4
61,0,27963,Chris Stroud,1.4
61,0,23325,Vaughn Taylor,1.4
61,0,29484,Peter Uihlein,1.4
61,0,27064,Jhonattan Vegas,1.4
61,0,25804,Bubba Watson,1.4
84,0,40026,Daniel Berger,1.3
84,0,29479,Scott Brown,1.3
84,0,29268,Bronson Burgoon,1.3
84,0,25364,Paul Casey,1.3
84,0,34021,Bud Cauley,1.3
84,0,45157,Cam Davis,1.3
84,0,29970,Dylan Frittelli,1.3
84,0,31646,Emiliano Grillo,1.3
84,0,39971,Sungjae Im,1.3
84,0,21731,Freddie Jacobson,1.3
84,0,24024,Zach Johnson,1.3
84,0,26300,Matt Jones,1.3
84,0,27974,Sung Kang,1.3
84,0,33122,Russell Knox,1.3
84,0,27129,Luke List,1.3
84,0,34466,Peter Malnati,1.3
84,0,39324,J.J. Spaun,1.3
84,0,32150,Michael Thompson,1.3
84,0,32333,Kevin Tway,1.3
84,0,27095,Nick Watney,1.3
104,0,28259,Sangmoon Bae,1.2
104,0,27958,Ryan Blaum,1.2
104,0,40009,Dominic Bozzelli,1.2
104,0,47504,Sam Burns,1.2
104,0,26499,Rafa Cabrera Bello,1.2
104,0,35376,Roberto Díaz,1.2
104,0,21209,Sergio Garcia,1.2
104,0,29974,Branden Grace,1.2
104,0,34563,Chesson Hadley,1.2
104,0,12716,Charley Hoffman,1.2
104,0,36852,Jim Knous,1.2
104,0,24781,Hunter Mahan,1.2
104,0,39546,Keith Mitchell,1.2
104,0,26596,Ryan Moore,1.2
104,0,45486,Joaquin Niemann,1.2
104,0,29908,C.T. Pan,1.2
104,0,30946,Alex Prugh,1.2
104,0,39327,Ben Silverman,1.2
104,0,49964,Aaron Wise,1.2
104,0,37340,Chase Wright,1.2
124,0,49303,Anders Albertson,1.1
124,0,30978,Kiradech Aphibarnrat,1.1
124,0,22371,Aaron Baddeley,1.1
124,0,27895,Jonas Blixt,1.1
124,0,33141,Keegan Bradley,1.1
124,0,46435,Austin Cook,1.1
124,0,46523,Joey Garber,1.1
124,0,19846,Brian Gay,1.1
124,0,39954,Cody Gribble,1.1
124,0,24924,Bill Haas,1.1
124,0,26758,David Hearn,1.1
124,0,49298,Kramer Hickok,1.1
124,0,39977,Max Homa,1.1
124,0,35879,Kelly Kraft,1.1
124,0,31420,Anirban Lahiri,1.1
124,0,34261,Scott Langley,1.1
124,0,32791,K.H. Lee,1.1
124,0,32640,Troy Merritt,1.1
124,0,26329,Louis Oosthuizen,1.1
124,0,33667,Carlos Ortiz,1.1
124,0,28252,Seamus Power,1.1
124,0,33448,Justin Thomas,1.1
146,0,25686,Jason Dufner,1.0
146,0,35421,Brandon Harkins,1.0
146,0,36799,Stephan Jaeger,1.0
146,0,37455,Si Woo Kim,1.0
146,0,37454,Whee Kim,1.0
146,0,33410,Andrew Landry,1.0
146,0,25198,Francesco Molinari,1.0
146,0,46601,Trey Mullinax,1.0
146,0,34431,Robert Streb,1.0
146,0,40115,Adam Svensson,1.0
156,0,51766,Wyndham Clark,.9
156,0,45609,Tyler Duncan,.9
156,0,06522,Ernie Els,.9
156,0,10809,Jim Furyk,.9
156,0,28679,Fabián Gómez,.9
156,0,27644,Brian Harman,.9
156,0,23353,J.J. Henry,.9
156,0,35532,Tom Hoge,.9
156,0,35732,Wes Roach,.9
156,0,29223,Sam Saunders,.9
156,0,30786,Brady Schnell,.9
156,0,46501,Ollie Schniederjans,.9
156,0,30110,Kyle Stanley,.9
156,0,27330,Josh Teater,.9
156,0,32139,Danny Willett,.9
171,0,30191,Julián Etulain,.8
171,0,34098,Russell Henley,.8
171,0,27141,J.B. Holmes,.8
171,0,47990,Kyle Jones,.8
171,0,32816,Satoshi Kodaira,.8
171,0,35449,Adam Long,.8
171,0,23320,Ryan Palmer,.8
171,0,32058,José de Jesús Rodríguez,.8
171,0,30692,Scott Stallings,.8
171,0,25632,Jimmy Walker,.8
181,0,20472,Alex Cejka,.7
181,0,34264,Hudson Swafford,.7
183,0,31557,Jim Herman,.6
183,0,39975,Michael Kim,.6
183,0,20572,Rod Pampling,.6
183,0,47856,Seth Reeves,.6
187,0,24925,Jonathan Byrd,.5
187,0,35617,Martin Trainer,.5
