RANK,MOVEMENT,PLAYER_ID,PLAYER,TOP 10,1ST,2ND,3RD
61,0,35461,Beau Hossler,3,0,1,0
61,0,36801,Mark Hubbard,3,0,0,2
61,0,34587,Chan Kim,3,0,0,0
61,0,37455,Si Woo Kim,3,0,0,0
61,0,30926,Chris Kirk,3,1,0,0
61,0,32757,Patton Kizzire,3,1,0,0
61,0,59143,Mac Meissner,3,0,0,0
61,0,29908,C.T. Pan,3,0,1,1
61,0,47679,Victor Perez,3,0,0,2
61,0,48867,Matti Schmid,3,0,0,1
61,0,34046,Jordan Spieth,3,0,0,1
61,0,25493,Nick Taylor,3,1,0,0
61,0,57364,Michael Thorbjornsen,3,0,1,0
61,0,51894,Vince Whaley,3,0,1,0
61,0,52513,Carson Young,3,0,1,0
61,0,47483,Will Zalatoris,3,0,1,0
88,0,40026,Daniel Berger,2,0,1,0
88,0,40058,Zac Blair,2,0,1,0
88,0,48084,Wesley Bryan,2,0,1,0
88,0,55708,Hayden Buckley,2,0,0,0
88,0,32070,Rafael Campos,2,1,0,0
88,0,59836,Pierceson Coody,2,0,1,0
88,0,45157,Cam Davis,2,1,0,0
88,0,50497,Adrien Dumont de Chassart,2,0,0,1
88,0,52375,Doug Ghim,2,0,1,0
88,0,25900,Lucas Glover,2,0,0,2
88,0,31646,Emiliano Grillo,2,0,0,0
88,0,34563,Chesson Hadley,2,0,0,0
88,0,57975,Harry Hall,2,1,0,0
88,0,54421,Garrick Higgo,2,0,0,0
88,0,54628,Lee Hodges,2,0,0,0
88,0,46717,Viktor Hovland,2,0,1,1
88,0,39975,Michael Kim,2,0,0,0
88,0,55182,Tom Kim,2,0,1,0
88,0,36884,Ben Kohles,2,0,1,0
88,0,58696,Peter Kuest,2,0,0,0
88,0,27936,Martin Laird,2,0,0,0
88,0,37378,Min Woo Lee,2,0,2,0
88,0,34466,Peter Malnati,2,1,0,0
88,0,49947,Taylor Moore,2,0,1,0
88,0,34213,Grayson Murray,2,1,0,0
88,0,36871,Matt NeSmith,2,0,1,0
88,0,57900,Chandler Phillips,2,0,0,1
88,0,34256,Andrew Putnam,2,0,0,0
88,0,22405,Justin Rose,2,0,1,0
88,0,27139,David Skinns,2,0,0,0
88,0,46340,Alex Smalley,2,0,0,0
88,0,40115,Adam Svensson,2,0,0,0
88,0,30927,Brendon Todd,2,0,0,0
88,0,38991,Alejandro Tosti,2,0,1,0
88,0,32333,Kevin Tway,2,0,0,1
88,0,55454,Carl Yuan,2,0,0,0
124,0,60369,Sam Bairstow,1,0,0,0
124,0,37212,Paul Barjon,1,0,0,0
124,0,34374,Erik Barnes,1,0,1,0
124,0,28420,Ryan Brehm,1,0,0,1
124,0,57259,Daniel Brown,1,0,0,0
124,0,32367,Jorge Campillo,1,0,0,0
124,0,34021,Bud Cauley,1,0,0,0
124,0,59442,Parker Coody,1,0,0,0
124,0,46435,Austin Cook,1,0,0,0
124,0,52514,Trace Crowe,1,0,0,0
124,0,34076,Joel Dahmen,1,0,0,0
124,0,51680,Alistair Docherty,1,0,1,0
124,0,32102,Rickie Fowler,1,0,0,0
124,0,29535,Brice Garnett,1,1,0,0
124,0,59095,Chris Gotterup,1,1,0,0
124,0,35310,Lanto Griffin,1,0,0,0
124,0,47988,Nick Hardy,1,0,0,0
124,0,37428,Evan Harmeling,1,0,0,0
124,0,34363,Tyrrell Hatton,1,0,0,0
124,0,51287,Ryo Hisatsune,1,0,0,1
124,0,52453,Nicolai Højgaard,1,0,1,0
124,0,55955,Matthew Jordan,1,0,0,0
124,0,50188,S.H. Kim,1,0,0,0
124,0,23108,Matt Kuchar,1,0,0,1
124,0,37250,Romain Langasque,1,0,0,1
124,0,28775,Nate Lashley,1,0,0,1
124,0,45523,Thriston Lawrence,1,0,0,0
124,0,27129,Luke List,1,0,1,0
124,0,54190,Richard Mansell,1,0,0,0
124,0,33413,Ben Martin,1,0,0,0
124,0,59141,Matt McCarty,1,1,0,0
124,0,46113,Ryan McCormick,1,0,0,0
124,0,32640,Troy Merritt,1,0,0,0
124,0,26596,Ryan Moore,1,0,0,0
124,0,29289,S.Y. Noh,1,0,0,0
124,0,30163,Henrik Norlander,1,0,0,0
124,0,28252,Seamus Power,1,0,0,0
124,0,46970,Jon Rahm,1,0,0,0
124,0,47983,Chad Ramey,1,0,1,0
124,0,26476,Chez Reavie,1,0,0,0
124,0,47995,Davis Riley,1,1,0,0
124,0,37275,Sam Ryder,1,0,0,0
124,0,47347,Adam Schenk,1,0,0,0
124,0,47888,Taiga Semikawa,1,0,0,0
124,0,46441,Robby Shelton,1,0,0,0
124,0,63807,Neal Shipley,1,0,0,0
124,0,39327,Ben Silverman,1,0,0,0
124,0,35891,Cameron Smith,1,0,0,0
124,0,50095,Austin Smotherman,1,0,0,0
124,0,51600,Jimmy Stanger,1,0,0,1
124,0,27214,Kevin Streelman,1,0,0,1
124,0,54218,Yuta Sugiura,1,0,0,0
124,0,48119,Ben Taylor,1,0,0,0
124,0,35617,Martin Trainer,1,0,1,0
124,0,52666,Sami Valimaki,1,0,1,0
124,0,57864,Jackson Van Paris,1,0,0,0
124,0,48640,Johannes Veerman,1,0,0,0
124,0,27064,Jhonattan Vegas,1,1,0,0
124,0,48887,Matt Wallace,1,0,0,0
124,0,31323,Gary Woodland,1,0,0,0
124,0,52374,Brandon Wu,1,0,0,0
124,0,54783,Dylan Wu,1,0,0,0
124,0,54328,Norman Xiong,1,0,0,0
