RANK,MOVEMENT,PLAYER_ID,PLAYER,STREAK,CURRENT STREAK,ROUND,HOLE,YEAR/TOURN#
123,0,19817,Michael Muehr,16,1,1,15,2002070
123,0,20572,Rod Pampling,16,1,1,10,2002380
123,0,01927,Dennis Paulson,16,3,2,8,2002230
123,0,02002,John Riegger,16,4,3,18,2002480
123,0,20127,Chris Riley,16,2,3,2,2002410
123,0,02101,Joey Sindelar,16,2,4,3,2002480
123,0,02133,Craig Stadler,16,12,2,10,2002300
123,0,06613,Tommy Tolles,16,2,1,8,2002300
123,0,10423,Mike Weir,16,5,2,16,2002410
123,0,20566,Kaname Yokoo,16,1,4,12,2002290
123,0,02322,Richard Zokol,16,0,2,2,2002190
155,0,06197,Michael Allen,15,2,2,14,2002050
155,0,01024,Billy Andrade,15,1,1,18,2002390
155,0,07867,Woody Austin,15,1,1,5,2002480
155,0,19824,Craig Barlow,15,1,2,6,2002480
155,0,20099,Doug Barron,15,1,2,17,2002090
155,0,01157,Tom Byrum,15,1,2,18,2002390
155,0,23135,Tim Clark,15,0,4,8,2002470
155,0,19972,José Coceres,15,1,2,18,2002460
155,0,01226,Fred Couples,15,11,1,1,2002240
155,0,08931,Glen Day,15,1,1,7,2002470
155,0,06251,Chris DiMarco,15,6,2,16,2002410
155,0,06036,Scott Dunlap,15,0,2,17,2002050
155,0,23125,Brad Elder,15,3,3,4,2002050
155,0,01378,David Frost,15,1,1,4,2002470
155,0,23903,Stephen Gangluff,15,0,2,18,2002270
155,0,01457,Jay Haas,15,8,2,3,2002430
155,0,20859,Anders Hansen,15,0,2,2,2002410
155,0,06617,Brian Henninger,15,1,2,10,2002270
155,0,22378,Trevor Immelman,15,0,4,3,2002410
155,0,06315,Pete Jordan,15,0,4,16,2002090
155,0,22046,Geoff Ogilvy,15,1,3,15,2002460
155,0,10107,Deane Pappas,15,1,2,2,2002390
155,0,01968,Nick Price,15,4,3,1,2002160
155,0,12714,Chris Tidland,15,6,1,14,2002060
155,0,12755,Vance Veazey,15,15,2,13,2002270
155,0,26289,Boo Weekley,15,2,1,14,2002490
155,0,23322,Brett Wetterich,15,1,2,8,2002050
155,0,10425,Jay Williamson,15,8,3,13,2002390
183,0,01035,Tommy Armour III,14,3,2,11,2002290
183,0,01042,Paul Azinger,14,1,1,7,2002100
183,0,06535,John Bermel,14,3,2,1,2002320
183,0,01249,John Daly,14,1,2,12,2002060
183,0,01261,Jay Delsing,14,0,2,11,2002380
183,0,10705,Paul Dietsche,14,14,2,14,2002060
183,0,12819,Todd Doohan,14,0,2,11,2002390
183,0,08337,Mike Heinen,14,2,3,9,2002420
183,0,06332,Neal Lancaster,14,8,3,13,2002390
183,0,10585,Scott McCarron,14,0,4,5,2002030
183,0,06090,Jim McGovern,14,3,2,4,2002090
183,0,08339,Spike McRoy,14,2,3,13,2002300
183,0,10457,Frank Nobilo,14,0,3,5,2002380
