RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,PUTTS MADE
93,0,01473,Todd Hamilton,55.68,273,152
94,0,24663,Y.E. Yang,55.66,309,172
95,0,06527,Steve Stricker,55.64,257,143
96,0,25345,Carl Pettersson,55.59,295,164
96,0,22913,John Rollins,55.59,340,189
98,0,01928,Corey Pavin,55.51,227,126
99,0,10425,Jay Williamson,55.50,218,121
100,0,07457,Steve Flesch,55.44,294,163
101,0,12510,Chad Campbell,55.41,296,164
101,0,23325,Vaughn Taylor,55.41,314,174
103,0,26668,Marc Turnesa,55.29,293,162
104,0,20850,Daniel Chopra,55.25,362,200
105,0,22405,Justin Rose,55.19,241,133
106,0,25686,Jason Dufner,55.18,328,181
107,0,27060,John Mallinger,55.17,290,160
108,0,01320,Bob Estes,55.09,285,157
109,0,09011,David Duval,55.05,218,120
110,0,28780,Nicholas Thompson,54.89,368,202
111,0,26497,Casey Wittenberg,54.78,230,126
112,0,23614,Rich Beem,54.76,252,138
113,0,23621,Rory Sabbatini,54.73,296,162
114,0,25632,Jimmy Walker,54.65,269,147
115,0,31323,Gary Woodland,54.60,163,89
116,0,01313,Steve Elkington,54.51,266,145
117,0,26679,Kevin Stadler,54.41,204,111
118,0,26301,James Nitties,54.38,320,174
119,0,07749,Brett Quigley,54.31,313,170
120,0,27936,Martin Laird,54.29,280,152
121,0,26881,Jarrod Lyle,54.27,199,108
121,0,22548,Patrick Sheehan,54.27,164,89
121,0,02239,Scott Verplank,54.27,328,178
124,0,22348,Nick O'Hern,54.16,373,202
125,0,21961,Charles Howell III,54.11,353,191
126,0,12716,Charley Hoffman,54.09,379,205
127,0,23353,J.J. Henry,54.02,348,188
128,0,20070,Matt Bettencourt,53.97,378,204
129,0,26289,Boo Weekley,53.95,291,157
130,0,01810,Phil Mickelson,53.81,197,106
131,0,01706,Davis Love III,53.75,320,172
132,0,08845,Scott Sterling,53.69,149,80
133,0,21209,Sergio Garcia,53.55,183,98
134,0,26476,Chez Reavie,53.52,284,152
135,0,27120,Troy Matteson,53.46,361,193
136,0,27933,John Merrick,53.42,292,156
137,0,20691,Greg Owen,53.14,382,203
138,0,26695,Michael Letzig,53.03,347,184
139,0,06197,Michael Allen,52.99,234,124
140,0,20572,Rod Pampling,52.83,265,140
