RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOT. EARLY RDS.(1ST TEE)
69,0,12602,Dean Wilson,70.59,1906,27
72,0,28620,Aron Price,70.62,2401,34
73,0,12510,Chad Campbell,70.63,2260,32
73,0,31416,Derek Fathauer,70.63,1342,19
73,0,24663,Y.E. Yang,70.63,2119,30
76,0,20127,Chris Riley,70.64,1554,22
77,0,21753,Brian Davis,70.65,2402,34
78,0,26300,Matt Jones,70.67,1484,21
79,0,23788,D.J. Trahan,70.69,2050,29
80,0,25686,Jason Dufner,70.74,2405,34
81,0,26695,Michael Letzig,70.75,2264,32
81,0,24361,Pat Perez,70.75,1698,24
83,0,22293,Heath Slocum,70.77,2477,35
84,0,10423,Mike Weir,70.79,2053,29
85,0,21959,Ted Purdy,70.80,2124,30
85,0,22548,Patrick Sheehan,70.80,1062,15
85,0,20160,Charlie Wi,70.80,1770,25
88,0,20848,Ángel Cabrera,70.81,1487,21
88,0,10585,Scott McCarron,70.81,2266,32
90,0,06197,Michael Allen,70.82,1558,22
90,0,01473,Todd Hamilton,70.82,1558,22
92,0,10425,Jay Williamson,70.83,1700,24
93,0,08931,Glen Day,70.85,1417,20
94,0,28089,Jason Day,70.87,1063,15
95,0,23325,Vaughn Taylor,70.88,1701,24
96,0,20572,Rod Pampling,70.89,1347,19
97,0,20229,Stewart Cink,70.92,1844,26
97,0,20574,Mathew Goggin,70.92,1702,24
99,0,12782,Tim Herron,70.93,1986,28
100,0,10809,Jim Furyk,70.95,1348,19
101,0,26596,Ryan Moore,70.96,1845,26
101,0,23621,Rory Sabbatini,70.96,1632,23
101,0,26289,Boo Weekley,70.96,1703,24
104,0,25240,D.A. Points,70.97,2200,31
104,0,07749,Brett Quigley,70.97,2271,32
104,0,25632,Jimmy Walker,70.97,2413,34
107,0,21805,Harrison Frazar,71.00,1562,22
107,0,24502,Adam Scott,71.00,994,14
109,0,25804,Bubba Watson,71.04,1705,24
110,0,28087,Kris Blanks,71.05,1421,20
111,0,06595,Kevin Sutherland,71.06,2558,36
112,0,19846,Brian Gay,71.08,2630,37
112,0,24503,Jeff Klauk,71.08,1848,26
112,0,24781,Hunter Mahan,71.08,1777,25
115,0,29221,Webb Simpson,71.09,1564,22
116,0,22371,Aaron Baddeley,71.12,1778,25
117,0,01577,Lee Janzen,71.13,1707,24
118,0,28475,Jeff Overton,71.17,1708,24
118,0,06567,Vijay Singh,71.17,1281,18
120,0,27770,Camilo Villegas,71.18,1566,22
121,0,22913,John Rollins,71.19,2207,31
122,0,01132,Mark Brooks,71.20,1780,25
122,0,20157,Retief Goosen,71.20,1424,20
124,0,01035,Tommy Armour III,71.23,1567,22
125,0,10733,Kent Jones,71.24,1781,25
126,0,01313,Steve Elkington,71.25,1140,16
127,0,01142,Bart Bryant,71.26,1354,19
127,0,20850,Daniel Chopra,71.26,1924,27
127,0,12705,Cliff Kresge,71.26,1354,19
130,0,23320,Ryan Palmer,71.28,1782,25
131,0,12652,Cameron Beckman,71.29,2210,31
132,0,01707,Steve Lowery,71.31,2496,35
133,0,20498,Briny Baird,71.33,1070,15
134,0,22621,Ben Curtis,71.35,1641,23
134,0,21961,Charles Howell III,71.35,2212,31
136,0,23778,Brad Adamonis,71.36,1784,25
136,0,24138,Ian Poulter,71.36,785,11
136,0,30927,Brendon Todd,71.36,785,11
136,0,28118,Peter Tomasulo,71.36,785,11
140,0,21350,Ryuji Imada,71.37,2141,30
141,0,01161,Mark Calcavecchia,71.39,1999,28
141,0,27936,Martin Laird,71.39,1285,18
143,0,24357,K.J. Choi,71.41,1571,22
144,0,27933,John Merrick,71.43,1643,23
144,0,02214,Kirk Triplett,71.43,1500,21
146,0,30711,Colt Knost,71.45,1429,20
147,0,21209,Sergio Garcia,71.47,1072,15
147,0,21731,Freddie Jacobson,71.47,2144,30
149,0,22892,Jason Gore,71.48,1930,27
150,0,06643,Paul Goydos,71.50,2145,30
150,0,25919,Brian Vranesh,71.50,1430,20
152,0,23718,Nathan Green,71.51,2503,35
153,0,31323,Gary Woodland,71.53,1073,15
154,0,22295,Darron Stiles,71.55,787,11
155,0,07457,Steve Flesch,71.57,2147,30
156,0,29718,Anthony Kim,71.58,1360,19
157,0,01797,Rocco Mediate,71.62,2435,34
157,0,23497,Tag Ridings,71.62,931,13
159,0,27060,John Mallinger,71.63,2507,35
160,0,20634,Peter Lonard,71.71,1721,24
161,0,25345,Carl Pettersson,71.72,2295,32
162,0,26476,Chez Reavie,71.73,2152,30
163,0,01941,Tom Pernice Jr.,71.74,1363,19
164,0,25562,Andres Romero,71.78,1651,23
165,0,24846,Ricky Barnes,71.82,1580,22
166,0,24912,Will MacKenzie,71.83,1293,18
167,0,26881,Jarrod Lyle,71.84,1365,19
168,0,22961,David Mathis,71.85,1437,20
169,0,20098,Stuart Appleby,71.88,1725,24
170,0,27141,J.B. Holmes,72.07,2162,30
171,0,01766,Billy Mayfair,72.13,2164,30
172,0,06012,Greg Kraft,72.24,1228,17
173,0,24449,Parker McLachlin,72.39,1665,23
174,0,27683,Leif Olson,72.43,1014,14
175,0,09011,David Duval,72.44,1159,16
176,0,01329,Brad Faxon,72.57,1524,21
177,0,25190,Jeff Quinney,72.64,1598,22
178,0,01677,Tom Lehman,72.72,1309,18
178,0,01810,Phil Mickelson,72.72,1309,18
180,0,20766,Padraig Harrington,72.73,1091,15
181,0,07223,Brian Bateman,72.77,946,13
182,0,23048,Eric Axley,73.08,1827,25
183,0,06539,Rick Price,73.27,806,11
184,0,26668,Marc Turnesa,73.79,2140,29
