RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ROUNDS
130,0,06621,Joe Durant,35.90,1077,30
132,0,05466,Jack O'Keefe,35.92,934,26
132,0,06132,Sonny Skinner,35.92,898,25
134,0,01132,Mark Brooks,35.93,1042,29
134,0,20229,Stewart Cink,35.93,1078,30
136,0,01975,Tom Purtzer,35.95,791,22
136,0,02159,Curtis Strange,35.95,719,20
138,0,01219,John Cook,35.96,1007,28
138,0,02135,Mike Standly,35.96,1007,28
140,0,12387,Michael Christie,35.97,1151,32
141,0,01175,Jim Carter,36.00,1008,28
141,0,01307,Joel Edwards,36.00,1080,30
141,0,06575,Dudley Hart,36.00,972,27
144,0,01035,Tommy Armour III,36.03,1045,29
144,0,06036,Scott Dunlap,36.03,1117,31
146,0,01006,John Adams,36.04,973,27
146,0,12826,Paul Claxton,36.04,829,23
146,0,08931,Glen Day,36.04,1009,28
146,0,12663,Phil Tataurangi,36.04,901,25
150,0,02007,Larry Rinker,36.06,1154,32
151,0,08537,J.P. Hayes,36.07,1010,28
151,0,02115,Taylor Smith,36.07,974,27
151,0,02166,Chip Sullivan,36.07,974,27
151,0,02226,Tray Tyner,36.07,974,27
155,0,02267,D.A. Weibring,36.11,686,19
156,0,10962,Bradley Hughes,36.12,939,26
157,0,01139,Olin Browne,36.13,1156,32
158,0,01249,John Daly,36.18,615,17
159,0,10213,Dicky Pride,36.19,1122,31
159,0,02225,Howard Twitty,36.19,579,16
161,0,02239,Scott Verplank,36.20,724,20
162,0,01261,Jay Delsing,36.22,978,27
162,0,10875,Todd Demsey,36.22,978,27
162,0,01864,Larry Nelson,36.22,652,18
165,0,08339,Spike McRoy,36.27,943,26
166,0,08075,Jerry Kelly,36.28,1161,32
167,0,01378,David Frost,36.29,871,24
167,0,02100,Tim Simpson,36.29,871,24
169,0,01823,Larry Mize,36.30,726,20
170,0,10505,Shane Bertsch,36.31,1053,29
171,0,08553,Lee Porter,36.32,1126,31
172,0,01014,Fulton Allem,36.33,763,21
173,0,01326,Nick Faldo,36.36,509,14
174,0,10457,Frank Nobilo,36.37,691,19
175,0,07867,Woody Austin,36.38,1237,34
175,0,02292,Bob Wolcott,36.38,946,26
177,0,06090,Jim McGovern,36.39,1128,31
178,0,02131,Mike Springer,36.41,801,22
179,0,01717,Sandy Lyle,36.43,765,21
179,0,06515,Shaun Micheel,36.43,765,21
181,0,10207,Jimmy Johnston,36.45,1057,29
182,0,07087,Hugh Royer III,36.47,1167,32
183,0,07465,Hideki Kase,36.48,1058,29
184,0,06124,Patrick Burke,36.50,803,22
185,0,01928,Corey Pavin,36.57,768,21
186,0,08547,John Maginnes,36.71,1248,34
186,0,20158,Anthony Rodriguez,36.71,881,24
188,0,07547,Craig Kanada,36.82,810,22
189,0,01346,Ed Fiori,36.89,701,19
190,0,01288,Ed Dougherty,37.00,999,27
190,0,01444,Ken Green,37.00,703,19
192,0,10837,Kevin Burton,37.15,966,26
193,0,02095,Larry Silveira,37.35,859,23
194,0,06144,John Dowdall,37.38,897,24
195,0,01072,Chip Beck,37.39,1159,31
