RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# BIRDIES/EAGLES,# HOLES
79,0,07235,John Morse,19.56,331,1692
80,0,06577,John Wilson,19.48,284,1458
81,0,01771,Blaine McCallister,19.47,319,1638
82,0,01381,Fred Funk,19.44,378,1944
82,0,11032,Frank Lickliter II,19.44,294,1512
84,0,20098,Stuart Appleby,19.42,332,1710
85,0,12626,Joey Gullion,19.35,303,1566
86,0,01968,Nick Price,19.34,181,936
87,0,01139,Olin Browne,19.33,327,1692
88,0,01707,Steve Lowery,19.28,347,1800
88,0,01783,Mark McCumber,19.28,177,918
90,0,01604,Steve Jurgensen,19.22,301,1566
91,0,01143,Brad Bryant,19.21,288,1499
92,0,08547,John Maginnes,19.20,280,1458
92,0,02010,Loren Roberts,19.20,280,1458
92,0,07101,Dave Stockton Jr.,19.20,318,1656
95,0,06643,Paul Goydos,19.18,290,1512
96,0,01014,Fulton Allem,19.14,186,972
96,0,01072,Chip Beck,19.14,317,1656
96,0,06124,Patrick Burke,19.14,248,1296
96,0,01249,John Daly,19.14,248,1296
96,0,10215,Charlie Rymer,19.14,310,1620
101,0,02159,Curtis Strange,19.13,272,1422
102,0,01928,Corey Pavin,19.07,278,1458
103,0,02101,Joey Sindelar,19.03,298,1566
104,0,08993,Franklin Langham,19.02,315,1656
104,0,02167,Mike Sullivan,19.02,291,1530
106,0,10569,Mike Brisky,19.01,284,1494
107,0,01156,Curt Byrum,18.95,191,1008
108,0,01633,Tom Kite,18.92,235,1242
108,0,02279,Mark Wiebe,18.92,252,1332
110,0,01307,Joel Edwards,18.91,320,1692
111,0,06332,Neal Lancaster,18.90,347,1836
112,0,01068,Andy Bean,18.89,255,1350
113,0,02133,Craig Stadler,18.88,189,1001
114,0,02223,Bob Tway,18.82,271,1440
115,0,02131,Mike Springer,18.69,286,1530
116,0,01766,Billy Mayfair,18.64,312,1674
117,0,08375,Paul Stankowski,18.62,238,1278
118,0,02008,Lee Rinker,18.61,335,1800
119,0,01313,Steve Elkington,18.58,214,1152
120,0,02099,Scott Simpson,18.57,234,1260
121,0,01306,David Edwards,18.56,274,1476
121,0,02023,Clarence Rose,18.56,284,1530
121,0,02135,Mike Standly,18.56,269,1449
124,0,01235,Ben Crenshaw,18.55,197,1062
125,0,19883,Joe Daley,18.54,257,1386
126,0,01200,Keith Clearwater,18.52,260,1404
127,0,01185,Brandel Chamblee,18.49,233,1260
127,0,01475,Donnie Hammond,18.49,203,1098
127,0,06315,Pete Jordan,18.49,243,1314
130,0,01748,Doug Martin,18.42,305,1656
131,0,06064,Jeff Gallagher,18.39,278,1512
132,0,01414,Bob Gilder,18.37,281,1530
132,0,02245,Grant Waite,18.37,248,1350
134,0,20095,Carl Paulson,18.33,287,1566
135,0,01334,Keith Fergus,18.32,277,1512
136,0,02218,Ted Tryba,18.23,338,1854
137,0,10425,Jay Williamson,18.18,252,1386
138,0,01361,Dan Forsman,18.12,212,1170
138,0,06617,Brian Henninger,18.12,274,1512
140,0,01960,Don Pooley,18.08,205,1134
141,0,08075,Jerry Kelly,18.07,296,1638
142,0,01157,Tom Byrum,18.06,247,1368
143,0,06044,Scott Gump,18.04,315,1746
144,0,08385,Omar Uresti,18.03,305,1692
145,0,01701,Bob Lohr,18.02,292,1620
146,0,02303,Robert Wrenn,17.98,233,1296
147,0,01261,Jay Delsing,17.96,278,1548
148,0,06090,Jim McGovern,17.94,281,1566
149,0,20051,Joe Acosta Jr.,17.92,229,1278
150,0,02049,Gene Sauers,17.88,251,1404
151,0,06595,Kevin Sutherland,17.86,344,1926
152,0,01196,Brian Claar,17.79,333,1872
153,0,10203,Bryan Gorman,17.71,220,1242
154,0,06140,Sean Murphy,17.70,258,1458
155,0,01035,Tommy Armour III,17.65,170,963
156,0,01142,Bart Bryant,17.60,244,1386
157,0,06599,John Elliott,17.43,160,918
157,0,01607,Brian Kamm,17.43,273,1566
159,0,02115,Taylor Smith,17.40,238,1368
160,0,01603,Jeff Julian,17.39,216,1242
161,0,07267,Allen Doyle,17.36,275,1584
162,0,10649,Tom Scherrer,17.35,278,1602
163,0,02241,Bobby Wadkins,17.24,285,1653
164,0,01133,Billy Ray Brown,17.03,236,1386
165,0,01435,Wayne Grady,17.01,196,1152
166,0,10505,Shane Bertsch,16.97,223,1314
167,0,01996,Mike Reid,16.90,219,1296
168,0,01444,Ken Green,16.83,243,1444
169,0,01374,Robin Freeman,16.72,307,1836
170,0,10213,Dicky Pride,16.67,243,1458
171,0,01971,Dillard Pruitt,16.59,221,1332
172,0,02267,D.A. Weibring,16.56,158,954
173,0,02106,Chris Smith,16.39,236,1440
174,0,19913,Ron Whittaker,16.38,171,1044
175,0,01938,David Peoples,16.37,165,1008
176,0,01569,Peter Jacobsen,16.34,189,1157
177,0,02242,Lanny Wadkins,16.31,182,1116
178,0,02171,Mike Swartz,16.29,214,1314
179,0,01487,Jeff Hart,16.15,189,1170
180,0,06066,Gary Rusnak,16.10,226,1404
181,0,06657,Steve Rintoul,15.93,215,1350
182,0,01320,Bob Estes,15.80,182,1152
183,0,02226,Tray Tyner,15.69,144,918
184,0,20505,Lucas Parsons,15.48,156,1008
185,0,01060,Dave Barr,15.42,161,1044
186,0,12781,Scott Medlin,15.41,147,954
187,0,01725,John Mahaffey,15.13,177,1170
188,0,01557,John Inman,15.05,214,1422
189,0,02201,Jim Thorpe,14.14,140,990
190,0,01346,Ed Fiori,13.72,150,1093
