RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
143,0,29720,Andres Gonzales,71.427,6105,37.721,86
143,0,25562,Andres Romero,71.427,4725,- 10.824,66
145,0,31416,Derek Fathauer,71.431,5481,19.201,77
146,0,37273,Derek Ernst,71.453,5054,19.158,71
146,0,29535,Brice Garnett,71.453,5619,25.798,79
148,0,32640,Troy Merritt,71.458,6473,29.674,91
149,0,29289,S.Y. Noh,71.465,4625,20.233,65
150,0,34130,Sung Joon Park,71.469,5477,26.119,77
151,0,23623,Bo Van Pelt,71.497,5621,27.290,79
152,0,25191,Gonzalo Fernandez-Castaño,71.500,5478,27.505,77
153,0,20691,Greg Owen,71.512,4114,33.680,58
154,0,10860,Justin Leonard,71.517,4339,23.548,61
155,0,22046,Geoff Ogilvy,71.559,3445,- 10.159,48
156,0,34358,Jonathan Randolph,71.606,4972,40.415,70
157,0,24846,Ricky Barnes,71.647,5559,29.492,78
158,0,21753,Brian Davis,71.656,5847,28.773,82
159,0,20157,Retief Goosen,71.667,5510,8.363,77
160,0,29223,Sam Saunders,71.668,5759,46.147,81
161,0,28132,Tyrone Van Aswegen,71.684,3836,34.922,54
162,0,25240,D.A. Points,71.701,4998,21.038,70
163,0,25493,Nick Taylor,71.716,6460,66.148,91
164,0,20848,Ángel Cabrera,71.734,3795,6.913,53
165,0,39977,Max Homa,71.763,5283,27.456,74
166,0,24358,Robert Garrigus,71.774,4721,16.085,66
167,0,23548,Bill Lunde,71.796,3266,36.602,46
168,0,34563,Chesson Hadley,71.798,7212,39.580,101
169,0,28023,Byron Smith,71.801,3905,44.048,55
170,0,06522,Ernie Els,71.830,4095,- .668,57
171,0,25349,Tim Wilkinson,71.944,5079,29.041,71
172,0,20766,Padraig Harrington,71.950,4321,- 4.027,60
173,0,30692,Scott Stallings,71.961,4302,15.664,60
174,0,23541,Ben Crane,71.975,4140,34.578,58
175,0,23048,Eric Axley,71.977,3927,31.739,55
176,0,32334,Charlie Beljan,72.010,5165,19.750,72
177,0,30736,Oscar Fraustro,72.080,3860,32.310,54
178,0,10885,Robert Allenby,72.102,4248,6.002,59
179,0,29425,Andrew Svoboda,72.119,5603,22.270,78
180,0,34256,Andrew Putnam,72.278,4605,20.813,64
181,0,22293,Heath Slocum,72.362,3802,33.179,53
182,0,28307,Matt Every,72.419,5090,- 20.667,70
183,0,31193,Jim Renner,72.431,4754,26.473,66
184,0,33486,Roger Sloan,72.533,3734,37.702,52
