RANK,MOVEMENT,PLAYER_ID,PLAYER,PUTTS MADE
63,0,26851,Marc Leishman,1.4
63,0,24912,Will MacKenzie,1.4
63,0,22046,Geoff Ogilvy,1.4
63,0,28475,Jeff Overton,1.4
63,0,25562,Andres Romero,1.4
63,0,22293,Heath Slocum,1.4
63,0,34046,Jordan Spieth,1.4
63,0,23623,Bo Van Pelt,1.4
63,0,25349,Tim Wilkinson,1.4
84,0,32334,Charlie Beljan,1.3
84,0,32366,Kevin Chappell,1.3
84,0,24494,Erik Compton,1.3
84,0,21753,Brian Davis,1.3
84,0,28307,Matt Every,1.3
84,0,32102,Rickie Fowler,1.3
84,0,26758,David Hearn,1.3
84,0,12716,Charley Hoffman,1.3
84,0,33461,Morgan Hoffmann,1.3
84,0,29478,Kevin Kisner,1.3
84,0,01706,Davis Love III,1.3
84,0,32640,Troy Merritt,1.3
84,0,34360,Patrick Reed,1.3
84,0,26679,Kevin Stadler,1.3
84,0,29425,Andrew Svoboda,1.3
84,0,27095,Nick Watney,1.3
84,0,24663,Y.E. Yang,1.3
101,0,22371,Aaron Baddeley,1.2
101,0,23135,Tim Clark,1.2
101,0,23541,Ben Crane,1.2
101,0,25191,Gonzalo Fernandez-Castaño,1.2
101,0,24358,Robert Garrigus,1.2
101,0,27141,J.B. Holmes,1.2
101,0,34174,John Huh,1.2
101,0,22378,Trevor Immelman,1.2
101,0,30944,Jason Kokrak,1.2
101,0,10860,Justin Leonard,1.2
101,0,32839,Hideki Matsuyama,1.2
101,0,31202,William McGirt,1.2
101,0,26329,Louis Oosthuizen,1.2
101,0,25240,D.A. Points,1.2
101,0,23621,Rory Sabbatini,1.2
101,0,20160,Charlie Wi,1.2
117,0,07867,Woody Austin,1.1
117,0,27895,Jonas Blixt,1.1
117,0,25274,Steven Bowditch,1.1
117,0,34021,Bud Cauley,1.1
117,0,20104,Ken Duke,1.1
117,0,34099,Harris English,1.1
117,0,28500,Martin Flores,1.1
117,0,25900,Lucas Glover,1.1
117,0,34563,Chesson Hadley,1.1
117,0,32448,James Hahn,1.1
117,0,23353,J.J. Henry,1.1
117,0,31557,Jim Herman,1.1
117,0,35300,Andrew Loupe,1.1
117,0,23800,Bryce Molder,1.1
117,0,25345,Carl Pettersson,1.1
117,0,35732,Wes Roach,1.1
117,0,31560,Brian Stuard,1.1
117,0,32333,Kevin Tway,1.1
117,0,26951,Johnson Wagner,1.1
117,0,25804,Bubba Watson,1.1
137,0,24507,Jason Bohn,1.0
137,0,32200,Roberto Castro,1.0
137,0,25720,Chad Collins,1.0
137,0,30852,Ryo Ishikawa,1.0
137,0,33122,Russell Knox,1.0
137,0,27936,Martin Laird,1.0
137,0,27556,Ted Potter Jr.,1.0
