RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL ROUGH,POSSIBLE FWYS,RELATIVE TO PAR
84,0,45522,Christiaan Bezuidenhout,29.03%,290,999,+1.31
85,0,52666,Sami Valimaki,29.09%,226,777,+0.84
86,0,35461,Beau Hossler,29.12%,318,1092,-0.03
87,0,29478,Kevin Kisner,29.14%,190,652,+1.74
88,0,29725,Tony Finau,29.20%,287,983,-0.59
89,0,50188,S.H. Kim,29.33%,361,1231,+0.33
90,0,52514,Trace Crowe,29.34%,213,726,-0.05
90,0,24502,Adam Scott,29.34%,252,859,-0.16
92,0,35450,Patrick Cantlay,29.35%,226,770,+0.35
93,0,39324,J.J. Spaun,29.38%,295,1004,+0.27
94,0,23320,Ryan Palmer,29.39%,144,490,-0.07
95,0,40250,Taylor Pendrith,29.47%,287,974,E
96,0,51696,Rico Hoey,29.53%,272,921,+0.40
96,0,46717,Viktor Hovland,29.53%,215,728,-0.56
98,0,33486,Roger Sloan,29.63%,219,739,+0.32
99,0,51070,Vincent Norrman,29.67%,189,637,+1.53
100,0,47483,Will Zalatoris,29.70%,240,808,+0.63
101,0,29420,Billy Horschel,29.79%,275,923,+0.36
102,0,47420,Jake Knapp,29.81%,282,946,+0.60
103,0,32366,Kevin Chappell,29.84%,168,563,+0.12
104,0,40006,Erik van Rooyen,29.87%,290,971,+0.21
105,0,33448,Justin Thomas,29.96%,246,821,-0.08
106,0,39327,Ben Silverman,30.00%,294,980,-0.10
107,0,48867,Matti Schmid,30.05%,259,862,+0.58
108,0,52372,Cameron Champ,30.10%,202,671,+0.40
108,0,46442,Maverick McNealy,30.10%,329,1093,-0.40
110,0,40162,Justin Lower,30.32%,345,1138,E
111,0,49947,Taylor Moore,30.36%,368,1212,-0.49
112,0,27330,Josh Teater,30.40%,159,523,+1.07
113,0,51997,Andrew Novak,30.41%,319,1049,+0.53
114,0,47347,Adam Schenk,30.45%,342,1123,+0.58
115,0,37378,Min Woo Lee,30.48%,246,807,-0.04
116,0,29221,Webb Simpson,30.52%,206,675,+0.73
117,0,60067,Joe Highsmith,30.53%,243,796,+0.66
118,0,47591,Eric Cole,30.56%,404,1322,+0.59
119,0,35532,Tom Hoge,30.68%,386,1258,+0.44
120,0,55454,Carl Yuan,30.70%,225,733,+0.84
121,0,32839,Hideki Matsuyama,30.79%,274,890,+0.33
122,0,36699,Patrick Rodgers,30.84%,380,1232,-0.05
122,0,46340,Alex Smalley,30.84%,252,817,+0.44
124,0,54783,Dylan Wu,30.87%,296,959,+0.14
125,0,27936,Martin Laird,30.92%,248,802,+0.16
126,0,33653,Thomas Detry,31.05%,277,892,+0.22
126,0,35310,Lanto Griffin,31.05%,249,802,+0.24
126,0,52453,Nicolai Højgaard,31.05%,190,612,+1.00
129,0,59866,Nick Dunlap,31.10%,274,881,+0.73
130,0,54591,Ben Griffin,31.27%,389,1244,-0.28
131,0,60004,Jacob Bridgeman,31.35%,258,823,-0.19
131,0,47995,Davis Riley,31.35%,300,957,+0.07
133,0,39975,Michael Kim,31.39%,269,857,+0.74
134,0,27129,Luke List,31.40%,287,914,+1.01
135,0,31323,Gary Woodland,31.50%,310,984,+0.74
136,0,32367,Jorge Campillo,31.51%,179,568,+0.06
136,0,32333,Kevin Tway,31.51%,196,622,+0.56
138,0,34374,Erik Barnes,31.63%,186,588,+0.43
139,0,29936,Ryan Fox,31.67%,298,941,+0.40
140,0,50484,Hayden Springer,31.76%,243,765,-0.29
141,0,39977,Max Homa,31.86%,303,951,+0.26
142,0,39546,Keith Mitchell,31.90%,333,1044,E
143,0,51977,Max Greyserman,31.92%,279,874,-0.22
144,0,52215,Robert MacIntyre,32.10%,277,863,-0.61
145,0,55893,Sam Stevens,32.17%,351,1091,-0.51
146,0,34466,Peter Malnati,32.22%,300,931,+1.13
147,0,33408,Tyson Alexander,32.33%,269,832,+0.56
148,0,34563,Chesson Hadley,32.34%,272,841,+0.07
149,0,34255,Joseph Bramlett,32.38%,318,982,E
150,0,51766,Wyndham Clark,32.44%,278,857,+0.29
151,0,22371,Aaron Baddeley,32.46%,261,804,+0.46
152,0,28420,Ryan Brehm,32.53%,202,621,+0.64
153,0,32070,Rafael Campos,32.56%,196,602,+0.51
154,0,47988,Nick Hardy,32.61%,344,1055,+0.55
155,0,45242,Kevin Yu,32.64%,298,913,+0.13
156,0,48887,Matt Wallace,32.66%,258,790,E
157,0,47679,Victor Perez,32.69%,270,826,+1.11
158,0,54421,Garrick Higgo,32.71%,281,859,+0.68
159,0,33968,Thorbjørn Olesen,32.77%,176,537,-0.57
160,0,57975,Harry Hall,32.81%,313,954,-0.77
161,0,33948,Byeong Hun An,32.93%,302,917,-0.50
162,0,54576,Patrick Fishburn,32.94%,254,771,+0.12
163,0,50497,Adrien Dumont de Chassart,33.08%,261,789,+1.26
164,0,48084,Wesley Bryan,33.33%,162,486,-0.56
164,0,27770,Camilo Villegas,33.33%,206,618,+1.17
166,0,37212,Paul Barjon,33.39%,201,602,+0.40
167,0,35506,Mackenzie Hughes,33.45%,389,1163,-0.10
168,0,48119,Ben Taylor,33.83%,249,736,+0.80
169,0,56149,Wilson Furr,34.02%,215,632,+0.14
170,0,12716,Charley Hoffman,34.06%,283,831,+0.85
171,0,47663,Kevin Dougherty,34.12%,231,677,-0.09
172,0,35617,Martin Trainer,34.17%,191,559,-0.10
173,0,27064,Jhonattan Vegas,34.21%,285,833,+0.07
174,0,59836,Pierceson Coody,34.55%,294,851,+0.85
175,0,51894,Vince Whaley,34.74%,255,734,+0.16
176,0,60767,Blaine Hale Jr.,35.33%,183,518,+0.16
177,0,27139,David Skinns,35.49%,329,927,+0.55
178,0,47806,Raul Pereda,35.77%,176,492,+0.85
179,0,38991,Alejandro Tosti,36.71%,308,839,+0.75
180,0,46113,Ryan McCormick,36.90%,231,626,-0.09
181,0,59442,Parker Coody,36.91%,241,653,+0.50
182,0,48699,Callum Tarren,37.77%,298,789,+0.64
183,0,55789,Taylor Montgomery,38.10%,240,630,+0.25
184,0,59095,Chris Gotterup,38.26%,339,886,-0.65
