"year","tournament_id","tournament_name"
"2018","R2018518","Barbasol Championship"
"2018","R2018030","John Deere Classic"
"2018","R2018490","A Military Tribute at The Greenbrier"
"2018","R2018471","Quicken Loans National"
"2018","R2018034","Travelers Championship"
"2018","R2018026","U.S. Open"
"2018","R2018025","FedEx St. Jude Classic"
"2018","R2018023","the Memorial Tournament presented by Nationwide"
"2018","R2018021","Fort Worth Invitational"
"2018","R2018019","AT&T Byron Nelson"
"2018","R2018011","THE PLAYERS Championship"
"2018","R2018480","Wells Fargo Championship"
"2018","R2018041","Valero Texas Open"
"2018","R2018012","RBC Heritage"
"2018","R2018014","Masters Tournament"
"2018","R2018020","Houston Open"
"2018","R2018522","Corales Puntacana Resort & Club Championship"
"2018","R2018009","Arnold Palmer Invitational presented by Mastercard"
"2018","R2018475","Valspar Championship"
"2018","R2018473","World Golf Championships-Mexico Championship"
"2018","R2018010","The Honda Classic"
"2018","R2018007","Genesis Open"
"2018","R2018005","AT&T Pebble Beach Pro-Am"
"2018","R2018003","Waste Management Phoenix Open"
"2018","R2018004","Farmers Insurance Open"
"2018","R2018002","CareerBuilder Challenge"
"2018","R2018006","Sony Open in Hawaii"
"2018","R2018016","Sentry Tournament of Champions"
"2018","R2018493","The RSM Classic"
"2018","R2018457","OHL Classic at Mayakoba"
"2018","R2018047","Shriners Hospitals for Children Open"
"2018","R2018489","World Golf Championships-HSBC Champions"
"2018","R2018054","Sanderson Farms Championship"
"2018","R2018521","THE CJ CUP @ NINE BRIDGES"
"2018","R2018494","CIMB Classic"
"2018","R2018464","Safeway Open"
"2017","R2017060","TOUR Championship"
"2017","R2017028","BMW Championship"
"2017","R2017505","Dell Technologies Championship"
"2017","R2017027","THE NORTHERN TRUST"
"2017","R2017013","Wyndham Championship"
"2017","R2017033","PGA Championship"
"2017","R2017476","World Golf Championships-Bridgestone Invitational"
"2017","R2017032","RBC Canadian Open"
"2017","R2017518","Barbasol Championship"
"2017","R2017100","The Open Championship"
"2017","R2017030","John Deere Classic"
"2017","R2017490","The Greenbrier Classic"
"2017","R2017471","Quicken Loans National"
"2017","R2017034","Travelers Championship"
"2017","R2017026","U.S. Open"
"2017","R2017025","FedEx St. Jude Classic"
"2017","R2017023","the Memorial Tournament presented by Nationwide"
"2017","R2017021","DEAN & DELUCA Invitational"
"2017","R2017019","AT&T Byron Nelson"
"2017","R2017011","THE PLAYERS Championship"
"2017","R2017480","Wells Fargo Championship"
"2017","R2017041","Valero Texas Open"
"2017","R2017012","RBC Heritage"
"2017","R2017014","Masters Tournament"
"2017","R2017020","Shell Houston Open"
"2017","R2017483","Puerto Rico Open"
"2017","R2017009","Arnold Palmer Invitational presented by Mastercard"
"2017","R2017475","Valspar Championship"
"2017","R2017473","World Golf Championships-Mexico Championship"
"2017","R2017010","The Honda Classic"
"2017","R2017007","Genesis Open"
"2017","R2017005","AT&T Pebble Beach Pro-Am"
"2017","R2017003","Waste Management Phoenix Open"
"2017","R2017004","Farmers Insurance Open"
"2017","R2017002","CareerBuilder Challenge"
"2017","R2017006","Sony Open in Hawaii"
"2017","R2017016","SBS Tournament of Champions"
"2017","R2017493","The RSM Classic"
"2017","R2017457","OHL Classic at Mayakoba"
"2017","R2017047","Shriners Hospitals for Children Open"
"2017","R2017489","World Golf Championships-HSBC Champions"
"2017","R2017054","Sanderson Farms Championship"
"2017","R2017494","CIMB Classic"
"2017","R2017464","Safeway Open"
"2016","R2016060","TOUR Championship"
"2016","R2016028","BMW Championship"
"2016","R2016505","Deutsche Bank Championship"
"2016","R2016027","The Barclays"
"2016","R2016013","Wyndham Championship"
"2016","R2016030","John Deere Classic"
"2016","R2016034","Travelers Championship"
"2016","R2016033","PGA Championship"
"2016","R2016032","RBC Canadian Open"
"2016","R2016518","Barbasol Championship"
"2016","R2016100","The Open Championship"
"2016","R2016476","World Golf Championships-Bridgestone Invitational"
"2016","R2016471","Quicken Loans National"
"2016","R2016026","U.S. Open"
"2016","R2016025","FedEx St. Jude Classic"
"2016","R2016023","the Memorial Tournament presented by Nationwide"
"2016","R2016021","DEAN & DELUCA Invitational"
"2016","R2016019","AT&T Byron Nelson"
"2016","R2016011","THE PLAYERS Championship"
"2016","R2016480","Wells Fargo Championship"
"2016","R2016018","Zurich Classic of New Orleans"
"2016","R2016041","Valero Texas Open"
"2016","R2016012","RBC Heritage"
"2016","R2016014","Masters Tournament"
"2016","R2016020","Shell Houston Open"
"2016","R2016483","Puerto Rico Open at Coco Beach"
"2016","R2016009","Arnold Palmer Invitational presented by MasterCard"
"2016","R2016475","Valspar Championship"
"2016","R2016473","World Golf Championships-Cadillac Championship"
"2016","R2016010","The Honda Classic"
"2016","R2016007","Northern Trust Open"
"2016","R2016005","AT&T Pebble Beach Pro-Am"
"2016","R2016003","Waste Management Phoenix Open"
"2016","R2016004","Farmers Insurance Open"
"2016","R2016002","CareerBuilder Challenge in partnership with the Clinton Foundation"
"2016","R2016006","Sony Open in Hawaii"
"2016","R2016016","Hyundai Tournament of Champions"
"2016","R2016493","The RSM Classic"
"2016","R2016457","OHL Classic at Mayakoba"
"2016","R2016054","Sanderson Farms Championship"
"2016","R2016489","World Golf Championships-HSBC Champions"
"2016","R2016494","CIMB Classic"
"2016","R2016047","Shriners Hospitals for Children Open"
"2016","R2016464","Frys.com Open"
"2015","R2015060","TOUR Championship by Coca-Cola"
"2015","R2015028","BMW Championship"
"2015","R2015505","Deutsche Bank Championship"
"2015","R2015027","The Barclays"
"2015","R2015013","Wyndham Championship"
"2015","R2015033","PGA Championship"
"2015","R2015476","World Golf Championships-Bridgestone Invitational"
"2015","R2015471","Quicken Loans National"
"2015","R2015032","RBC Canadian Open"
"2015","R2015100","The Open Championship"
"2015","R2015518","Barbasol Championship"
"2015","R2015030","John Deere Classic"
"2015","R2015490","The Greenbrier Classic"
"2015","R2015034","Travelers Championship"
"2015","R2015026","U.S. Open"
"2015","R2015025","FedEx St. Jude Classic"
"2015","R2015023","the Memorial Tournament presented by Nationwide"
"2015","R2015019","AT&T Byron Nelson"
"2015","R2015021","Crowne Plaza Invitational at  Colonial"
"2015","R2015480","Wells Fargo Championship"
"2015","R2015011","THE PLAYERS Championship"
"2015","R2015018","Zurich Classic of New Orleans"
"2015","R2015012","RBC Heritage"
"2015","R2015014","Masters Tournament"
"2015","R2015020","Shell Houston Open"
"2015","R2015041","Valero Texas Open"
"2015","R2015009","Arnold Palmer Invitational presented by MasterCard"
"2015","R2015475","Valspar Championship"
"2015","R2015483","Puerto Rico Open"
"2015","R2015473","World Golf Championships-Cadillac Championship"
"2015","R2015010","The Honda Classic"
"2015","R2015007","Northern Trust Open"
"2015","R2015005","AT&T Pebble Beach National Pro-Am"
"2015","R2015004","Farmers Insurance Open"
"2015","R2015003","Waste Management Phoenix Open"
"2015","R2015002","Humana Challenge in partnership with the Clinton Foundation"
"2015","R2015006","Sony Open in Hawaii"
"2015","R2015016","Hyundai Tournament of Champions"
"2015","R2015457","OHL Classic at Mayakoba"
"2015","R2015054","Sanderson Farms Championship"
"2015","R2015489","World Golf Championships-HSBC Champions"
"2015","R2015494","CIMB Classic"
"2015","R2015493","The McGladrey Classic"
"2015","R2015047","Shriners Hospitals for Children Open"
"2015","R2015464","Frys.com Open"
"2014","R2014060","TOUR Championship by Coca-Cola"
"2014","R2014028","BMW Championship"
"2014","R2014505","Deutsche Bank Championship"
"2014","R2014027","The Barclays"
"2014","R2014013","Wyndham Championship"
"2014","R2014033","PGA Championship"
"2014","R2014476","World Golf Championships-Bridgestone Invitational"
"2014","R2014032","RBC Canadian Open"
"2014","R2014100","The Open Championship"
"2014","R2014030","John Deere Classic"
"2014","R2014490","The Greenbrier Classic"
"2014","R2014471","Quicken Loans National"
"2014","R2014034","Travelers Championship"
"2014","R2014026","U.S. Open"
"2014","R2014025","FedEx St. Jude Classic"
"2014","R2014023","the Memorial Tournament presented by Nationwide Insurance"
"2014","R2014021","Crowne Plaza Invitational at Colonial"
"2014","R2014019","HP Byron Nelson Championship"
"2014","R2014011","THE PLAYERS Championship"
"2014","R2014480","Wells Fargo Championship"
"2014","R2014018","Zurich Classic of New Orleans"
"2014","R2014012","RBC Heritage"
"2014","R2014014","Masters Tournament"
"2014","R2014020","Shell Houston Open"
"2014","R2014041","Valero Texas Open"
"2014","R2014009","Arnold Palmer Invitational presented by MasterCard"
"2014","R2014475","Valspar Championship"
"2014","R2014483","Puerto Rico Open presented by seepuertorico.com"
"2014","R2014473","World Golf Championships-Cadillac Championship"
"2014","R2014010","The Honda Classic"
"2014","R2014007","Northern Trust Open"
"2014","R2014005","AT&T Pebble Beach National Pro-Am"
