RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL EARLY ROUNDS
177,0,27974,Sung Kang,71.23,2778,39
178,0,39058,Lucas Herbert,71.31,1854,26
179,0,46435,Austin Cook,71.35,2854,40
180,0,46550,Brandon Hagy,71.37,3069,43
181,0,27649,Brandt Snedeker,71.41,2285,32
182,0,27770,Camilo Villegas,71.43,3000,42
182,0,48887,Matt Wallace,71.43,2000,28
184,0,49960,Sepp Straka,71.46,3430,48
185,0,35110,Brett Drewitt,71.48,2359,33
185,0,25686,Jason Dufner,71.48,1644,23
185,0,56278,Matthew Wolff,71.48,1644,23
188,0,28114,Dawie van der Walt,71.52,2217,31
189,0,48084,Wesley Bryan,71.67,1720,24
190,0,39436,Joshua Creel,71.72,1793,25
191,0,27095,Nick Watney,71.73,2654,37
192,0,47128,Richy Werenski,71.81,2298,32
193,0,27895,Jonas Blixt,71.85,1940,27
