RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES (OVERALL)
108,0,46340,Alex Smalley,2.93,49,1674
108,0,34046,Jordan Spieth,2.93,39,1332
112,0,46970,Jon Rahm,2.94,37,1260
112,0,26476,Chez Reavie,2.94,45,1530
114,0,28237,Rory McIlroy,2.96,32,1080
114,0,32139,Danny Willett,2.96,33,1116
116,0,33204,Shane Lowry,2.97,31,1044
116,0,47983,Chad Ramey,2.97,39,1314
118,0,35506,Mackenzie Hughes,2.98,44,1476
119,0,37455,Si Woo Kim,3.00,53,1764
119,0,31560,Brian Stuard,3.00,48,1602
121,0,40162,Justin Lower,3.01,39,1296
121,0,32839,Hideki Matsuyama,3.01,39,1296
121,0,40006,Erik van Rooyen,3.01,26,864
124,0,24924,Bill Haas,3.02,49,1620
124,0,36871,Matthew NeSmith,3.02,50,1656
126,0,20229,Stewart Cink,3.03,42,1386
126,0,37275,Sam Ryder,3.03,48,1584
126,0,32333,Kevin Tway,3.03,42,1386
129,0,49947,Taylor Moore,3.04,46,1512
129,0,33486,Roger Sloan,3.04,40,1314
131,0,32816,Satoshi Kodaira,3.05,28,918
132,0,39997,Corey Conners,3.07,48,1566
132,0,39436,Joshua Creel,3.07,26,846
132,0,34076,Joel Dahmen,3.07,47,1530
132,0,54421,Garrick Higgo,3.07,32,1044
136,0,35450,Patrick Cantlay,3.10,38,1224
136,0,29535,Brice Garnett,3.10,43,1386
136,0,46717,Viktor Hovland,3.10,39,1260
136,0,26300,Matt Jones,3.10,34,1098
140,0,55708,Hayden Buckley,3.11,51,1638
141,0,47529,Mito Pereira,3.12,50,1602
141,0,49960,Sepp Straka,3.12,55,1764
143,0,34098,Russell Henley,3.13,44,1404
143,0,35532,Tom Hoge,3.13,54,1728
145,0,25198,Francesco Molinari,3.14,30,954
146,0,23320,Ryan Palmer,3.15,38,1206
147,0,31557,Jim Herman,3.16,29,918
147,0,39971,Sungjae Im,3.16,50,1584
147,0,24138,Ian Poulter,3.16,25,792
150,0,48084,Wesley Bryan,3.17,28,882
150,0,29970,Dylan Frittelli,3.17,53,1674
150,0,34610,Matthias Schwab,3.17,40,1260
150,0,49964,Aaron Wise,3.17,49,1548
