RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,PUTTS MADE
69,0,27556,Ted Potter Jr.,19.10,89,17
70,0,21961,Charles Howell III,18.87,159,30
71,0,30926,Chris Kirk,18.85,122,23
72,0,25345,Carl Pettersson,18.71,155,29
73,0,25720,Chad Collins,18.60,86,16
74,0,32366,Kevin Chappell,18.54,151,28
75,0,27649,Brandt Snedeker,18.52,108,20
76,0,01810,Phil Mickelson,18.46,65,12
77,0,20848,Ángel Cabrera,18.42,114,21
77,0,23983,Luke Donald,18.42,76,14
79,0,27770,Camilo Villegas,18.25,137,25
80,0,32334,Charlie Beljan,18.18,110,20
81,0,26758,David Hearn,18.11,127,23
82,0,34098,Russell Henley,18.10,116,21
83,0,25686,Jason Dufner,18.03,61,11
84,0,21528,Henrik Stenson,18.00,50,9
85,0,30927,Brendon Todd,17.95,156,28
85,0,10423,Mike Weir,17.95,78,14
87,0,30692,Scott Stallings,17.92,106,19
88,0,34021,Bud Cauley,17.91,67,12
89,0,10860,Justin Leonard,17.81,73,13
90,0,30750,Tommy Gainey,17.72,79,14
91,0,33419,Cameron Tringale,17.71,175,31
92,0,25191,Gonzalo Fernandez-Castaño,17.65,102,18
92,0,24924,Bill Haas,17.65,119,21
94,0,23541,Ben Crane,17.60,125,22
95,0,25632,Jimmy Walker,17.59,108,19
96,0,24140,Sean O'Hair,17.48,103,18
97,0,32333,Kevin Tway,17.44,86,15
98,0,20229,Stewart Cink,17.39,92,16
99,0,29461,Jamie Lovemark,17.24,58,10
100,0,26329,Louis Oosthuizen,17.07,41,7
101,0,31560,Brian Stuard,16.98,106,18
102,0,10809,Jim Furyk,16.95,118,20
103,0,31202,William McGirt,16.92,130,22
104,0,29289,S.Y. Noh,16.82,107,18
105,0,21731,Freddie Jacobson,16.79,131,22
106,0,29222,Billy Hurley III,16.67,114,19
106,0,30925,Dustin Johnson,16.67,72,12
106,0,24361,Pat Perez,16.67,96,16
109,0,25274,Steven Bowditch,16.54,127,21
110,0,25349,Tim Wilkinson,16.50,103,17
111,0,27064,Jhonattan Vegas,16.48,91,15
111,0,26951,Johnson Wagner,16.48,91,15
113,0,27214,Kevin Streelman,16.47,85,14
114,0,23800,Bryce Molder,16.33,98,16
115,0,24494,Erik Compton,16.19,105,17
115,0,27436,Graham DeLaet,16.19,105,17
117,0,01724,Jeff Maggert,16.18,68,11
118,0,22378,Trevor Immelman,16.16,99,16
119,0,27895,Jonas Blixt,16.13,62,10
120,0,29479,Scott Brown,16.11,149,24
121,0,29420,Billy Horschel,15.83,139,22
122,0,02206,David Toms,15.73,89,14
123,0,34563,Chesson Hadley,15.69,102,16
124,0,34174,John Huh,15.53,103,16
125,0,26956,Bronson La'Cassie,15.52,58,9
126,0,35541,John Peterson,15.48,84,13
127,0,23353,J.J. Henry,15.33,137,21
128,0,28780,Nicholas Thompson,15.20,125,19
129,0,20157,Retief Goosen,15.13,119,18
130,0,28500,Martin Flores,15.00,100,15
130,0,24358,Robert Garrigus,15.00,120,18
132,0,27644,Brian Harman,14.97,167,25
133,0,30110,Kyle Stanley,14.96,127,19
134,0,37273,Derek Ernst,14.85,101,15
