RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# HIT,TOTAL ATTEMPTS
166,0,25493,Nick Taylor,79.14,960,1213
167,0,51766,Wyndham Clark,79.08,1062,1343
168,0,30692,Scott Stallings,79.07,1054,1333
169,0,47128,Richy Werenski,78.99,688,871
170,0,47504,Sam Burns,78.94,881,1116
171,0,35461,Beau Hossler,78.86,772,979
172,0,35506,Mackenzie Hughes,78.85,895,1135
173,0,33597,Harry Higgs,78.75,871,1106
174,0,48117,Kurt Kitayama,78.61,768,977
175,0,27895,Jonas Blixt,78.58,543,691
176,0,36689,Brooks Koepka,78.48,507,646
177,0,45157,Cam Davis,78.43,902,1150
178,0,34466,Peter Malnati,78.35,1118,1427
179,0,25818,Scott Piercy,78.27,832,1063
180,0,32333,Kevin Tway,77.96,835,1071
181,0,27139,David Skinns,77.81,712,915
182,0,36852,Jim Knous,77.79,550,707
183,0,10381,Curtis Thompson,77.68,689,887
184,0,35617,Martin Trainer,77.66,838,1079
185,0,51894,Vince Whaley,77.57,913,1177
186,0,29970,Dylan Frittelli,77.33,1003,1297
187,0,46550,Brandon Hagy,76.79,824,1073
188,0,12716,Charley Hoffman,76.58,729,952
189,0,32102,Rickie Fowler,76.47,754,986
190,0,54421,Garrick Higgo,76.16,623,818
191,0,48084,Wesley Bryan,75.89,510,672
192,0,56278,Matthew Wolff,74.92,490,654
193,0,39058,Lucas Herbert,74.02,567,766
