RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL HOLES
92,0,22122,Andrew McLardy,35.41,2656,75
92,0,06078,Esteban Toledo,35.41,4037,114
95,0,01418,Bill Glasson,35.42,2302,65
95,0,02279,Mark Wiebe,35.42,2196,62
97,0,08537,J.P. Hayes,35.43,2693,76
98,0,21806,Paul Gow,35.44,2658,75
99,0,20127,Chris Riley,35.45,3545,100
100,0,06036,Scott Dunlap,35.46,2801,79
100,0,01361,Dan Forsman,35.46,2766,78
100,0,01928,Corey Pavin,35.46,2482,70
103,0,01487,Jeff Hart,35.47,3015,85
104,0,01132,Mark Brooks,35.48,3122,88
104,0,01157,Tom Byrum,35.48,3016,85
104,0,12714,Chris Tidland,35.48,2838,80
107,0,20043,Edward Fryatt,35.49,3123,88
107,0,06373,José María Olazábal,35.49,1668,47
109,0,01685,J.L. Lewis,35.50,3763,106
110,0,06613,Tommy Tolles,35.52,3055,86
111,0,01388,Robert Gamez,35.53,2096,59
112,0,01014,Fulton Allem,35.54,1990,56
112,0,19817,Michael Muehr,35.54,3270,92
112,0,10912,Craig Perks,35.54,2701,76
115,0,01771,Blaine McCallister,35.55,2844,80
116,0,06643,Paul Goydos,35.56,2987,84
116,0,10425,Jay Williamson,35.56,3200,90
118,0,01941,Tom Pernice Jr.,35.57,3628,102
118,0,08375,Paul Stankowski,35.57,3130,88
120,0,01926,Steve Pate,35.58,3060,86
121,0,01599,Steve Jones,35.59,2527,71
121,0,06315,Pete Jordan,35.59,3666,103
121,0,06090,Jim McGovern,35.59,2242,63
124,0,23614,Rich Beem,35.60,3168,89
124,0,08123,Jeff Brehaut,35.60,2741,77
124,0,01175,Jim Carter,35.60,3596,101
124,0,01761,Len Mattiace,35.60,3382,95
128,0,01329,Brad Faxon,35.62,3099,87
128,0,06573,Brandt Jobe,35.62,3348,94
128,0,01887,Mark O'Meara,35.62,2315,65
128,0,02010,Loren Roberts,35.62,2992,84
128,0,23034,Brent Schwarzrock,35.62,2244,63
128,0,02245,Grant Waite,35.62,2707,76
134,0,12760,Danny Ellis,35.63,2708,76
134,0,20095,Carl Paulson,35.63,3314,93
136,0,01927,Dennis Paulson,35.64,2637,74
137,0,10962,Bradley Hughes,35.66,3352,94
137,0,06515,Shaun Micheel,35.66,3566,100
139,0,06809,Bob Burns,35.67,3175,89
139,0,01313,Steve Elkington,35.67,2176,61
139,0,01943,Chris Perry,35.67,2782,78
142,0,19881,Robert Damron,35.68,3247,91
142,0,06012,Greg Kraft,35.68,3639,102
144,0,07867,Woody Austin,35.69,3391,95
145,0,01724,Jeff Maggert,35.70,2999,84
146,0,06431,Jean Van de Velde,35.71,1607,45
147,0,01185,Brandel Chamblee,35.73,2751,77
147,0,08057,Brian Wilson,35.73,3073,86
149,0,23125,Brad Elder,35.74,3896,109
149,0,08553,Lee Porter,35.74,3217,90
151,0,12823,Carlos Franco,35.75,3110,87
151,0,01475,Donnie Hammond,35.75,1823,51
151,0,21007,Gabriel Hjertstedt,35.75,2717,76
151,0,20566,Kaname Yokoo,35.75,2896,81
