RANK,MOVEMENT,PLAYER_ID,PLAYER,FINISH POSITION,# OF WINS,# OF TOP-10S,FEDEXCUP STROKES
80,0,24361,Pat Perez,685,0,2,0
81,0,25804,Bubba Watson,685,0,5,0
82,0,34256,Andrew Putnam,669,0,4,0
83,0,52375,Doug Ghim,666,0,1,0
84,0,46550,Brandon Hagy,660,0,3,0
85,0,35449,Adam Long,636,0,2,0
86,0,34466,Peter Malnati,634,0,3,0
87,0,51766,Wyndham Clark,609,0,2,0
88,0,47347,Adam Schenk,609,0,2,0
89,0,35310,Lanto Griffin,607,0,2,0
90,0,24502,Adam Scott,604,0,2,0
91,0,49298,Kramer Hickok,595,0,2,0
92,0,31560,Brian Stuard,592,0,3,0
93,0,30163,Henrik Norlander,586,0,3,0
94,0,53165,Doc Redman,580,0,4,0
95,0,19846,Brian Gay,579,1,1,0
96,0,33486,Roger Sloan,565,0,2,0
97,0,27649,Brandt Snedeker,565,0,2,0
98,0,49766,Hank Lebioda,564,0,3,0
99,0,40042,Tyler McCumber,551,0,2,0
100,0,47993,Denny McCarthy,549,0,3,0
101,0,30927,Brendon Todd,544,0,3,0
102,0,27129,Luke List,543,0,5,0
103,0,33399,Adam Hadwin,540,0,4,0
104,0,26476,Chez Reavie,536,0,1,0
105,0,29518,Brendan Steele,536,0,3,0
106,0,49960,Sepp Straka,533,0,3,0
107,0,54421,Garrick Higgo,530,1,1,0
108,0,32448,James Hahn,519,0,5,0
109,0,24024,Zach Johnson,517,0,3,0
110,0,33122,Russell Knox,507,0,2,0
111,0,48887,Matt Wallace,502,0,2,0
112,0,37275,Sam Ryder,499,0,4,0
113,0,31323,Gary Woodland,494,0,3,0
114,0,28089,Jason Day,489,0,3,0
115,0,36871,Matthew NeSmith,485,0,2,0
116,0,25818,Scott Piercy,485,0,1,0
117,0,30110,Kyle Stanley,477,0,2,0
118,0,31420,Anirban Lahiri,475,0,3,0
119,0,29970,Dylan Frittelli,473,0,3,0
120,0,47128,Richy Werenski,467,0,2,0
121,0,29908,C.T. Pan,466,0,2,0
122,0,23108,Matt Kuchar,456,0,1,0
123,0,29535,Brice Garnett,452,0,3,0
124,0,30692,Scott Stallings,447,0,2,0
125,0,34563,Chesson Hadley,440,0,1,0
126,0,22405,Justin Rose,439,0,3,0
127,0,19803,Ryan Armour,434,0,4,0
128,0,36699,Patrick Rodgers,433,0,1,0
129,0,33490,Bo Hoag,428,0,0
130,0,27770,Camilo Villegas,412,0,2,0
131,0,28775,Nate Lashley,410,0,2,0
132,0,32150,Michael Thompson,403,0,1,0
133,0,23621,Rory Sabbatini,403,0,2,0
134,0,32102,Rickie Fowler,402,0,1,0
135,0,22056,Cameron Percy,400,0,2,0
136,0,46435,Austin Cook,383,0,1,0
137,0,30911,Tommy Fleetwood,382,0,2,0
138,0,39953,Chase Seiffert,380,0,1,0
139,0,21961,Charles Howell III,378,0,1,0
140,0,51894,Vince Whaley,373,0,1,0
141,0,25493,Nick Taylor,370,0,1,0
142,0,25198,Francesco Molinari,353,0,3,0
143,0,36801,Mark Hubbard,337,0,0
144,0,26596,Ryan Moore,332,0,1,0
145,0,32662,Michael Gligic,330,0,1,0
146,0,34255,Joseph Bramlett,328,0,1,0
147,0,23623,Bo Van Pelt,326,0,1,0
148,0,35461,Beau Hossler,316,0,1,0
149,0,23325,Vaughn Taylor,306,0,1,0
150,0,32816,Satoshi Kodaira,287,0,0
