RANK,MOVEMENT,PLAYER_ID,PLAYER,FINISH POSITION,# OF WINS,# OF TOP-10S
1,0,46717,Viktor Hovland,-27,3,9
2,0,48081,Xander Schauffele,-22,0,11
3,0,51766,Wyndham Clark,-16,2,8
4,0,28237,Rory McIlroy,-14,2,13
5,0,35450,Patrick Cantlay,-13,0,10
6,0,30911,Tommy Fleetwood,-11,0,9
6,0,50525,Collin Morikawa,-11,1,7
6,0,46046,Scottie Scheffler,-11,2,17
9,0,33141,Keegan Bradley,-10,2,6
9,0,47504,Sam Burns,-10,1,6
9,0,40098,Matt Fitzpatrick,-10,1,6
9,0,39977,Max Homa,-10,2,13
9,0,47347,Adam Schenk,-10,0,7
14,0,34098,Russell Henley,-9,1,5
14,0,49960,Sepp Straka,-9,1,5
16,0,32102,Rickie Fowler,-8,1,8
16,0,34363,Tyrrell Hatton,-8,0,7
18,0,25900,Lucas Glover,-7,2,5
18,0,46970,Jon Rahm,-7,4,10
20,0,29725,Tony Finau,-6,2,5
20,0,37455,Si Woo Kim,-6,1,5
20,0,55182,Tom Kim,-6,2,9
23,0,27644,Brian Harman,-4,1,7
24,0,39971,Sungjae Im,-3,0,9
25,0,25493,Nick Taylor,-2,1,6
26,0,39997,Corey Conners,-1,1,5
27,0,34046,Jordan Spieth,1,0,7
28,0,28089,Jason Day,3,1,8
29,0,31646,Emiliano Grillo,6,1,8
29,0,49947,Taylor Moore,6,1,4
66,0,23108,Matt Kuchar,714,0,6,3504
67,0,36801,Mark Hubbard,711,0,6,3507
68,0,46414,Aaron Rai,704,0,3,3514
69,0,51070,Vincent Norrman,670,1,3,3548
70,0,36871,Matt NeSmith,662,0,4,3556
71,0,33448,Justin Thomas,608,0,4,3610
72,0,24502,Adam Scott,597,0,5,3621
73,0,58168,Davis Thompson,596,0,2,3622
74,0,57362,Austin Eckroat,594,0,4,3624
75,0,48119,Ben Taylor,592,0,4,3626
76,0,54421,Garrick Higgo,586,0,1,3632
77,0,32791,K.H. Lee,567,0,4,3651
78,0,33204,Shane Lowry,563,0,1,3655
79,0,39975,Michael Kim,563,0,4,3655
80,0,34409,David Lingmerth,561,0,5,3657
81,0,50493,Justin Suh,548,0,4,3670
82,0,48887,Matt Wallace,548,1,2,3670
83,0,50188,S.H. Kim,546,0,2,3672
84,0,34076,Joel Dahmen,519,0,5,3699
85,0,32139,Danny Willett,511,0,1,3707
86,0,54783,Dylan Wu,509,0,2,3709
87,0,27214,Kevin Streelman,505,0,2,3713
88,0,57975,Harry Hall,499,0,3,3719
89,0,34255,Joseph Bramlett,489,0,3,3729
90,0,29420,Billy Horschel,485,0,3,3733
91,0,48699,Callum Tarren,474,0,2,3744
92,0,46441,Robby Shelton,467,0,3,3751
93,0,40058,Zac Blair,465,0,2,3753
94,0,31323,Gary Woodland,465,0,2,3753
95,0,26476,Chez Reavie,464,0,2,3754
96,0,22371,Aaron Baddeley,458,0,3,3760
97,0,28775,Nate Lashley,455,0,3,3763
98,0,36326,David Lipsky,450,0,2,3768
99,0,45242,Kevin Yu,445,0,3,3773
100,0,56762,Will Gordon,440,0,1,3778
101,0,27349,Alex Noren,437,0,4,3781
102,0,56630,Akshay Bhatia,435,1,5,3783
103,0,40162,Justin Lower,430,0,3,3788
104,0,33408,Tyson Alexander,425,0,2,3793
105,0,51997,Andrew Novak,424,0,2,3794
106,0,51890,Greyson Sigg,420,0,2,3798
107,0,51349,Nico Echavarria,417,1,1,3801
108,0,46442,Maverick McNealy,414,0,3,3804
109,0,45522,Christiaan Bezuidenhout,405,0,1,3813
110,0,45609,Tyler Duncan,403,0,3,3815
111,0,52513,Carson Young,397,0,2,3821
112,0,27936,Martin Laird,391,0,1,3827
113,0,33413,Ben Martin,387,0,3,3831
114,0,40250,Taylor Pendrith,379,0,4,3839
115,0,47983,Chad Ramey,362,0,1,3856
116,0,34466,Peter Malnati,354,0,2,3864
117,0,52375,Doug Ghim,345,0,0,3873
118,0,39067,MJ Daffue,330,0,0,3888
119,0,27129,Luke List,309,1,1,3909
120,0,29908,C.T. Pan,308,0,3,3910
121,0,34563,Chesson Hadley,304,0,3,3914
122,0,32757,Patton Kizzire,303,0,2,3915
123,0,37338,Zecheng Dou,299,0,1,3919
124,0,25632,Jimmy Walker,294,0,0,3924
125,0,50095,Austin Smotherman,293,0,1,3925
126,0,46601,Trey Mullinax,291,0,2,3927
127,0,49964,Aaron Wise,289,0,1,3929
128,0,30692,Scott Stallings,282,0,1,3936
129,0,47079,Harrison Endycott,282,0,1,3936
130,0,25818,Scott Piercy,280,0,0,3938
131,0,40006,Erik van Rooyen,275,1,4,3943
132,0,33597,Harry Higgs,274,0,1,3944
133,0,32640,Troy Merritt,273,0,3,3945
134,0,35901,Paul Haley II,259,0,1,3959
135,0,52955,Ludvig Åberg,254,1,4,3964
136,0,29221,Webb Simpson,252,0,2,3966
137,0,12716,Charley Hoffman,246,0,0,3972
138,0,47483,Will Zalatoris,244,0,1,3974
139,0,49298,Kramer Hickok,236,0,0,3982
140,0,47529,Mito Pereira,236,0,1,3982
141,0,30163,Henrik Norlander,229,0,1,3989
142,0,35449,Adam Long,222,0,0,3996
143,0,52372,Cameron Champ,219,0,3,3999
144,0,33122,Russell Knox,219,0,0,3999
145,0,47128,Richy Werenski,217,0,0,4001
146,0,39954,Cody Gribble,209,0,2,4009
147,0,32333,Kevin Tway,207,0,0,4011
148,0,48867,Matti Schmid,206,0,2,4012
149,0,34610,Matthias Schwab,204,0,2,4014
150,0,26596,Ryan Moore,201,0,3,4017
151,0,55454,Carl Yuan,199,0,2,4019
152,0,22056,Cameron Percy,199,0,0,4019
153,0,39058,Lucas Herbert,199,0,1,4019
154,0,24024,Zach Johnson,196,0,0,4022
155,0,23320,Ryan Palmer,193,0,3,4025
156,0,19803,Ryan Armour,191,0,0,4027
157,0,24140,Sean O'Hair,185,0,1,4033
158,0,29289,S.Y. Noh,184,0,0,4034
159,0,53165,Doc Redman,181,0,1,4037
160,0,29970,Dylan Frittelli,180,0,0,4038
161,0,31577,Tano Goya,175,0,0,4043
162,0,49453,Trevor Cone,174,0,1,4044
163,0,29535,Brice Garnett,173,0,1,4045
164,0,34213,Grayson Murray,172,0,2,4046
165,0,32448,James Hahn,164,0,1,4054
166,0,51414,Brent Grant,158,0,1,4060
167,0,20229,Stewart Cink,156,0,1,4062
168,0,27963,Chris Stroud,155,0,1,4063
169,0,28420,Ryan Brehm,155,0,0,4063
170,0,36724,Augusto Núñez,149,0,0,4069
171,0,34374,Erik Barnes,149,0,1,4069
172,0,25686,Jason Dufner,146,0,0,4072
173,0,34431,Robert Streb,145,0,0,4073
174,0,39335,Kevin Roy,143,0,1,4075
175,0,51950,Max McGreevy,142,0,1,4076
176,0,46435,Austin Cook,140,0,1,4078
177,0,32150,Michael Thompson,139,0,0,4079
178,0,35617,Martin Trainer,139,0,1,4079
179,0,32366,Kevin Chappell,138,0,0,4080
180,0,20766,Padraig Harrington,133,0,1,4085
181,0,29518,Brendan Steele,133,0,0,4085
182,0,23983,Luke Donald,127,0,0,4091
183,0,24925,Jonathan Byrd,125,0,0,4093
184,0,25198,Francesco Molinari,121,0,0,4097
185,0,32816,Satoshi Kodaira,120,0,0,4098
186,0,29926,Danny Lee,112,0,0,4106
187,0,27064,Jhonattan Vegas,112,0,0,4106
188,0,58967,Trevor Werbylo,111,0,0,4107
189,0,27554,Scott Harrington,107,0,0,4111
190,0,48084,Wesley Bryan,104,0,1,4114
191,0,35879,Kelly Kraft,103,0,0,4115
192,0,51491,Brandon Matthews,101,0,1,4117
193,0,27974,Sung Kang,98,0,0,4120
194,0,27095,Nick Watney,96,0,0,4122
195,0,31557,Jim Herman,95,0,0,4123
196,0,52411,Kyle Westmoreland,95,0,0,4123
197,0,27895,Jonas Blixt,91,0,0,4127
198,0,31560,Brian Stuard,90,0,0,4128
199,0,49766,Hank Lebioda,89,0,0,4129
200,0,31202,William McGirt,86,0,0,4132
201,0,35310,Lanto Griffin,85,0,0,4133
202,0,29478,Kevin Kisner,70,0,0,4148
203,0,24846,Ricky Barnes,67,0,1,4151
204,0,19846,Brian Gay,67,0,0,4151
205,0,24924,Bill Haas,65,0,0,4153
206,0,22046,Geoff Ogilvy,63,0,0,4155
207,0,32662,Michael Gligic,63,0,0,4155
208,0,48822,Sebastián Muñoz,59,0,0,4159
209,0,28679,Fabián Gómez,55,0,0,4163
210,0,23621,Rory Sabbatini,55,0,0,4163
211,0,33410,Andrew Landry,49,0,0,4169
212,0,30750,Tommy Gainey,46,0,0,4172
213,0,34174,John Huh,45,0,0,4173
214,0,27556,Ted Potter Jr.,37,0,0,4181
215,0,27649,Brandt Snedeker,35,0,0,4183
216,0,49303,Anders Albertson,34,0,0,4184
217,0,37278,Nicholas Lindheim,29,0,0,4189
218,0,20593,Greg Chalmers,28,0,0,4190
219,0,37273,Derek Ernst,27,0,0,4191
220,0,27797,Derek Lamely,26,0,0,4192
221,0,29479,Scott Brown,26,0,0,4192
222,0,51894,Vince Whaley,22,0,1,4196
223,0,54813,Philip Knowles,18,0,0,4200
224,0,27770,Camilo Villegas,14,1,2,4204
225,0,23541,Ben Crane,13,0,0,4205
226,0,28259,Sangmoon Bae,12,0,0,4206
227,0,30110,Kyle Stanley,11,0,0,4207
228,0,08793,Tiger Woods,11,0,0,4207
229,0,01226,Fred Couples,9,0,0,4209
230,0,25240,D.A. Points,9,0,0,4209
231,0,21407,Arjun Atwal,8,0,0,4210
232,0,27141,J.B. Holmes,7,0,0,4211
232,0,23788,D.J. Trahan,7,0,0,4211
234,0,10423,Mike Weir,7,0,0,4211
235,0,08075,Jerry Kelly,7,0,0,4211
236,0,23623,Bo Van Pelt,6,0,0,4212
237,0,24490,George McNeill,6,0,0,4212
238,0,06522,Ernie Els,6,0,0,4212
239,0,26679,Kevin Stadler,4,0,0,4214
240,0,26420,Richard Johnson,2,0,0,4216
