RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND- COURSE,HOLE
94,-1,34099,Harris English,97,NORTHERN TRUST,1,2 - Par 5 -
95,-1,35732,Wes Roach,97,3M Open,2,6 - Par 5 -
96,-1,32816,Satoshi Kodaira,96,Safeway Open,1,9 - Par 5 -
98,-1,46717,Viktor Hovland,92,NORTHERN TRUST,4,2 - Par 5 -
102,-1,32662,Michael Gligic,89,The RSM Classic,1,5 - Par 4 -
103,-1,52215,Robert MacIntyre,89,WGC-Mexico,4,6 - Par 5 -
105,-1,32839,Hideki Matsuyama,87,Arnold Palmer,4,8 - Par 4 -
106,-1,33399,Adam Hadwin,84,the Memorial,2,11 - Par 5
107,-1,34702,Edward Olson,82,Farmers,2,9 - Par 5 -
108,-1,29289,S.Y. Noh,82,Rocket Mortgage,3,1 - Par 4 -
114,-1,56762,Will Gordon,71,The RSM Classic,4,16 - Par 4
115,-1,28679,Fabián Gómez,71,Safeway Open,2,18 - Par 5
117,-1,24502,Adam Scott,68,Safeway Open,3,17 - Par 4
118,-1,46550,Brandon Hagy,67,Shriners,2,9 - Par 5 -
119,-1,37275,Sam Ryder,67,Phoenix Open,3,15 - Par 5
120,-1,35310,Lanto Griffin,67,BMW Champ,3,4 - Par 4 -
122,-1,47347,Adam Schenk,64,Pebble Beach,2,14 - Par 5
124,-1,22056,Cameron Percy,59,Farmers,1,6 - Par 5 -
126,-1,29974,Branden Grace,52,Charles Schwab,1,7 - Par 4 -
127,-1,23108,Matt Kuchar,50,Phoenix Open,3,15 - Par 5
128,-1,30925,Dustin Johnson,50,PGA Champ,4,16 - Par 4
130,-1,23320,Ryan Palmer,48,Sentry,4,12 - Par 4
131,-1,49964,Aaron Wise,48,RBC Heritage,2,9 - Par 4 -
133,-1,35450,Patrick Cantlay,48,BMW Champ,2,11 - Par 4
135,-1,27349,Alex Noren,46,PGA Champ,1,7 - Par 4 -
138,-1,30692,Scott Stallings,42,Shriners,2,13 - Par 5
139,-1,27556,Ted Potter Jr.,41,Phoenix Open,1,17 - Par 4
140,-1,27129,Luke List,41,Shriners,2,10 - Par 4
141,-1,47959,Bryson DeChambeau,41,Genesis,2,10 - Par 4
142,-1,28089,Jason Day,40,Pebble Beach,2,14 - Par 5
144,-1,48117,Kurt Kitayama,40,WGC-Mexico,4,2 - Par 4 -
146,-1,29484,Peter Uihlein,37,Shriners,1,8 - Par 3 -
147,-1,45157,Cam Davis,37,Travelers,1,2 - Par 4 -
150,-2,26596,Ryan Moore,36,Arnold Palmer,1,9 - Par 4 -
151,-2,22405,Justin Rose,36,Genesis,1,4 - Par 3 -
152,-2,35658,Kris Ventura,35,Farmers,1,12 - Par 4
153,-2,21209,Sergio Garcia,35,the Memorial,4,7 - Par 5 -
155,-2,23325,Vaughn Taylor,35,Phoenix Open,2,17 - Par 4
156,-2,26329,Louis Oosthuizen,34,PGA Champ,3,10 - Par 5
160,-2,23788,D.J. Trahan,33,Sony Open,1,5 - Par 4 -
