RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
166,0,19824,Craig Barlow,49' 7",2280.000,46,+19
167,0,12755,Vance Veazey,49' 9",2138.833,43,+7
168,0,20631,David McKenzie,49' 10",2044.833,41,+6
169,0,06573,Brandt Jobe,50' 0",2950.333,59,+20
169,0,27120,Troy Matteson,50' 0",3899.667,78,+20
171,0,06373,José María Olazábal,50' 1",1603.167,32,+5
171,0,23497,Tag Ridings,50' 1",3607.333,72,+25
173,0,21753,Brian Davis,50' 2",1805.833,36,+8
174,0,10860,Justin Leonard,50' 3",1809.667,36,+11
175,0,07867,Woody Austin,50' 5",3228.083,64,+15
175,0,01599,Steve Jones,50' 5",2471.250,49,+10
177,0,22913,John Rollins,50' 6",3029.083,60,+16
178,0,26596,Ryan Moore,50' 7",2377.000,47,+15
178,0,24140,Sean O'Hair,50' 7",3186.667,63,+15
180,0,07457,Steve Flesch,50' 10",3505.583,69,+18
180,0,01388,Robert Gamez,50' 10",1983.167,39,+19
180,0,20766,Padraig Harrington,50' 10",1017.333,20,+4
180,0,23616,Ryan Hietala,50' 10",2898.167,57,+21
180,0,01810,Phil Mickelson,50' 10",1525.500,30,+9
185,0,10565,Ian Leggatt,50' 11",2699.417,53,+20
186,0,24781,Hunter Mahan,51' 0",3261.583,64,+21
187,0,25240,D.A. Points,51' 1",2912.250,57,+22
188,0,25936,Alex Aragon,51' 8",2015.333,39,+10
189,0,24980,Scott Gutschewski,52' 4",1307.333,25,+13
190,0,12660,Jesper Parnevik,52' 5",2621.000,50,+8
191,0,01219,John Cook,52' 7",1787.417,34,+10
192,0,09011,David Duval,53' 10",2154.833,40,+21
192,0,01724,Jeff Maggert,53' 10",2208.667,41,+12
194,0,01823,Larry Mize,54' 5",1033.833,19,+7
195,0,26420,Richard Johnson,55' 3",3202.083,58,+20
196,0,25935,John Engler Jr.,56' 11",3015.667,53,+22
