RANK,MOVEMENT,PLAYER_ID,PLAYER,STREAK,CURRENT STREAK,ROUND,HOLE,YEAR/TOURN#
33,0,47983,Chad Ramey,9,0,2,1,2024350
33,0,26476,Chez Reavie,9,2,4,17,2024410
33,0,47995,Davis Riley,9,9,2,9,2024460
33,0,47347,Adam Schenk,9,3,2,6,2024090
33,0,24502,Adam Scott,9,1,3,7,2024220
33,0,55893,Sam Stevens,9,1,3,1,2024410
33,0,40115,Adam Svensson,9,2,3,4,2024410
33,0,57364,Michael Thorbjornsen,9,0,4,15,2024410
50,0,22371,Aaron Baddeley,8,2,1,13,2024200
50,0,37212,Paul Barjon,8,0,1,15,2024430
50,0,56630,Akshay Bhatia,8,0,1,3,2024380
50,0,47504,Sam Burns,8,0,2,17,2024270
50,0,35450,Patrick Cantlay,8,4,4,7,2024180
50,0,47591,Eric Cole,8,1,2,17,2024340
50,0,59836,Pierceson Coody,8,0,3,1,2024150
50,0,39067,MJ Daffue,8,1,3,13,2024350
50,0,51349,Nico Echavarria,8,1,4,5,2024080
50,0,57362,Austin Eckroat,8,1,1,1,2024230
50,0,30911,Tommy Fleetwood,8,0,3,11,2024230
50,0,57975,Harry Hall,8,4,3,4,2024020
50,0,54628,Lee Hodges,8,2,1,17,2024180
50,0,35532,Tom Hoge,8,5,3,9,2024040
50,0,27141,J.B. Holmes,8,2,1,3,2024410
50,0,35461,Beau Hossler,8,1,1,9,2024450
50,0,34587,Chan Kim,8,0,1,2,2024090
50,0,39975,Michael Kim,8,0,2,17,2024480
50,0,37455,Si Woo Kim,8,0,3,18,2024390
50,0,48117,Kurt Kitayama,8,2,4,17,2024180
50,0,23108,Matt Kuchar,8,0,2,6,2024260
50,0,28237,Rory McIlroy,8,2,4,13,2024380
50,0,46442,Maverick McNealy,8,2,1,1,2024090
50,0,59143,Mac Meissner,8,0,1,1,2024100
50,0,49947,Taylor Moore,8,1,4,13,2024180
50,0,30163,Henrik Norlander,8,0,4,6,2024080
50,0,49771,J.T. Poston,8,0,4,17,2024240
50,0,48081,Xander Schauffele,8,1,1,14,2024230
50,0,48867,Matti Schmid,8,4,1,5,2024430
50,0,51890,Greyson Sigg,8,0,4,18,2024440
50,0,29221,Webb Simpson,8,1,1,14,2024180
50,0,49960,Sepp Straka,8,0,2,8,2024280
50,0,27214,Kevin Streelman,8,2,2,7,2024410
50,0,48119,Ben Taylor,8,0,1,3,2024410
50,0,35617,Martin Trainer,8,3,4,17,2024020
85,0,33948,Byeong Hun An,7,3,1,3,2024230
85,0,40026,Daniel Berger,7,1,1,5,2024310
85,0,34310,Alexander Björk,7,2,1,10,2024140
85,0,34021,Bud Cauley,7,6,2,2,2024300
85,0,20229,Stewart Cink,7,3,2,15,2024250
85,0,39997,Corey Conners,7,2,3,3,2024090
85,0,29936,Ryan Fox,7,2,3,8,2024340
85,0,56149,Wilson Furr,7,0,2,16,2024080
85,0,52375,Doug Ghim,7,6,3,13,2024170
85,0,59095,Chris Gotterup,7,0,1,10,2024280
85,0,35901,Paul Haley II,7,0,1,2,2024100
85,0,54421,Garrick Higgo,7,0,2,5,2024430
85,0,39971,Sungjae Im,7,1,4,12,2024390
85,0,55955,Matthew Jordan,7,0,1,6,2024320
85,0,52215,Robert MacIntyre,7,0,4,3,2024380
85,0,39546,Keith Mitchell,7,1,1,18,2024140
85,0,29289,S.Y. Noh,7,1,2,15,2024200
85,0,51997,Andrew Novak,7,1,1,1,2024460
85,0,23320,Ryan Palmer,7,1,1,13,2024200
85,0,25818,Scott Piercy,7,0,4,8,2024200
85,0,46046,Scottie Scheffler,7,0,1,16,2024380
85,0,31569,Jason Scrivener,7,0,1,9,2024270
85,0,33486,Roger Sloan,7,0,2,11,2024470
85,0,39324,J.J. Spaun,7,0,4,6,2024350
85,0,50493,Justin Suh,7,0,3,12,2024410
85,0,32333,Kevin Tway,7,1,4,14,2024370
85,0,27770,Camilo Villegas,7,2,1,5,2024230
85,0,48887,Matt Wallace,7,0,1,15,2024120
113,0,52955,Ludvig Åberg,6,1,1,17,2024160
113,0,49303,Anders Albertson,6,2,2,15,2024210
113,0,33141,Keegan Bradley,6,6,3,4,2024400
113,0,55708,Hayden Buckley,6,1,1,10,2024440
113,0,34076,Joel Dahmen,6,1,3,12,2024060
113,0,45157,Cam Davis,6,0,1,2,2024280
113,0,33653,Thomas Detry,6,1,2,7,2024180
113,0,23983,Luke Donald,6,0,1,16,2024060
113,0,50497,Adrien Dumont de Chassart,6,4,2,11,2024290
113,0,59866,Nick Dunlap,6,1,3,4,2024260
113,0,54576,Patrick Fishburn,6,6,3,9,2024460
113,0,56762,Will Gordon,6,0,2,3,2024440
113,0,51977,Max Greyserman,6,0,2,13,2024350
113,0,24924,Bill Haas,6,1,2,3,2024350
113,0,34563,Chesson Hadley,6,1,1,9,2024270
113,0,32448,James Hahn,6,1,1,14,2024140
113,0,47988,Nick Hardy,6,1,1,7,2024140
113,0,27644,Brian Harman,6,1,4,15,2024240
113,0,51696,Rico Hoey,6,1,4,3,2024460
113,0,36801,Mark Hubbard,6,2,3,16,2024060
113,0,35506,Mackenzie Hughes,6,2,2,12,2024350
113,0,47917,Takumi Kanaya,6,6,2,4,2024270
113,0,55182,Tom Kim,6,1,1,18,2024090
113,0,30926,Chris Kirk,6,1,2,12,2024260
113,0,36884,Ben Kohles,6,1,3,5,2024430
113,0,32791,K.H. Lee,6,0,2,18,2024060
113,0,34466,Peter Malnati,6,4,2,12,2024230
113,0,59141,Matt McCarty,6,0,4,6,2024440
113,0,50823,Tom McKibbin,6,0,3,16,2024270
113,0,25198,Francesco Molinari,6,1,1,1,2024480
113,0,26596,Ryan Moore,6,0,2,15,2024150
113,0,33968,Thorbjørn Olesen,6,1,2,7,2024340
113,0,48153,Matthieu Pavon,6,1,3,17,2024180
113,0,47806,Raul Pereda,6,0,2,15,2024430
113,0,28252,Seamus Power,6,1,1,14,2024460
113,0,46414,Aaron Rai,6,0,1,6,2024170
113,0,46441,Robby Shelton,6,1,3,2,2024300
113,0,63807,Neal Shipley,6,5,2,7,2024270
113,0,27139,David Skinns,6,3,1,16,2024090
113,0,46340,Alex Smalley,6,3,3,11,2024210
113,0,27649,Brandt Snedeker,6,0,3,13,2024410
113,0,34046,Jordan Spieth,6,0,4,10,2024220
113,0,48699,Callum Tarren,6,0,2,11,2024300
113,0,27330,Josh Teater,6,0,4,14,2024150
113,0,51634,Sahith Theegala,6,1,1,8,2024260
113,0,33448,Justin Thomas,6,5,4,13,2024380
113,0,58168,Davis Thompson,6,2,4,5,2024370
113,0,38991,Alejandro Tosti,6,1,2,17,2024470
113,0,52666,Sami Valimaki,6,0,2,15,2024430
113,0,40006,Erik van Rooyen,6,0,1,3,2024450
113,0,27095,Nick Watney,6,0,2,12,2024100
113,0,31323,Gary Woodland,6,6,2,6,2024460
113,0,52374,Brandon Wu,6,0,2,4,2024410
113,0,54328,Norman Xiong,6,0,2,6,2024090
113,0,52513,Carson Young,6,1,2,7,2024450
113,0,47483,Will Zalatoris,6,1,2,5,2024340
169,0,33408,Tyson Alexander,5,5,1,4,2024490
169,0,47125,Matt Atkins,5,5,1,18,2024210
169,0,34374,Erik Barnes,5,0,1,15,2024080
169,0,40058,Zac Blair,5,0,1,4,2024040
169,0,34255,Joseph Bramlett,5,2,1,8,2024490
169,0,33974,Dean Burmester,5,1,4,6,2024230
