RANK,MOVEMENT,PLAYER_ID,PLAYER,% MADE,ATTEMPTS,PUTTS MADE
180,0,06004,Stephen Ames,81.95,133,109
181,0,27933,John Merrick,81.22,245,199
182,0,12510,Chad Campbell,81.20,250,203
183,0,24358,Robert Garrigus,81.08,259,210
184,0,24846,Ricky Barnes,80.30,264,212
185,0,20766,Padraig Harrington,80.00,160,128
185,0,22348,Nick O'Hern,80.00,220,176
187,0,20691,Greg Owen,79.92,249,199
188,0,26300,Matt Jones,79.38,160,127
189,0,26289,Boo Weekley,76.81,207,159
190,0,22582,Kyle Thompson,76.30,135,103
191,0,06036,Scott Dunlap,74.83,143,107
