RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP-10S
1,0,24924,Bill Haas,2760,1,7
53,0,23320,Ryan Palmer,1159,0,3,4347
54,0,27064,Jhonattan Vegas,1149,1,2,4357
55,0,10885,Robert Allenby,1146,0,3,4360
56,0,25240,D.A. Points,1140,1,3,4366
57,0,30692,Scott Stallings,1125,1,2,4381
58,0,24140,Sean O'Hair,1102,1,1,4404
59,0,12510,Chad Campbell,1076,0,1,4430
60,0,23638,Brendon de Jonge,1024,0,3,4482
61,0,27963,Chris Stroud,1013,0,2,4493
62,0,30750,Tommy Gainey,1009,0,6,4497
63,0,33419,Cameron Tringale,1002,0,4,4504
64,0,29910,Blake Adams,985,0,4,4521
65,0,26851,Marc Leishman,947,0,2,4559
66,0,25562,Andres Romero,939,0,4,4567
67,0,06522,Ernie Els,924,0,4582
68,0,24490,George McNeill,889,0,4,4617
69,0,25818,Scott Piercy,885,1,2,4621
70,0,26951,Johnson Wagner,842,1,1,4664
71,0,25396,Kevin Na,778,0,5,4728
72,0,27214,Kevin Streelman,770,0,3,4736
73,0,25572,Graeme McDowell,765,0,3,4741
74,0,24358,Robert Garrigus,759,0,3,4747
75,0,24361,Pat Perez,751,0,4,4755
76,0,23353,J.J. Henry,739,0,1,4767
77,0,21805,Harrison Frazar,713,1,1,4793
78,0,20160,Charlie Wi,711,0,1,4795
79,0,29718,Anthony Kim,702,0,2,4804
80,0,28087,Kris Blanks,694,0,2,4812
81,0,20593,Greg Chalmers,692,0,2,4814
82,0,19846,Brian Gay,685,0,3,4821
83,0,31202,William McGirt,674,0,4832
84,0,32366,Kevin Chappell,673,0,2,4833
85,0,23548,Bill Lunde,668,0,4838
86,0,27141,J.B. Holmes,640,0,4,4866
87,0,24138,Ian Poulter,639,0,1,4867
88,0,22378,Trevor Immelman,638,0,4868
89,0,20766,Padraig Harrington,625,0,3,4881
90,0,28475,Jeff Overton,619,0,3,4887
91,0,21350,Ryuji Imada,617,0,2,4889
92,0,22913,John Rollins,616,0,2,4890
93,0,02239,Scott Verplank,588,0,3,4918
94,0,11123,Chris Couch,573,0,3,4933
95,0,01706,Davis Love III,565,0,2,4941
96,0,23541,Ben Crane,561,0,2,4945
97,0,24846,Ricky Barnes,556,0,2,4950
98,0,20229,Stewart Cink,556,0,1,4950
99,0,27120,Troy Matteson,547,0,2,4959
100,0,27933,John Merrick,535,0,1,4971
101,0,23800,Bryce Molder,523,0,4,4983
102,0,27330,Josh Teater,513,0,1,4993
103,0,24604,Hunter Haas,499,0,3,5007
104,0,06251,Chris DiMarco,499,0,5007
105,0,06643,Paul Goydos,474,0,3,5032
106,0,23788,D.J. Trahan,474,0,1,5032
107,0,22348,Nick O'Hern,463,0,2,5043
108,0,20070,Matt Bettencourt,461,0,2,5045
109,0,21407,Arjun Atwal,459,0,1,5047
110,0,12782,Tim Herron,456,0,2,5050
111,0,01116,Michael Bradley,454,1,1,5052
112,0,20157,Retief Goosen,444,0,1,5062
113,0,26679,Kevin Stadler,444,0,1,5062
114,0,08725,Tom Gillis,431,0,2,5075
115,0,32150,Michael Thompson,413,0,1,5093
116,0,23325,Vaughn Taylor,397,0,5109
117,0,22293,Heath Slocum,388,0,5118
118,0,20098,Stuart Appleby,387,0,1,5119
119,0,20572,Rod Pampling,385,0,2,5121
120,0,21949,Joe Ogilvie,379,0,1,5127
121,0,26758,David Hearn,377,0,1,5129
122,0,01766,Billy Mayfair,353,0,1,5153
123,0,23409,James Driscoll,353,0,2,5153
124,0,07457,Steve Flesch,352,0,1,5154
125,0,25274,Steven Bowditch,347,0,1,5159
126,0,10860,Justin Leonard,328,0,5178
127,0,26300,Matt Jones,328,0,1,5178
128,0,01948,Tim Petrovic,326,0,5180
129,0,22961,David Mathis,326,0,1,5180
130,0,12652,Cameron Beckman,324,0,5182
131,0,12602,Dean Wilson,318,0,5188
132,0,08793,Tiger Woods,318,0,2,5188
133,0,22621,Ben Curtis,304,0,5202
134,0,20472,Alex Cejka,303,0,5203
135,0,26287,Roland Thatcher,302,0,2,5204
136,0,28486,Michael Putnam,300,0,5206
137,0,23135,Tim Clark,299,0,1,5207
138,0,06004,Stephen Ames,298,0,2,5208
139,0,10733,Kent Jones,297,0,5209
140,0,20127,Chris Riley,292,0,1,5214
141,0,31401,Zack Miller,290,0,1,5216
142,0,23497,Tag Ridings,286,0,5220
143,0,24507,Jason Bohn,284,0,5222
144,0,25364,Paul Casey,280,0,5226
145,0,27939,Matt McQuillan,280,0,2,5226
146,0,28620,Aron Price,272,0,5234
147,0,20436,Garrett Willis,270,0,1,5236
148,0,26329,Louis Oosthuizen,267,0,1,5239
149,0,06621,Joe Durant,260,0,5246
150,0,01320,Bob Estes,258,0,1,5248
151,0,20498,Briny Baird,258,0,2,5248
152,0,32698,Bobby Gates,256,0,3,5250
153,0,33413,Ben Martin,242,0,1,5264
154,0,20848,Ángel Cabrera,237,0,2,5269
155,0,23673,Michael Connell,233,0,5273
156,0,30711,Colt Knost,227,0,5279
157,0,26289,Boo Weekley,223,0,5283
158,0,10585,Scott McCarron,221,0,5285
159,0,07867,Woody Austin,221,0,1,5285
160,0,27974,Sung Kang,219,0,1,5287
161,0,26881,Jarrod Lyle,217,0,1,5289
162,0,25834,Daniel Summerhays,210,0,5296
163,0,01941,Tom Pernice Jr.,210,0,1,5296
164,0,30946,Alex Prugh,209,0,5297
165,0,23718,Nathan Green,209,0,5297
166,0,23322,Brett Wetterich,208,0,5298
167,0,28679,Fabián Gómez,208,0,1,5298
168,0,10505,Shane Bertsch,207,0,1,5299
169,0,08375,Paul Stankowski,207,0,5299
170,0,29420,Billy Horschel,197,0,1,5309
171,0,09011,David Duval,191,0,1,5315
172,0,06595,Kevin Sutherland,190,0,5316
173,0,01226,Fred Couples,180,0,1,5326
174,0,35087,Bio Kim,179,0,5327
175,0,26668,Marc Turnesa,175,0,1,5331
176,0,01577,Lee Janzen,168,0,5338
177,0,22056,Cameron Percy,161,0,1,5345
178,0,31557,Jim Herman,160,0,5346
179,0,06515,Shaun Micheel,160,0,5346
180,0,21528,Henrik Stenson,159,0,5347
181,0,31193,Jim Renner,149,0,2,5357
182,0,08537,J.P. Hayes,147,0,5359
183,0,25444,Justin Hicks,145,0,5361
184,0,26420,Richard Johnson,144,0,5362
185,0,24290,D.J. Brigman,140,0,5366
186,0,27060,John Mallinger,137,0,5369
187,0,32640,Troy Merritt,131,0,5375
188,0,25457,Alexandre Rocha,127,0,5379
189,0,24980,Scott Gutschewski,125,0,5381
190,0,27797,Derek Lamely,123,0,5383
191,0,28118,Peter Tomasulo,121,0,5385
192,0,25720,Chad Collins,121,0,5385
193,0,32876,Martin Piller,120,0,5386
194,0,01473,Todd Hamilton,117,0,5389
195,0,29478,Kevin Kisner,116,0,5390
196,0,26695,Michael Letzig,114,0,1,5392
197,0,33911,Nate Smith,110,0,5396
198,0,02214,Kirk Triplett,110,0,5396
199,0,34255,Joseph Bramlett,110,0,5396
200,0,01249,John Daly,110,0,1,5396
201,0,01945,Kenny Perry,110,0,5396
202,0,01677,Tom Lehman,108,0,5398
203,0,01313,Steve Elkington,107,0,1,5399
204,0,24912,Will MacKenzie,105,0,5401
205,0,11032,Frank Lickliter II,102,0,5404
206,0,06034,Marco Dawson,100,0,5406
207,0,28307,Matt Every,98,0,5408
208,0,01219,John Cook,95,0,1,5411
209,0,29720,Andres Gonzales,93,0,5413
210,0,25190,Jeff Quinney,89,0,5417
211,0,01724,Jeff Maggert,89,0,5417
212,0,23349,Charles Warren,89,0,5417
213,0,12680,Shigeki Maruyama,88,0,1,5418
214,0,01797,Rocco Mediate,85,0,5421
215,0,34072,Will Strickler,84,0,5422
216,0,23614,Rich Beem,78,0,5428
217,0,10213,Dicky Pride,64,0,5442
218,0,20634,Peter Lonard,55,0,1,5451
219,0,27124,Chris Baryla,49,0,5457
220,0,02256,Tom Watson,48,0,5458
221,0,07749,Brett Quigley,47,0,5459
222,0,12714,Chris Tidland,44,0,1,5462
223,0,22892,Jason Gore,42,0,5464
224,0,12660,Jesper Parnevik,41,0,5465
225,0,19824,Craig Barlow,39,0,5467
226,0,01928,Corey Pavin,37,0,5469
227,0,01161,Mark Calcavecchia,34,0,5472
228,0,01388,Robert Gamez,32,0,5474
229,0,24503,Jeff Klauk,32,0,5474
230,0,29461,Jamie Lovemark,31,0,5475
231,0,01978,Fran Quinn,30,0,5476
232,0,20433,Mark Hensby,29,0,5477
233,0,26882,Michael Sim,27,0,5479
234,0,27990,Scott Gordon,26,0,5480
235,0,19881,Robert Damron,25,0,5481
235,0,10425,Jay Williamson,25,0,5481
237,0,02246,Duffy Waldorf,25,0,5481
238,0,27302,Garth Mulroy,25,0,5481
239,0,07363,Craig Bowden,21,0,5485
239,0,20850,Daniel Chopra,21,0,5485
241,0,01707,Steve Lowery,20,0,5486
242,0,08385,Omar Uresti,19,0,5487
243,0,20580,Andre Stolz,19,0,5487
244,0,06197,Michael Allen,17,0,5489
245,0,01926,Steve Pate,16,0,5490
246,0,20095,Carl Paulson,15,0,5491
247,0,01968,Nick Price,15,0,5491
248,0,21959,Ted Purdy,14,0,5492
249,0,20094,Jonathan Kaye,12,0,5494
250,0,01157,Tom Byrum,12,0,5494
251,0,27796,Joe Affrunti,11,0,5495
252,0,01381,Fred Funk,9,0,5497
253,0,26498,Matt Weibring,9,0,5497
254,0,06214,Guy Boros,7,0,5499
255,0,20029,Notah Begay III,6,0,5500
256,0,06373,José María Olazábal,3,0,5503
257,0,06012,Greg Kraft,3,0,5503
258,0,01132,Mark Brooks,2,0,5504
259,0,10423,Mike Weir,2,0,5504
260,0,01619,Skip Kendall,1,0,5505
261,0,01887,Mark O'Meara,1,0,5505
262,0,27436,Graham DeLaet,1,0,5505
263,0,01685,J.L. Lewis,0,5506
264,0,07223,Brian Bateman,0,5506
