RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS PER EVENT,TOTAL POINTS
48,0,23623,Bo Van Pelt,40.060,881.330
49,0,27141,J.B. Holmes,39.992,639.865
50,0,30926,Chris Kirk,39.854,956.500
51,0,08793,Tiger Woods,39.696,317.567
52,0,29518,Brendan Steele,37.552,826.143
53,0,25572,Graeme McDowell,37.285,484.700
54,0,30750,Tommy Gainey,37.007,999.190
55,0,24140,Sean O'Hair,36.205,724.093
56,0,01226,Fred Couples,35.900,179.500
57,0,25818,Scott Piercy,35.667,570.667
58,0,25396,Kevin Na,35.341,777.500
59,0,06573,Brandt Jobe,34.908,802.875
60,0,20645,John Senden,34.848,731.810
61,0,25562,Andres Romero,34.266,651.057
62,0,24361,Pat Perez,34.115,716.408
63,0,11123,Chris Couch,33.691,572.750
64,0,22046,Geoff Ogilvy,33.607,571.317
65,0,24358,Robert Garrigus,33.427,701.963
66,0,06034,Marco Dawson,33.333,100.000
67,0,30110,Kyle Stanley,33.094,761.158
68,0,19846,Brian Gay,32.603,684.655
69,0,12716,Charley Hoffman,32.435,746.000
70,0,10885,Robert Allenby,32.310,678.500
71,0,25345,Carl Pettersson,31.431,691.483
72,0,20157,Retief Goosen,31.385,439.389
73,0,23638,Brendon de Jonge,31.363,784.083
74,0,08075,Jerry Kelly,30.999,650.972
75,0,01706,Davis Love III,30.935,556.835
76,0,10809,Jim Furyk,30.023,660.500
77,0,20160,Charlie Wi,29.572,591.440
78,0,25632,Jimmy Walker,29.262,614.500
79,0,20229,Stewart Cink,29.238,555.516
79,0,23541,Ben Crane,29.238,526.287
81,0,26951,Johnson Wagner,29.225,584.500
82,0,28475,Jeff Overton,29.095,610.995
83,0,24846,Ricky Barnes,29.050,551.950
84,0,01320,Bob Estes,28.716,258.440
85,0,27214,Kevin Streelman,28.554,599.643
86,0,22913,John Rollins,27.657,608.450
87,0,24138,Ian Poulter,27.637,386.912
88,0,21753,Brian Davis,27.386,684.642
89,0,20634,Peter Lonard,27.375,54.750
90,0,01677,Tom Lehman,27.104,108.417
91,0,08725,Tom Gillis,26.933,430.920
92,0,28087,Kris Blanks,26.726,641.416
93,0,26476,Chez Reavie,26.707,587.560
94,0,23322,Brett Wetterich,26.036,208.287
95,0,27933,John Merrick,25.906,414.500
96,0,33419,Cameron Tringale,25.771,644.280
97,0,12510,Chad Campbell,25.704,591.193
98,0,23353,J.J. Henry,24.944,598.652
99,0,22378,Trevor Immelman,24.616,467.710
100,0,20572,Rod Pampling,24.031,384.500
101,0,32366,Kevin Chappell,23.956,503.084
102,0,26851,Marc Leishman,23.724,521.920
103,0,06643,Paul Goydos,23.722,474.443
104,0,01941,Tom Pernice Jr.,23.319,209.870
105,0,21350,Ryuji Imada,23.021,529.474
106,0,29910,Blake Adams,22.815,616.000
107,0,01116,Michael Bradley,22.700,454.000
108,0,27120,Troy Matteson,22.603,542.470
109,0,25364,Paul Casey,21.569,280.402
110,0,23800,Bryce Molder,21.436,493.034
111,0,20766,Padraig Harrington,21.128,338.043
112,0,06522,Ernie Els,20.973,356.533
113,0,32150,Michael Thompson,20.629,412.583
114,0,26329,Louis Oosthuizen,20.538,267.000
115,0,29718,Anthony Kim,20.203,484.860
116,0,24604,Hunter Haas,19.951,498.773
117,0,12782,Tim Herron,19.837,456.250
118,0,28307,Matt Every,19.650,98.250
119,0,20593,Greg Chalmers,19.564,449.970
120,0,22348,Nick O'Hern,19.278,462.667
121,0,06251,Chris DiMarco,19.183,498.750
122,0,27963,Chris Stroud,18.773,413.006
123,0,23548,Bill Lunde,18.612,428.072
124,0,23409,James Driscoll,18.566,352.750
125,0,20070,Matt Bettencourt,18.430,460.750
126,0,21949,Joe Ogilvie,18.194,363.880
127,0,28620,Aron Price,18.106,271.583
128,0,23325,Vaughn Taylor,18.023,396.500
129,0,26679,Kevin Stadler,18.001,414.014
130,0,27770,Camilo Villegas,17.976,395.470
131,0,26758,David Hearn,17.242,362.074
132,0,06595,Kevin Sutherland,17.227,189.500
133,0,20098,Stuart Appleby,16.828,387.055
134,0,26287,Roland Thatcher,16.799,302.380
135,0,06004,Stephen Ames,16.542,297.750
136,0,27939,Matt McQuillan,16.485,280.250
