RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD
98,0,22913,John Rollins,6274,0,2,35361
99,0,11032,Frank Lickliter II,6192,0,35443
100,0,01707,Steve Lowery,6164,1,2,35471
101,0,28475,Jeff Overton,6050,0,1,35585
102,0,23983,Luke Donald,6001,0,3,35634
103,0,01928,Corey Pavin,5989,0,2,35646
104,0,24227,Justin Bolli,5979,0,1,35656
105,0,24490,George McNeill,5693,0,2,35942
106,0,20396,Lee Westwood,5626,0,2,36009
107,0,24449,Parker McLachlin,5502,1,3,36133
108,0,20157,Retief Goosen,5372,0,2,36263
109,0,27095,Nick Watney,5144,0,1,36491
110,0,24138,Ian Poulter,5073,0,1,36562
111,0,23614,Rich Beem,4945,0,1,36690
112,0,22548,Patrick Sheehan,4936,0,2,36699
113,0,12705,Cliff Kresge,4487,0,4,37148
114,0,22405,Justin Rose,4278,0,2,37357
115,0,08931,Glen Day,4123,0,1,37512
116,0,23108,Matt Kuchar,4084,0,4,37551
117,0,26695,Michael Letzig,3879,0,4,37756
118,0,01577,Lee Janzen,3846,0,1,37789
119,0,01226,Fred Couples,3837,0,3,37798
120,0,20472,Alex Cejka,3802,0,4,37833
121,0,23778,Brad Adamonis,3707,0,2,37928
122,0,23718,Nathan Green,3698,0,1,37937
123,0,24507,Jason Bohn,3582,0,2,38053
124,0,27120,Troy Matteson,3524,0,3,38111
125,0,06012,Greg Kraft,3319,1,2,38316
126,0,01161,Mark Calcavecchia,3304,0,2,38331
127,0,26300,Matt Jones,3273,0,2,38362
128,0,10505,Shane Bertsch,3153,0,1,38482
129,0,21949,Joe Ogilvie,3094,0,3,38541
130,0,25349,Tim Wilkinson,3086,0,2,38549
131,0,24024,Zach Johnson,2968,0,1,38667
132,0,23325,Vaughn Taylor,2901,0,1,38734
133,0,23349,Charles Warren,2769,0,1,38866
134,0,30925,Dustin Johnson,2679,0,2,38956
135,0,02223,Bob Tway,2615,0,1,39020
136,0,02206,David Toms,2520,0,39115
137,0,23409,James Driscoll,2457,0,1,39178
138,0,01320,Bob Estes,2423,0,1,39212
139,0,01677,Tom Lehman,2420,0,2,39215
140,0,06621,Joe Durant,2264,0,1,39371
141,0,22892,Jason Gore,2258,0,2,39377
142,0,25842,Jon Mills,1964,0,39671
143,0,06251,Chris DiMarco,1871,0,39764
144,0,26287,Roland Thatcher,1777,0,2,39858
145,0,24663,Y.E. Yang,1701,0,1,39934
146,0,20623,Gavin Coles,1699,0,1,39936
147,0,23497,Tag Ridings,1679,0,1,39956
148,0,01473,Todd Hamilton,1648,0,39987
149,0,23797,Brett Rumford,1624,0,1,40011
150,0,06034,Marco Dawson,1622,0,2,40013
151,0,26679,Kevin Stadler,1622,0,1,40013
152,0,07547,Craig Kanada,1604,0,40031
153,0,01876,Greg Norman,1595,0,1,40040
154,0,01706,Davis Love III,1512,0,40123
155,0,01553,John Huston,1488,0,40147
156,0,24358,Robert Garrigus,1468,0,40167
157,0,08845,Scott Sterling,1467,0,40168
158,0,19803,Ryan Armour,1427,0,40208
159,0,12823,Carlos Franco,1372,0,40263
160,0,27561,Nick Flanagan,1316,0,1,40319
161,0,20105,Jeff Gove,1308,0,1,40327
162,0,24912,Will MacKenzie,1289,0,1,40346
163,0,01724,Jeff Maggert,1287,0,40348
164,0,20127,Chris Riley,1277,0,1,40358
165,0,08537,J.P. Hayes,1275,0,1,40360
166,0,12652,Cameron Beckman,1262,0,40373
167,0,20433,Mark Hensby,1261,0,1,40374
168,0,26668,Marc Turnesa,1174,0,40461
169,0,10117,Bob Heintz,1164,0,40471
170,0,08385,Omar Uresti,1154,0,40481
171,0,22806,Doug LaBelle II,1102,0,1,40533
172,0,25686,Jason Dufner,1082,0,40553
173,0,20443,Jin Park,1047,0,40588
174,0,21805,Harrison Frazar,1043,0,1,40592
175,0,01381,Fred Funk,1038,0,1,40597
176,0,19972,José Coceres,1008,0,40627
177,0,21461,Kenneth Ferrie,1000,0,40635
178,0,02002,John Riegger,993,0,40642
179,0,20663,Brenden Pappas,962,0,1,40673
180,0,21959,Ted Purdy,962,0,1,40673
181,0,10733,Kent Jones,957,0,40678
182,0,01024,Billy Andrade,949,0,40686
183,0,06573,Brandt Jobe,940,0,40695
184,0,12309,Bob Sowards,920,0,1,40715
185,0,07223,Brian Bateman,832,0,40803
186,0,20628,Arron Oberholser,775,0,40860
187,0,20436,Garrett Willis,766,0,40869
188,0,01388,Robert Gamez,749,0,40886
189,0,12680,Shigeki Maruyama,721,0,40914
190,0,20378,Mathias Grönberg,715,0,40920
191,0,01823,Larry Mize,704,0,1,40931
192,0,25632,Jimmy Walker,703,0,40932
193,0,12645,Brent Geiberger,694,0,1,40941
194,0,25273,Andrew Buckle,693,0,40942
195,0,20382,Stephen Leaney,678,0,40957
196,0,06515,Shaun Micheel,641,0,40994
197,0,25720,Chad Collins,632,0,41003
198,0,01361,Dan Forsman,623,0,41012
199,0,21633,Steve Allan,595,0,1,41040
200,0,19824,Craig Barlow,567,0,41068
201,0,27613,David Lutterus,566,0,41069
202,0,10875,Todd Demsey,551,0,41084
203,0,23157,Richard Johnson,544,0,41091
204,0,01139,Olin Browne,515,0,41120
205,0,27963,Chris Stroud,499,0,41136
206,0,26500,Alejandro Cañizares,497,0,41138
207,0,08375,Paul Stankowski,488,0,41147
208,0,06090,Jim McGovern,488,0,41147
209,0,22582,Kyle Thompson,461,0,41174
210,0,06350,Bob May,450,0,41185
211,0,01666,Bernhard Langer,426,0,41209
212,0,12826,Paul Claxton,420,0,41215
213,0,23322,Brett Wetterich,417,0,41218
214,0,21470,Daisuke Maruyama,417,0,41218
215,0,01132,Mark Brooks,410,0,41225
216,0,19881,Robert Damron,365,0,41270
217,0,01157,Tom Byrum,343,0,41292
218,0,10213,Dicky Pride,322,0,41313
219,0,01116,Michael Bradley,321,0,41314
220,0,23540,Jason Allred,286,0,41349
221,0,10565,Ian Leggatt,269,0,41366
222,0,10649,Tom Scherrer,267,0,41368
223,0,26882,Michael Sim,256,0,41379
224,0,06373,José María Olazábal,235,0,41400
225,0,06332,Neal Lancaster,227,0,41408
226,0,26631,Cody Freeman,214,0,41421
227,0,23125,Brad Elder,212,0,41423
228,0,01261,Jay Delsing,200,0,41435
229,0,01042,Paul Azinger,190,0,41445
230,0,01249,John Daly,182,0,41453
231,0,20094,Jonathan Kaye,177,0,41458
232,0,25594,Travis Perkins,152,0,41483
233,0,01920,Craig Parry,152,0,41483
234,0,09011,David Duval,149,0,41486
235,0,19913,Ron Whittaker,140,0,41495
236,0,30750,Tommy Gainey,119,0,41516
237,0,01761,Len Mattiace,116,0,41519
238,0,01685,J.L. Lewis,114,0,41521
239,0,07235,John Morse,103,0,41532
240,0,01717,Sandy Lyle,91,0,41544
241,0,02214,Kirk Triplett,87,0,41548
242,0,20029,Notah Begay III,82,0,41553
243,0,02106,Chris Smith,81,0,41554
244,0,02101,Joey Sindelar,80,0,41555
245,0,01378,David Frost,64,0,41571
246,0,06214,Guy Boros,57,0,41578
247,0,21007,Gabriel Hjertstedt,52,0,41583
247,0,01723,Andrew Magee,52,0,41583
247,0,02245,Grant Waite,52,0,41583
250,0,01887,Mark O'Meara,52,0,41583
251,0,01527,Scott Hoch,52,0,41583
252,0,01014,Fulton Allem,47,0,41588
253,0,01093,Ronnie Black,44,0,41591
254,0,01968,Nick Price,43,0,41592
255,0,01619,Skip Kendall,28,0,41607
256,0,01927,Dennis Paulson,27,0,41608
256,0,02067,Ted Schulz,27,0,41608
258,0,02246,Duffy Waldorf,26,0,41609
259,0,08339,Spike McRoy,26,0,41609
260,0,01331,Rick Fehr,25,0,41610
261,0,06809,Bob Burns,24,0,41611
262,0,01385,Jim Gallagher Jr.,24,0,41611
