RANK,MOVEMENT,PLAYER_ID,PLAYER,BEST STREAK,CURRENT STREAK
610,0,01226,Fred Couples,20,20
610,0,54954,Jesse Droemer,20,7
610,0,47960,Simon ForsstrÃ¶m,20,20
610,0,59105,Blake Hathcoat,20,12
610,0,65547,Zac Jones,20,1
610,0,48585,Charlie Lindh,20,15
610,0,65252,Kyle Martin,20,7
610,0,56353,Callum McNeill,20,20
610,0,61081,Rintaro Nakano,20,2
610,0,26329,Louis Oosthuizen,20,15
610,0,27556,Ted Potter Jr.,20,15
610,0,54303,Charlie Reiter,20,1
610,0,46035,Callum Shinkwin,20,9
610,0,28114,Dawie van der Walt,20,3
610,0,25804,Bubba Watson,20,4
610,0,66343,Alex Welch,20,20
610,0,58082,Aram Yenidjeian,20,20
629,0,64267,Blaze Akana,19,19
629,0,36964,Francisco BidÃ©,19,16
629,0,58716,Ethan Cairns,19,19
629,0,21753,Brian Davis,19,16
629,0,39992,Jeff Kellen,19,19
629,0,60015,Logan McAllister,19,15
629,0,65374,Brandon Robinson Thompson,19,19
629,0,66609,Cole Rueck,19,16
629,0,59680,Jose Antonio Safa,19,6
638,0,51856,Tom Adrounie,18,18
638,0,51151,Todd Clements,18,17
638,0,63196,Wenyi Ding,18,18
638,0,06522,Ernie Els,18,18
638,0,37273,Derek Ernst,18,9
638,0,10860,Justin Leonard,18,17
638,0,60018,Cameron Sisk,18,18
638,0,65994,Joe Sullivan,18,17
638,0,31113,Paul Waring,18,18
647,0,34185,Domenico Geminiani,17,10
647,0,54876,Chen Guxin,17,17
647,0,46837,Yuxin Lin,17,1
647,0,51454,Camiko Smith,17,15
647,0,26679,Kevin Stadler,17,9
647,0,60222,Austin Wylie,17,17
653,0,60009,Reid Davenport,16,16
653,0,65426,Caden Fioroni,16,1
653,0,47277,Daniel Iceman,16,10
653,0,06515,Shaun Micheel,16,14
653,0,63766,William Moll,16,1
653,0,62848,Zac Oakley,16,16
653,0,35946,Willy Pumarol,16,16
653,0,56297,John Somers,16,2
653,0,52655,Herman Wibe-Sekne,16,2
662,0,51458,Preston Cole,15,10
662,0,58391,Jared Jones,15,9
662,0,32627,Espen Kofstad,15,12
662,0,56349,Chris Korte,15,6
662,0,51911,Anthony Maccaglia,15,0
662,0,55892,Ãtienne Papineau,15,15
662,0,26331,Charl Schwartzel,15,8
662,0,23531,Tracy Vest,15,15
662,0,29454,Bernd Wiesberger,15,15
662,0,27114,Ben Willman,15,8
672,0,51671,Alex Chiarella,14,14
672,0,01249,John Daly,14,1
672,0,51366,Riki Kawamoto,14,6
672,0,60328,Cam Kellett,14,2
672,0,59497,Jake Lane,14,14
672,0,55509,Hurly Long,14,2
672,0,35658,Kris Ventura,14,7
672,0,59203,Joey Vrzich,14,14
672,0,33936,Gunner Wiebe,14,13
672,0,35709,Jeff Winther,14,14
682,0,66744,Colin Prater,13,9
682,0,30933,Jeff Sorenson,13,5
684,0,65069,Dylan Brack,12,11
684,0,63774,Caleb Hicks,12,7
684,0,01547,Reed Hughes,12,0
684,0,59283,George Kneiser,12,12
684,0,65310,Anders Larson,12,12
689,0,50521,Hunter Larson,11,11
689,0,01706,Davis Love III,11,2
689,0,30681,Eric West,11,0
