RANK,MOVEMENT,PLAYER_ID,PLAYER,STROKE DIFFERENTIAL,PLAYER'S SCORE,FIELD AVERAGE SCORE
86,0,01926,Steve Pate,+.29,71.05,71.34
87,0,10569,Mike Brisky,+.27,71.20,71.47
87,0,01766,Billy Mayfair,+.27,71.29,71.56
89,0,01549,Mike Hulbert,+.25,71.52,71.77
90,0,01185,Brandel Chamblee,+.24,71.24,71.48
90,0,02101,Joey Sindelar,+.24,71.55,71.79
92,0,01374,Robin Freeman,+.21,71.15,71.36
92,0,02321,Fuzzy Zoeller,+.21,71.42,71.63
94,0,20099,Doug Barron,+.19,71.18,71.37
94,0,11032,Frank Lickliter II,+.19,71.29,71.48
96,0,06621,Joe Durant,+.18,71.23,71.41
96,0,07749,Brett Quigley,+.18,71.42,71.60
98,0,01035,Tommy Armour III,+.16,71.27,71.43
98,0,01196,Brian Claar,+.16,70.93,71.09
98,0,06315,Pete Jordan,+.16,71.49,71.65
101,0,01306,David Edwards,+.15,71.07,71.22
102,0,01201,Lennie Clements,+.11,71.35,71.46
102,0,02242,Lanny Wadkins,+.11,71.24,71.35
104,0,01533,P.H. Horgan III,+.10,71.35,71.45
104,0,02159,Curtis Strange,+.10,71.40,71.50
106,0,06332,Neal Lancaster,+.09,71.49,71.58
107,0,07003,David Berganio Jr.,+.08,71.30,71.38
107,0,06044,Scott Gump,+.08,71.34,71.42
107,0,06527,Steve Stricker,+.08,71.76,71.84
110,0,02135,Mike Standly,+.06,71.21,71.27
111,0,01388,Robert Gamez,+.05,71.57,71.62
112,0,02239,Scott Verplank,+.04,71.60,71.64
113,0,02008,Lee Rinker,+.03,71.65,71.68
113,0,12663,Phil Tataurangi,+.03,71.37,71.40
115,0,06575,Dudley Hart,+.02,71.80,71.82
116,0,07235,John Morse,+.01,71.68,71.69
117,0,08537,J.P. Hayes,E,71.48,71.48
118,0,02099,Scott Simpson,-.01,71.46,71.45
119,0,12387,Michael Christie,-.04,71.54,71.50
119,0,02218,Ted Tryba,-.04,71.76,71.72
121,0,02007,Larry Rinker,-.05,71.63,71.58
121,0,02279,Mark Wiebe,-.05,71.82,71.77
123,0,01006,John Adams,-.07,71.49,71.42
123,0,01941,Tom Pernice Jr.,-.07,71.52,71.45
125,0,01014,Fulton Allem,-.08,71.42,71.34
125,0,01905,Joe Ozaki,-.08,71.80,71.72
125,0,08385,Omar Uresti,-.08,71.63,71.55
125,0,02294,Willie Wood,-.08,71.48,71.40
129,0,08931,Glen Day,-.11,71.79,71.68
130,0,02023,Clarence Rose,-.13,71.87,71.74
130,0,02049,Gene Sauers,-.13,71.17,71.04
132,0,01132,Mark Brooks,-.14,71.88,71.74
133,0,06036,Scott Dunlap,-.15,71.88,71.73
134,0,06012,Greg Kraft,-.16,71.63,71.47
135,0,01378,David Frost,-.17,72.00,71.83
136,0,06090,Jim McGovern,-.18,71.83,71.65
137,0,08075,Jerry Kelly,-.21,71.90,71.69
137,0,02131,Mike Springer,-.21,71.83,71.62
139,0,01487,Jeff Hart,-.23,71.75,71.52
139,0,01975,Tom Purtzer,-.23,71.91,71.68
141,0,08339,Spike McRoy,-.24,71.87,71.63
141,0,07101,Dave Stockton Jr.,-.24,71.63,71.39
141,0,02267,D.A. Weibring,-.24,71.66,71.42
144,0,01139,Olin Browne,-.25,71.83,71.58
144,0,06124,Patrick Burke,-.25,71.43,71.18
144,0,01261,Jay Delsing,-.25,71.74,71.49
144,0,01771,Blaine McCallister,-.25,71.66,71.41
148,0,10962,Bradley Hughes,-.29,71.90,71.61
149,0,07267,Allen Doyle,-.31,71.80,71.49
149,0,01928,Corey Pavin,-.31,71.89,71.58
151,0,01553,John Huston,-.34,71.81,71.47
152,0,01011,Rafael Alarcon,-.35,71.78,71.43
153,0,01133,Billy Ray Brown,-.36,71.84,71.48
153,0,01307,Joel Edwards,-.36,71.80,71.44
153,0,05466,Jack O'Keefe,-.36,71.85,71.49
156,0,06034,Marco Dawson,-.37,72.02,71.65
157,0,01385,Jim Gallagher Jr.,-.38,71.91,71.53
158,0,06577,John Wilson,-.39,72.03,71.64
159,0,10207,Jimmy Johnston,-.47,71.94,71.47
160,0,08265,Eric Johnson,-.48,71.93,71.45
161,0,08547,John Maginnes,-.49,72.15,71.66
162,0,10963,Jimmy Green,-.50,71.96,71.46
163,0,06132,Sonny Skinner,-.52,71.93,71.41
164,0,01444,Ken Green,-.53,71.92,71.39
165,0,12826,Paul Claxton,-.55,71.97,71.42
166,0,02292,Bob Wolcott,-.64,72.04,71.40
167,0,06214,Guy Boros,-.65,72.01,71.36
167,0,21007,Gabriel Hjertstedt,-.65,72.00,71.35
169,0,01249,John Daly,-.67,72.16,71.49
170,0,07363,Craig Bowden,-.68,72.22,71.54
171,0,02115,Taylor Smith,-.70,72.35,71.65
172,0,10875,Todd Demsey,-.71,72.23,71.52
173,0,10837,Kevin Burton,-.77,72.20,71.43
173,0,02226,Tray Tyner,-.77,72.35,71.58
175,0,01864,Larry Nelson,-.79,72.44,71.65
176,0,02100,Tim Simpson,-.80,72.37,71.57
177,0,10505,Shane Bertsch,-.81,72.28,71.47
178,0,01040,Emlyn Aubrey,-.84,72.14,71.30
178,0,01489,Steve Hart,-.84,72.62,71.78
180,0,01717,Sandy Lyle,-.94,72.49,71.55
181,0,07867,Woody Austin,-.96,72.44,71.48
181,0,02225,Howard Twitty,-.96,72.46,71.50
183,0,02166,Chip Sullivan,-.97,72.29,71.32
184,0,07465,Hideki Kase,-.99,72.58,71.59
185,0,10213,Dicky Pride,-1.08,72.70,71.62
186,0,07547,Craig Kanada,-1.11,72.87,71.76
187,0,08553,Lee Porter,-1.16,72.65,71.49
188,0,07087,Hugh Royer III,-1.17,72.63,71.46
189,0,01288,Ed Dougherty,-1.19,72.72,71.53
189,0,01346,Ed Fiori,-1.19,72.66,71.47
191,0,02095,Larry Silveira,-1.28,72.92,71.64
192,0,20158,Anthony Rodriguez,-1.53,72.90,71.37
193,0,06144,John Dowdall,-1.61,73.10,71.49
194,0,06515,Shaun Micheel,-1.65,73.19,71.54
195,0,01072,Chip Beck,-2.32,73.79,71.47
