RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS PER EVENT,TOTAL POINTS
168,0,32640,Troy Merritt,9.461,264.897
169,0,29720,Andres Gonzales,9.434,226.410
170,0,31560,Brian Stuard,9.191,284.923
171,0,25562,Andres Romero,9.073,90.726
172,0,34076,Joel Dahmen,8.953,143.254
173,0,34242,Andrew Johnston,8.611,111.939
174,0,01823,Larry Mize,8.500,8.500
175,0,25892,Steve Wheatcroft,8.141,138.392
176,0,28679,Fabián Gómez,7.986,167.706
177,0,24912,Will MacKenzie,7.931,126.898
178,0,06567,Vijay Singh,7.755,139.596
179,0,27556,Ted Potter Jr.,7.750,15.500
180,0,27747,Hiroshi Iwata,7.600,76.000
181,0,28420,Ryan Brehm,7.529,188.217
182,0,29476,Kyle Reifers,7.527,240.862
183,0,20766,Padraig Harrington,7.455,82.006
184,0,30852,Ryo Ishikawa,7.420,148.406
185,0,33418,Shawn Stefani,7.235,188.115
186,0,34563,Chesson Hadley,6.683,53.463
187,0,46443,Brian Campbell,6.609,132.188
188,0,32200,Roberto Castro,6.571,164.285
189,0,20098,Stuart Appleby,6.491,103.863
190,0,27466,Spencer Levin,6.483,200.980
191,0,20160,Charlie Wi,6.420,38.518
192,0,26289,Boo Weekley,6.402,172.847
193,0,34466,Peter Malnati,6.268,181.779
194,0,20848,Ángel Cabrera,5.970,95.513
195,0,28307,Matt Every,5.821,174.637
196,0,34265,Will Wilcox,5.771,80.795
197,0,24357,K.J. Choi,5.712,142.804
198,0,20593,Greg Chalmers,5.569,155.942
199,0,34262,Jon Curran,5.440,59.839
200,0,25191,Gonzalo Fernandez-Castaño,5.344,117.563
201,0,20771,Steven Alker,5.269,121.187
202,0,10860,Justin Leonard,5.100,5.100
203,0,24781,Hunter Mahan,5.003,130.069
204,0,35110,Brett Drewitt,4.998,94.956
205,0,35300,Andrew Loupe,4.995,104.903
206,0,33120,Mark Anderson,4.881,97.621
207,0,29485,Brett Stegmaier,4.850,130.938
208,0,08075,Jerry Kelly,4.796,33.575
209,0,10885,Robert Allenby,4.753,19.010
210,0,36801,Mark Hubbard,4.591,123.957
211,0,37278,Nicholas Lindheim,4.452,93.487
212,0,27933,John Merrick,4.406,39.656
213,0,24663,Y.E. Yang,4.317,38.856
214,0,23800,Bryce Molder,4.203,109.274
215,0,29740,Brad Fritsch,4.089,73.597
216,0,20645,John Senden,3.964,55.489
217,0,20104,Ken Duke,3.760,97.767
218,0,28093,Miguel Angel Carballo,3.694,81.267
219,0,20634,Peter Lonard,3.646,3.646
220,0,21878,Mark Wilson,3.628,54.422
221,0,21731,Freddie Jacobson,3.569,32.122
222,0,21407,Arjun Atwal,3.391,20.346
223,0,28158,Steve Marino,3.013,45.189
224,0,25345,Carl Pettersson,2.724,73.538
225,0,01320,Bob Estes,2.713,40.700
226,0,24507,Jason Bohn,2.625,73.496
227,0,06522,Ernie Els,2.502,50.046
228,0,01381,Fred Funk,2.400,2.400
229,0,32139,Danny Willett,2.331,25.642
230,0,01116,Michael Bradley,2.307,6.922
231,0,01948,Tim Petrovic,2.191,4.382
232,0,23638,Brendon de Jonge,2.186,30.600
233,0,29745,Tyler Aldridge,2.144,30.013
234,0,08385,Omar Uresti,1.502,3.004
235,0,02206,David Toms,1.461,4.382
236,0,12782,Tim Herron,1.358,10.864
237,0,33449,Zack Sucher,1.280,17.914
238,0,23788,D.J. Trahan,1.269,6.347
239,0,27120,Troy Matteson,1.175,4.700
240,0,02106,Chris Smith,.794,1.587
241,0,10505,Shane Bertsch,.788,7.094
242,0,30750,Tommy Gainey,.783,6.264
243,0,23048,Eric Axley,.762,3.049
244,0,24490,George McNeill,.626,4.382
245,0,30711,Colt Knost,.540,2.700
246,0,46507,Bobby Wyatt,.477,9.538
247,0,32334,Charlie Beljan,.463,3.700
248,0,06515,Shaun Micheel,.394,1.182
248,0,22913,John Rollins,.394,2.364
250,0,30927,Brendon Todd,.328,2.950
251,0,25274,Steven Bowditch,.315,8.500
252,0,39977,Max Homa,.194,3.304
