RANK,MOVEMENT,PLAYER_ID,PLAYER,% MADE,ATTEMPTS,PUTTS MADE
63,0,20850,Daniel Chopra,48.89,673,329
64,0,24140,Sean O'Hair,48.87,622,304
65,0,12510,Chad Campbell,48.83,557,272
66,0,06573,Brandt Jobe,48.78,615,300
67,0,08793,Tiger Woods,48.72,392,191
68,0,21878,Mark Wilson,48.71,466,227
69,0,01810,Phil Mickelson,48.69,382,186
70,0,23540,Jason Allred,48.66,448,218
71,0,10117,Bob Heintz,48.65,446,217
72,0,20382,Stephen Leaney,48.58,527,256
73,0,06515,Shaun Micheel,48.51,437,212
74,0,01666,Bernhard Langer,48.48,297,144
75,0,07749,Brett Quigley,48.43,607,294
76,0,24357,K.J. Choi,48.40,376,182
77,0,20157,Retief Goosen,48.33,300,145
77,0,25240,D.A. Points,48.33,598,289
79,0,20623,Gavin Coles,48.32,476,230
80,0,01361,Dan Forsman,48.26,317,153
81,0,01381,Fred Funk,48.21,614,296
82,0,01418,Bill Glasson,48.18,357,172
83,0,23108,Matt Kuchar,48.05,385,185
84,0,01928,Corey Pavin,47.93,411,197
85,0,01766,Billy Mayfair,47.91,743,356
86,0,01706,Davis Love III,47.89,403,193
87,0,01161,Mark Calcavecchia,47.84,556,266
88,0,25900,Lucas Glover,47.81,571,273
89,0,22913,John Rollins,47.71,568,271
90,0,22293,Heath Slocum,47.70,675,322
91,0,23349,Charles Warren,47.63,590,281
92,0,21805,Harrison Frazar,47.58,702,334
93,0,06034,Marco Dawson,47.55,572,272
94,0,21753,Brian Davis,47.52,463,220
95,0,01553,John Huston,47.40,576,273
96,0,21961,Charles Howell III,47.36,492,233
97,0,24024,Zach Johnson,47.33,581,275
98,0,20474,Phillip Price,47.32,448,212
99,0,21209,Sergio Garcia,47.26,347,164
100,0,01941,Tom Pernice Jr.,47.24,635,300
101,0,24604,Hunter Haas,47.09,516,243
102,0,23135,Tim Clark,47.06,493,232
103,0,01724,Jeff Maggert,46.98,447,210
104,0,12823,Carlos Franco,46.91,469,220
105,0,22621,Ben Curtis,46.90,339,159
105,0,01948,Tim Petrovic,46.90,597,280
107,0,06567,Vijay Singh,46.82,660,309
108,0,24502,Adam Scott,46.81,361,169
109,0,12652,Cameron Beckman,46.77,588,275
110,0,22405,Justin Rose,46.76,618,289
111,0,06332,Neal Lancaster,46.72,640,299
112,0,21959,Ted Purdy,46.70,698,326
113,0,20098,Stuart Appleby,46.65,448,209
114,0,20572,Rod Pampling,46.64,476,222
115,0,23409,James Driscoll,46.62,429,200
116,0,01473,Todd Hamilton,46.60,530,247
117,0,06197,Michael Allen,46.49,527,245
118,0,24290,D.J. Brigman,46.48,454,211
118,0,20548,Hidemichi Tanaka,46.48,654,304
120,0,24227,Justin Bolli,46.46,452,210
121,0,08931,Glen Day,46.45,493,229
122,0,08385,Omar Uresti,46.37,509,236
123,0,20498,Briny Baird,46.32,639,296
123,0,01249,John Daly,46.32,408,189
125,0,23325,Vaughn Taylor,46.25,653,302
126,0,01226,Fred Couples,46.23,292,135
127,0,10201,Matt Gogel,46.15,468,216
128,0,02010,Loren Roberts,46.09,345,159
129,0,01619,Skip Kendall,46.08,510,235
130,0,06251,Chris DiMarco,46.06,419,193
131,0,02239,Scott Verplank,46.05,519,239
132,0,01127,Danny Briggs,46.02,452,208
133,0,23725,Brendan Jones,46.01,539,248
134,0,20691,Greg Owen,45.96,520,239
135,0,07867,Woody Austin,45.95,692,318
136,0,24912,Will MacKenzie,45.94,505,232
137,0,01132,Mark Brooks,45.90,451,207
138,0,12454,Mario Tiziani,45.87,412,189
139,0,26679,Kevin Stadler,45.84,589,270
140,0,20645,John Senden,45.79,629,288
141,0,12826,Paul Claxton,45.71,455,208
141,0,19881,Robert Damron,45.71,606,277
143,0,01219,John Cook,45.58,441,201
144,0,10585,Scott McCarron,45.52,435,198
144,0,25847,Rob Rashell,45.52,413,188
146,0,23063,Scott Hend,45.51,479,218
147,0,01577,Lee Janzen,45.45,440,200
148,0,21951,Joey Snyder III,45.41,621,282
149,0,26287,Roland Thatcher,45.33,514,233
150,0,08123,Jeff Brehaut,45.32,470,213
151,0,01707,Steve Lowery,45.29,616,279
152,0,07223,Brian Bateman,45.28,583,264
153,0,24781,Hunter Mahan,45.26,654,296
153,0,02106,Chris Smith,45.26,570,258
155,0,21350,Ryuji Imada,45.18,498,225
156,0,02104,Jeff Sluman,45.09,581,262
157,0,08725,Tom Gillis,45.08,508,229
158,0,08993,Franklin Langham,44.94,563,253
159,0,23614,Rich Beem,44.93,345,155
160,0,19824,Craig Barlow,44.90,461,207
161,0,20628,Arron Oberholser,44.86,370,166
162,0,01175,Jim Carter,44.77,411,184
163,0,01723,Andrew Magee,44.74,523,234
164,0,23788,D.J. Trahan,44.71,510,228
165,0,10885,Robert Allenby,44.65,542,242
166,0,20094,Jonathan Kaye,44.62,446,199
167,0,01599,Steve Jones,44.57,341,152
168,0,01487,Jeff Hart,44.55,422,188
169,0,20433,Mark Hensby,44.44,369,164
170,0,01945,Kenny Perry,44.19,473,209
171,0,20099,Doug Barron,44.16,471,208
171,0,10425,Jay Williamson,44.16,351,155
173,0,10962,Bradley Hughes,44.13,349,154
174,0,11032,Frank Lickliter II,44.11,628,277
175,0,20378,Mathias Grönberg,44.09,372,164
176,0,20634,Peter Lonard,43.93,453,199
177,0,06599,John Elliott,43.84,365,160
178,0,01927,Dennis Paulson,43.77,409,179
179,0,23353,J.J. Henry,43.73,574,251
179,0,08075,Jerry Kelly,43.73,542,237
181,0,10912,Craig Perks,43.65,433,189
182,0,24925,Jonathan Byrd,43.64,660,288
183,0,10423,Mike Weir,43.59,351,153
184,0,20472,Alex Cejka,43.53,549,239
184,0,01457,Jay Haas,43.53,278,121
186,0,01320,Bob Estes,43.50,554,241
187,0,01677,Tom Lehman,43.49,315,137
188,0,01313,Steve Elkington,43.38,355,154
189,0,01035,Tommy Armour III,43.30,672,291
190,0,12662,Thomas Levet,43.01,286,123
191,0,08545,Glen Hnatiuk,42.98,356,153
192,0,01797,Rocco Mediate,42.94,510,219
193,0,06621,Joe Durant,42.80,479,205
193,0,20396,Lee Westwood,42.80,243,104
195,0,20502,Michael Long,42.70,459,196
196,0,21806,Paul Gow,42.57,505,215
197,0,02101,Joey Sindelar,42.50,720,306
198,0,23036,Chris Anderson,42.35,451,191
199,0,26758,David Hearn,42.31,442,187
200,0,23322,Brett Wetterich,42.29,532,225
201,0,20127,Chris Riley,41.58,303,126
202,0,21498,Hideto Tanihara,40.43,324,131
