RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP 10'S
1,0,29420,Billy Horschel,4750,2,5
66,0,21731,Freddie Jacobson,1068,0,4,3246
67,0,26300,Matt Jones,1051,1,1,3263
68,0,01810,Phil Mickelson,1046,0,1,3268
69,0,24357,K.J. Choi,1019,0,2,3295
70,0,24507,Jason Bohn,1011,0,3,3303
71,0,34431,Robert Streb,966,0,2,3348
72,0,30852,Ryo Ishikawa,936,0,3,3378
73,0,30944,Jason Kokrak,932,0,2,3382
74,0,26758,David Hearn,930,0,3,3384
75,0,25444,Justin Hicks,923,0,3,3391
76,0,33413,Ben Martin,899,0,3,3415
77,0,34261,Scott Langley,898,0,1,3416
78,0,24138,Ian Poulter,892,0,2,3422
79,0,29518,Brendan Steele,881,0,4,3433
80,0,20229,Stewart Cink,866,0,3448
81,0,23623,Bo Van Pelt,866,0,1,3448
82,0,25191,Gonzalo Fernandez-Castaño,863,0,1,3451
83,0,33418,Shawn Stefani,842,0,2,3472
84,0,30692,Scott Stallings,831,1,1,3483
85,0,29479,Scott Brown,821,0,4,3493
86,0,27649,Brandt Snedeker,812,0,3,3502
87,0,06567,Vijay Singh,800,0,1,3514
88,0,29926,Danny Lee,800,0,1,3514
89,0,23983,Luke Donald,798,0,3,3516
90,0,25686,Jason Dufner,798,0,4,3516
91,0,23638,Brendon de Jonge,762,0,2,3552
92,0,28475,Jeff Overton,719,0,3,3595
93,0,28486,Michael Putnam,708,0,1,3606
94,0,29425,Andrew Svoboda,702,0,2,3612
95,0,25364,Paul Casey,699,0,3615
96,0,34174,John Huh,698,0,2,3616
97,0,29222,Billy Hurley III,685,0,4,3629
98,0,24361,Pat Perez,682,0,3,3632
99,0,24358,Robert Garrigus,678,0,2,3636
100,0,25562,Andres Romero,655,0,1,3659
101,0,32640,Troy Merritt,609,0,1,3705
102,0,27895,Jonas Blixt,599,0,1,3715
103,0,20157,Retief Goosen,591,0,2,3723
104,0,29478,Kevin Kisner,587,0,3,3727
105,0,27095,Nick Watney,584,0,2,3730
106,0,35539,Luke Guthrie,580,0,2,3734
107,0,20396,Lee Westwood,577,0,2,3737
108,0,23621,Rory Sabbatini,567,0,3,3747
109,0,23800,Bryce Molder,565,0,2,3749
110,0,21753,Brian Davis,538,0,3776
111,0,26289,Boo Weekley,536,0,1,3778
112,0,28500,Martin Flores,534,0,1,3780
113,0,24846,Ricky Barnes,530,0,2,3784
114,0,22371,Aaron Baddeley,528,0,2,3786
115,0,27064,Jhonattan Vegas,528,0,2,3786
116,0,06527,Steve Stricker,519,0,2,3795
117,0,32150,Michael Thompson,515,0,1,3799
118,0,02206,David Toms,502,0,2,3812
119,0,25349,Tim Wilkinson,498,0,3,3816
120,0,10860,Justin Leonard,491,0,2,3823
121,0,29535,Brice Garnett,488,0,1,3826
122,0,28259,Sangmoon Bae,466,0,3848
123,0,32448,James Hahn,456,0,2,3858
124,0,26329,Louis Oosthuizen,453,0,1,3861
125,0,10885,Robert Allenby,438,0,3876
126,0,28780,Nicholas Thompson,437,0,1,3877
127,0,27936,Martin Laird,425,0,1,3889
128,0,23353,J.J. Henry,425,0,3889
129,0,22293,Heath Slocum,419,0,1,3895
130,0,32334,Charlie Beljan,409,0,1,3905
131,0,22621,Ben Curtis,406,0,1,3908
132,0,20593,Greg Chalmers,402,0,1,3912
133,0,27933,John Merrick,399,0,3915
134,0,34409,David Lingmerth,391,0,2,3923
135,0,32200,Roberto Castro,387,0,1,3927
136,0,24925,Jonathan Byrd,383,0,1,3931
137,0,35300,Andrew Loupe,380,0,1,3934
138,0,35139,Richard Lee,376,0,2,3938
139,0,10423,Mike Weir,375,0,1,3939
140,0,19846,Brian Gay,375,0,1,3939
141,0,20498,Briny Baird,366,0,1,3948
142,0,34265,Will Wilcox,362,0,2,3952
143,0,34021,Bud Cauley,357,0,1,3957
144,0,28132,Tyrone Van Aswegen,355,0,3959
145,0,22378,Trevor Immelman,354,0,1,3960
146,0,34264,Hudson Swafford,351,0,1,3963
147,0,31193,Jim Renner,346,0,1,3968
148,0,27330,Josh Teater,334,0,3980
149,0,20160,Charlie Wi,329,0,3985
150,0,26951,Johnson Wagner,323,0,1,3991
