RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,ATTEMPTS,2 PUTT OR BETTER %
150,0,49947,Taylor Moore,0.32%,1,315,99.68
150,0,55893,Sam Stevens,0.32%,1,315,99.68
150,0,58168,Davis Thompson,0.32%,1,311,99.68
156,0,40162,Justin Lower,0.33%,1,305,99.67
156,0,47995,Davis Riley,0.33%,1,301,99.67
156,0,47128,Richy Werenski,0.33%,1,307,99.67
159,0,37338,Zecheng Dou,0.34%,1,291,99.66
159,0,39546,Keith Mitchell,0.34%,1,296,99.66
161,0,45157,Cam Davis,0.35%,1,285,99.65
162,0,30926,Chris Kirk,0.36%,1,281,99.64
163,0,25686,Jason Dufner,0.37%,1,269,99.63
163,0,52375,Doug Ghim,0.37%,1,272,99.63
163,0,31323,Gary Woodland,0.37%,1,271,99.63
166,0,48887,Matt Wallace,0.39%,1,256,99.61
167,0,40058,Zac Blair,0.42%,1,236,99.58
167,0,29535,Brice Garnett,0.42%,1,237,99.58
169,0,46435,Austin Cook,0.43%,1,230,99.57
169,0,26596,Ryan Moore,0.43%,1,231,99.57
169,0,28252,Seamus Power,0.43%,1,233,99.57
169,0,34431,Robert Streb,0.43%,1,235,99.57
173,0,48117,Kurt Kitayama,0.44%,1,229,99.56
174,0,33141,Keegan Bradley,0.45%,1,224,99.55
175,0,27554,Scott Harrington,0.46%,1,218,99.54
175,0,32139,Danny Willett,0.46%,1,219,99.54
177,0,39058,Lucas Herbert,0.47%,1,214,99.53
178,0,49453,Trevor Cone,0.48%,1,208,99.52
178,0,31557,Jim Herman,0.48%,1,210,99.52
178,0,53165,Doc Redman,0.48%,1,207,99.52
178,0,24502,Adam Scott,0.48%,1,207,99.52
182,0,48867,Matti Schmid,0.49%,1,203,99.51
183,0,24024,Zach Johnson,0.52%,1,191,99.48
184,0,47993,Denny McCarthy,0.55%,2,361,99.45
184,0,39335,Kevin Roy,0.55%,1,181,99.45
186,0,35310,Lanto Griffin,0.56%,1,177,99.44
187,0,32839,Hideki Matsuyama,0.70%,2,284,99.30
187,0,32640,Troy Merritt,0.70%,2,285,99.30
189,0,34098,Russell Henley,0.71%,2,280,99.29
190,0,46601,Trey Mullinax,0.72%,2,277,99.28
191,0,33653,Thomas Detry,0.74%,2,272,99.26
192,0,25900,Lucas Glover,0.96%,3,313,99.04
193,0,29289,S.Y. Noh,1.32%,2,151,98.68
