RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,TOTAL HOLES,RELATIVE TO PAR
133,0,33204,Shane Lowry,53.39,63,118,-0.27
134,0,27942,Rob Oppenheim,53.23,99,186,-0.13
135,0,25892,Steve Wheatcroft,53.17,134,252,-0.14
136,0,26851,Marc Leishman,53.15,118,222,-0.09
137,0,28679,Fabián Gómez,53.11,145,273,-0.16
138,0,20848,Ángel Cabrera,52.98,80,151,-0.10
139,0,29479,Scott Brown,52.63,130,247,-0.16
140,0,06567,Vijay Singh,52.28,126,241,-0.14
141,0,37455,Si Woo Kim,52.12,160,307,-0.19
141,0,24912,Will MacKenzie,52.12,123,236,-0.14
143,0,31420,Anirban Lahiri,52.07,88,169,-0.16
144,0,29222,Billy Hurley III,51.80,115,222,-0.07
145,0,30110,Kyle Stanley,51.64,142,275,-0.16
146,0,08075,Jerry Kelly,51.58,114,221,-0.11
147,0,32640,Troy Merritt,51.54,117,227,-0.15
148,0,20157,Retief Goosen,51.43,90,175,-0.12
149,0,30692,Scott Stallings,51.23,104,203,-0.11
150,0,34046,Jordan Spieth,51.14,90,176,-0.13
151,0,35300,Andrew Loupe,51.10,93,182,-0.13
152,0,25834,Daniel Summerhays,51.07,143,280,-0.13
153,0,29974,Branden Grace,51.02,75,147,-0.17
154,0,02206,David Toms,51.01,101,198,-0.10
155,0,29223,Sam Saunders,50.87,88,173,-0.10
156,0,34360,Patrick Reed,50.83,122,240,-0.16
157,0,34099,Harris English,50.40,127,252,-0.16
158,0,22371,Aaron Baddeley,50.37,136,270,-0.15
159,0,28092,D.H. Lee,50.34,75,149,-0.24
160,0,10885,Robert Allenby,50.00,81,162,-0.04
160,0,24494,Erik Compton,50.00,82,164,-0.10
160,0,22046,Geoff Ogilvy,50.00,85,170,-0.09
160,0,27770,Camilo Villegas,50.00,130,260,-0.12
164,0,27747,Hiroshi Iwata,49.79,118,237,-0.12
165,0,33461,Morgan Hoffmann,49.74,97,195,-0.20
166,0,23800,Bryce Molder,49.57,115,232,-0.20
167,0,35539,Luke Guthrie,49.34,75,152,-0.16
168,0,29461,Jamie Lovemark,49.00,122,249,+0.02
169,0,20472,Alex Cejka,48.73,77,158,-0.21
170,0,20104,Ken Duke,48.30,85,176,-0.14
171,0,45526,Abraham Ancer,48.09,63,131,-0.13
172,0,20766,Padraig Harrington,47.74,74,155,-0.11
173,0,23621,Rory Sabbatini,47.66,61,128,-0.13
174,0,34265,Will Wilcox,47.57,98,206,-0.11
175,0,31416,Derek Fathauer,47.46,131,276,-0.10
176,0,33410,Andrew Landry,47.13,41,87,-0.10
177,0,10213,Dicky Pride,46.88,60,128,-0.20
178,0,20098,Stuart Appleby,46.46,118,254,-0.11
179,0,06522,Ernie Els,45.45,85,187,-0.21
180,0,24781,Hunter Mahan,44.14,64,145,-0.11
181,0,25572,Graeme McDowell,44.05,74,168,-0.20
182,0,25274,Steven Bowditch,42.51,71,167,-0.10
183,0,34466,Peter Malnati,41.20,110,267,-0.15
184,0,20572,Rod Pampling,40.78,42,103,-0.24
185,0,30927,Brendon Todd,40.40,80,198,+0.01
