RANK,MOVEMENT,PLAYER_ID,PLAYER,NUMBER OF HOLES
23,0,20094,Jonathan Kaye,4
23,0,08075,Jerry Kelly,4
23,0,01619,Skip Kendall,4
23,0,06012,Greg Kraft,4
23,0,01677,Tom Lehman,4
23,0,10860,Justin Leonard,4
23,0,01682,Wayne Levi,4
23,0,11032,Frank Lickliter II,4
23,0,01690,Bruce Lietzke,4
23,0,01707,Steve Lowery,4
23,0,20445,Casey Martin,4
23,0,01766,Billy Mayfair,4
23,0,01771,Blaine McCallister,4
23,0,01797,Rocco Mediate,4
23,0,06515,Shaun Micheel,4
23,0,01810,Phil Mickelson,4
23,0,12682,Hirofumi Miyase,4
23,0,01824,Yoshinori Mizumaki,4
23,0,20095,Carl Paulson,4
23,0,01941,Tom Pernice Jr.,4
23,0,01945,Kenny Perry,4
23,0,01968,Nick Price,4
23,0,23621,Rory Sabbatini,4
23,0,02104,Jeff Sluman,4
23,0,22064,Craig Spence,4
23,0,06078,Esteban Toledo,4
23,0,02206,David Toms,4
23,0,08385,Omar Uresti,4
23,0,06431,Jean Van de Velde,4
23,0,02245,Grant Waite,4
23,0,02246,Duffy Waldorf,4
23,0,02279,Mark Wiebe,4
23,0,10425,Jay Williamson,4
23,0,08793,Tiger Woods,4
94,0,01014,Fulton Allem,3
94,0,10885,Robert Allenby,3
94,0,25083,Jeremy Anderson,3
94,0,20098,Stuart Appleby,3
94,0,01035,Tommy Armour III,3
94,0,01040,Emlyn Aubrey,3
94,0,22371,Aaron Baddeley,3
94,0,01063,Ben Bates,3
94,0,01068,Andy Bean,3
94,0,01072,Chip Beck,3
94,0,20029,Notah Begay III,3
94,0,01093,Ronnie Black,3
94,0,01098,Jay Don Blake,3
94,0,06014,Eric Booker,3
94,0,07363,Craig Bowden,3
94,0,01116,Michael Bradley,3
94,0,01127,Danny Briggs,3
94,0,10569,Mike Brisky,3
94,0,01132,Mark Brooks,3
94,0,24356,Jason Buha,3
94,0,06809,Bob Burns,3
94,0,20848,Ángel Cabrera,3
94,0,01161,Mark Calcavecchia,3
94,0,20400,Michael Campbell,3
94,0,23656,Jason Caron,3
94,0,01175,Jim Carter,3
94,0,20593,Greg Chalmers,3
94,0,01185,Brandel Chamblee,3
94,0,19974,Roger Chapman,3
94,0,01200,Keith Clearwater,3
94,0,19905,Andrew Coltart,3
94,0,08083,Michael Combs,3
94,0,11653,Paul Curry,3
94,0,19881,Robert Damron,3
94,0,01261,Jay Delsing,3
94,0,07763,Doug Dunakey,3
94,0,06621,Joe Durant,3
94,0,09011,David Duval,3
94,0,01306,David Edwards,3
94,0,23125,Brad Elder,3
94,0,06522,Ernie Els,3
94,0,01320,Bob Estes,3
94,0,01323,Brad Fabel,3
94,0,01326,Nick Faldo,3
94,0,01329,Brad Faxon,3
94,0,01331,Rick Fehr,3
94,0,01334,Keith Fergus,3
94,0,01374,Robin Freeman,3
94,0,01376,Bob Friend,3
94,0,20939,Keiichiro Fukabori,3
94,0,10809,Jim Furyk,3
94,0,01385,Jim Gallagher Jr.,3
94,0,01388,Robert Gamez,3
94,0,19957,Ian Garbutt,3
94,0,21209,Sergio Garcia,3
94,0,12645,Brent Geiberger,3
94,0,20574,Mathew Goggin,3
94,0,20105,Jeff Gove,3
94,0,01435,Wayne Grady,3
94,0,20378,Mathias Grönberg,3
94,0,12626,Joey Gullion,3
94,0,06044,Scott Gump,3
94,0,01475,Donnie Hammond,3
94,0,20766,Padraig Harrington,3
94,0,01489,Steve Hart,3
94,0,10117,Bob Heintz,3
94,0,01510,Nolan Henke,3
94,0,12782,Tim Herron,3
94,0,01533,P.H. Horgan III,3
94,0,20992,Kazuhiko Hosokawa,3
94,0,21961,Charles Howell III,3
94,0,12449,Ryan Howison,3
94,0,10962,Bradley Hughes,3
94,0,01569,Peter Jacobsen,3
94,0,01577,Lee Janzen,3
94,0,19958,Miguel Angel Jiménez,3
94,0,06573,Brandt Jobe,3
94,0,01599,Steve Jones,3
94,0,22624,Joel Kribel,3
94,0,23552,Hank Kuehne,3
94,0,06332,Neal Lancaster,3
94,0,01685,J.L. Lewis,3
94,0,01706,Davis Love III,3
94,0,01717,Sandy Lyle,3
94,0,01723,Andrew Magee,3
94,0,01724,Jeff Maggert,3
94,0,08547,John Maginnes,3
94,0,12680,Shigeki Maruyama,3
94,0,01755,Dick Mast,3
94,0,01761,Len Mattiace,3
94,0,06350,Bob May,3
94,0,10585,Scott McCarron,3
94,0,12461,Paul McGinley,3
94,0,06090,Jim McGovern,3
94,0,01823,Larry Mize,3
94,0,08635,Colin Montgomerie,3
94,0,12753,David Morland IV,3
94,0,08045,Perry Moss,3
94,0,06140,Sean Murphy,3
94,0,08535,Gary Nicklaus,3
94,0,10457,Frank Nobilo,3
94,0,01887,Mark O'Meara,3
94,0,21949,Joe Ogilvie,3
94,0,01891,David Ogrin,3
94,0,20601,Gary Orr,3
94,0,01905,Joe Ozaki,3
94,0,12660,Jesper Parnevik,3
94,0,01920,Craig Parry,3
94,0,01926,Steve Pate,3
94,0,01927,Dennis Paulson,3
94,0,01928,Corey Pavin,3
94,0,01938,David Peoples,3
94,0,01943,Chris Perry,3
94,0,20474,Phillip Price,3
94,0,10213,Dicky Pride,3
94,0,21959,Ted Purdy,3
94,0,01975,Tom Purtzer,3
94,0,07749,Brett Quigley,3
94,0,06062,Charles Raulerson,3
94,0,01996,Mike Reid,3
94,0,24389,Jean-Francois Remesy,3
94,0,23389,John Restino,3
94,0,20127,Chris Riley,3
94,0,02007,Larry Rinker,3
94,0,02010,Loren Roberts,3
94,0,22913,John Rollins,3
94,0,23034,Brent Schwarzrock,3
94,0,21452,Steve Scott,3
94,0,02076,Peter Senior,3
94,0,06409,Brad Sherfy,3
94,0,02101,Joey Sindelar,3
94,0,06567,Vijay Singh,3
94,0,02110,Jerry Smith,3
94,0,11149,Jim Sobb,3
94,0,11011,Mike Sposa,3
94,0,02131,Mike Springer,3
94,0,02133,Craig Stadler,3
94,0,08375,Paul Stankowski,3
94,0,07101,Dave Stockton Jr.,3
94,0,06527,Steve Stricker,3
94,0,02170,Hal Sutton,3
94,0,06613,Tommy Tolles,3
94,0,02207,Sam Torrance,3
94,0,02214,Kirk Triplett,3
94,0,02218,Ted Tryba,3
94,0,02223,Bob Tway,3
