RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP-10S
1,0,27649,Brandt Snedeker,4100,2,7
111,0,21528,Henrik Stenson,462,0,1,7164
112,0,27214,Kevin Streelman,462,0,3,7164
113,0,28308,Troy Kelly,462,0,1,7164
114,0,32366,Kevin Chappell,447,0,1,7179
115,0,01706,Davis Love III,443,0,2,7183
116,0,01724,Jeff Maggert,437,0,1,7189
117,0,22378,Trevor Immelman,423,0,7203
118,0,10885,Robert Allenby,417,0,2,7209
119,0,23409,James Driscoll,413,0,2,7213
120,0,30711,Colt Knost,390,0,2,7236
121,0,21805,Harrison Frazar,387,0,2,7239
122,0,08075,Jerry Kelly,385,0,7241
123,0,26289,Boo Weekley,365,0,2,7261
124,0,22293,Heath Slocum,365,0,7261
125,0,24507,Jason Bohn,363,0,2,7263
126,0,27064,Jhonattan Vegas,361,0,2,7265
127,0,24663,Y.E. Yang,351,0,7275
128,0,12782,Tim Herron,339,0,7287
129,0,32698,Bobby Gates,338,0,1,7288
130,0,29518,Brendan Steele,334,0,3,7292
131,0,20157,Retief Goosen,330,0,2,7296
132,0,26476,Chez Reavie,327,0,7299
133,0,22961,David Mathis,322,0,1,7304
134,0,31323,Gary Woodland,321,0,7305
135,0,06251,Chris DiMarco,316,0,1,7310
136,0,23325,Vaughn Taylor,312,0,7314
137,0,24494,Erik Compton,311,0,7315
138,0,29476,Kyle Reifers,311,0,7315
139,0,20229,Stewart Cink,310,0,7316
140,0,01249,John Daly,298,0,1,7328
141,0,28087,Kris Blanks,297,0,7329
142,0,23548,Bill Lunde,294,0,7332
143,0,29420,Billy Horschel,289,0,1,7337
144,0,20098,Stuart Appleby,287,0,7339
145,0,31558,J.J. Killeen,286,0,1,7340
146,0,30927,Brendon Todd,281,0,1,7345
147,0,10860,Justin Leonard,277,0,2,7349
148,0,27770,Camilo Villegas,267,0,7359
149,0,35139,Richard Lee,262,0,7364
150,0,29222,Billy Hurley III,256,0,2,7370
151,0,24604,Hunter Haas,251,0,1,7375
152,0,22348,Nick O'Hern,250,0,1,7376
153,0,29478,Kevin Kisner,248,0,1,7378
154,0,23718,Nathan Green,245,0,1,7381
155,0,06573,Brandt Jobe,245,0,1,7381
156,0,23788,D.J. Trahan,243,0,1,7383
157,0,11123,Chris Couch,242,0,7384
158,0,19970,Robert Karlsson,239,0,7387
159,0,29926,Danny Lee,226,0,7400
160,0,32334,Charlie Beljan,222,0,1,7404
161,0,01577,Lee Janzen,219,0,1,7407
162,0,28093,Miguel Angel Carballo,213,0,7413
163,0,29479,Scott Brown,212,0,3,7414
164,0,33120,Mark Anderson,209,0,7417
165,0,06621,Joe Durant,205,0,1,7421
166,0,26881,Jarrod Lyle,199,0,1,7427
167,0,01797,Rocco Mediate,195,0,7431
168,0,26287,Roland Thatcher,188,0,1,7438
169,0,20623,Gavin Coles,184,0,7442
170,0,25457,Alexandre Rocha,183,0,1,7443
171,0,21407,Arjun Atwal,181,0,7445
172,0,20848,Ángel Cabrera,177,0,7449
173,0,20070,Matt Bettencourt,177,0,1,7449
174,0,27302,Garth Mulroy,173,0,7453
175,0,01116,Michael Bradley,173,0,7453
176,0,02246,Duffy Waldorf,168,0,7458
177,0,20472,Alex Cejka,166,0,7460
178,0,30944,Jason Kokrak,165,0,1,7461
179,0,33122,Russell Knox,164,0,7462
180,0,27797,Derek Lamely,160,0,7466
181,0,12652,Cameron Beckman,154,0,7472
182,0,27974,Sung Kang,146,0,7480
183,0,20127,Chris Riley,144,0,7482
184,0,26300,Matt Jones,143,0,1,7483
185,0,06004,Stephen Ames,142,0,7484
186,0,01941,Tom Pernice Jr.,139,0,1,7487
187,0,21350,Ryuji Imada,113,0,1,7513
188,0,23614,Rich Beem,113,0,7513
189,0,01473,Todd Hamilton,110,0,1,7516
190,0,01226,Fred Couples,108,0,7518
191,0,22548,Patrick Sheehan,108,0,7518
192,0,20574,Mathew Goggin,103,0,7523
193,0,06515,Shaun Micheel,100,0,7526
194,0,21949,Joe Ogilvie,98,0,7528
195,0,29461,Jamie Lovemark,95,0,7531
196,0,20498,Briny Baird,92,0,7534
197,0,25892,Steve Wheatcroft,92,0,7534
198,0,01945,Kenny Perry,85,0,7541
199,0,26668,Marc Turnesa,83,0,7543
200,0,07867,Woody Austin,78,0,7548
201,0,01948,Tim Petrovic,78,0,7548
202,0,06036,Scott Dunlap,77,0,7549
203,0,23542,Tommy Biershenk,73,0,7553
204,0,25274,Steven Bowditch,72,0,7554
205,0,01619,Skip Kendall,71,0,7555
206,0,20850,Daniel Chopra,70,0,7556
206,0,20436,Garrett Willis,70,0,7556
208,0,01161,Mark Calcavecchia,68,0,1,7558
209,0,01928,Corey Pavin,67,0,7559
210,0,06643,Paul Goydos,64,0,7562
211,0,10505,Shane Bertsch,61,0,7565
212,0,11032,Frank Lickliter II,56,0,7570
213,0,24912,Will MacKenzie,55,0,7571
214,0,26420,Richard Johnson,54,0,7572
215,0,28158,Steve Marino,54,0,7572
216,0,06197,Michael Allen,52,0,1,7574
217,0,10733,Kent Jones,50,0,7576
218,0,08375,Paul Stankowski,48,0,7578
219,0,25900,Lucas Glover,47,0,7579
220,0,01381,Fred Funk,47,0,7579
221,0,22582,Kyle Thompson,44,0,7582
222,0,06034,Marco Dawson,43,0,7583
223,0,24940,Edward Loar,43,0,7583
224,0,08931,Glen Day,40,0,7586
225,0,07749,Brett Quigley,37,0,7589
226,0,23322,Brett Wetterich,35,0,7591
227,0,29718,Anthony Kim,32,0,7594
228,0,19881,Robert Damron,30,0,7596
229,0,02294,Willie Wood,26,0,7600
230,0,06214,Guy Boros,26,0,7600
231,0,01677,Tom Lehman,25,0,7601
232,0,22892,Jason Gore,23,0,7603
233,0,25364,Paul Casey,19,0,7607
234,0,01761,Len Mattiace,18,0,7608
235,0,01142,Bart Bryant,18,0,7608
236,0,19824,Craig Barlow,18,0,7608
237,0,02239,Scott Verplank,17,0,7609
238,0,09011,David Duval,16,0,7610
238,0,02049,Gene Sauers,16,0,7610
240,0,23552,Hank Kuehne,10,0,7616
241,0,23048,Eric Axley,9,0,7617
241,0,01132,Mark Brooks,9,0,7617
241,0,01707,Steve Lowery,9,0,7617
244,0,01388,Robert Gamez,9,0,7617
245,0,21959,Ted Purdy,9,0,7617
246,0,01978,Fran Quinn,6,0,7620
247,0,31401,Zack Miller,5,0,7621
248,0,06373,José María Olazábal,4,0,7622
249,0,23903,Stephen Gangluff,3,0,7623
250,0,08385,Omar Uresti,3,0,7623
251,0,20634,Peter Lonard,2,0,7624
252,0,06595,Kevin Sutherland,2,0,7624
253,0,27939,Matt McQuillan,2,0,7624
254,0,06332,Neal Lancaster,2,0,7624
255,0,02256,Tom Watson,2,0,7624
256,0,12660,Jesper Parnevik,1,0,7625
257,0,02214,Kirk Triplett,0,7626
